"113"	"222"	"425"
"TRINITY_DN3762_c0_g1_i1"	122.025	50.0665	0.247549
"TRINITY_DN1145_c0_g1_i1"	8.4768	2.88684	0.211889
"TRINITY_DN1145_c0_g1_i3"	13.4421	1.99856	0
"TRINITY_DN1145_c0_g1_i6"	0.461995	0	0.0106635
"TRINITY_DN9394_c0_g1_i2"	131	54.6856	1.7065
"TRINITY_DN859_c0_g1_i2"	4.37111	0.743333	0.0377247
"TRINITY_DN859_c0_g1_i3"	19.416	10.4304	0
"TRINITY_DN5553_c0_g1_i3"	0.531089	0.122969	0
"TRINITY_DN32773_c0_g1_i1"	0.328138	0	0
"TRINITY_DN3560_c0_g1_i2"	2.80226	0.360363	0
"TRINITY_DN38617_c1_g1_i1"	140.824	64.7268	0.706996
"TRINITY_DN28653_c0_g1_i1"	17.6164	3.34141	0
"TRINITY_DN4573_c1_g1_i1"	6.33394	2.52728	0.108688
