"178"	"359"	"463"
"TRINITY_DN4727_c0_g1_i1"	1.95949	0.549945	0
"TRINITY_DN4752_c0_g1_i1"	1.30359	0.133042	0
"TRINITY_DN77_c0_g1_i1"	0.688943	0.0441782	0
"TRINITY_DN88_c0_g1_i4"	2.58364	1.9115	0
"TRINITY_DN88_c0_g2_i3"	4.87918	1.49507	0
"TRINITY_DN10_c2_g1_i1"	6.40426	3.84929	0
"TRINITY_DN61_c0_g1_i3"	0.162944	0	0
"TRINITY_DN21_c0_g1_i14"	1.38704	0	0
"TRINITY_DN21_c0_g1_i2"	3.849	1.17845	0
"TRINITY_DN21_c0_g1_i3"	3.35641	0	0
"TRINITY_DN29_c0_g1_i8"	5674.19	3011.85	1980.81
"TRINITY_DN8_c0_g2_i2"	1.58745	1.35434	0
"TRINITY_DN8_c0_g1_i3"	2.02206	0	0
"TRINITY_DN3882_c0_g1_i1"	1.06136	0.481328	0
"TRINITY_DN3814_c0_g1_i1"	2.17203	1.13182	0
"TRINITY_DN2979_c0_g1_i2"	0.133931	0	0
"TRINITY_DN2099_c0_g1_i1"	3.92647	0	0
"TRINITY_DN453_c0_g1_i1"	1.34796	0	0
"TRINITY_DN804_c0_g1_i1"	3.23059	0	0
"TRINITY_DN881_c0_g2_i1"	0.269576	0	0
"TRINITY_DN4243_c0_g1_i1"	1.40088	0	0
"TRINITY_DN4541_c0_g1_i1"	0.359332	0.134454	0
"TRINITY_DN285_c0_g1_i1"	2.93735	0.36226	0
"TRINITY_DN220_c0_g3_i3"	57945	37335.2	8719.36
"TRINITY_DN220_c0_g3_i4"	217830	118822	17625.7
"TRINITY_DN263_c0_g1_i1"	0.177401	0	0
"TRINITY_DN237_c0_g1_i1"	146096	57460	6198.97
"TRINITY_DN237_c0_g1_i2"	10563	4493.09	1076.03
"TRINITY_DN3913_c0_g1_i1"	1.38658	0	0
"TRINITY_DN3993_c0_g1_i1"	0.726007	0	0
"TRINITY_DN4075_c0_g1_i1"	1.67799	0.475734	0
"TRINITY_DN629_c0_g1_i1"	0.472386	0.175035	0
"TRINITY_DN5245_c0_g1_i1"	2.95546	0.625712	0
"TRINITY_DN4307_c0_g1_i1"	34944.6	21755.7	1095.58
"TRINITY_DN4343_c0_g1_i1"	2.369	0.664725	0
"TRINITY_DN3458_c0_g1_i1"	16761.9	11803.9	2717.27
"TRINITY_DN3761_c0_g1_i1"	3.20628	0.852058	0
"TRINITY_DN3739_c0_g1_i1"	0.269576	0	0
"TRINITY_DN1912_c0_g1_i1"	0.381148	0.215387	0
"TRINITY_DN4197_c0_g1_i1"	0.818321	0.655935	0
"TRINITY_DN4117_c0_g1_i1"	0.343032	0	0
"TRINITY_DN3250_c0_g1_i1"	2.11044	0.631682	0
"TRINITY_DN2302_c0_g1_i1"	0.243449	0	0
"TRINITY_DN3557_c0_g1_i1"	0.616305	0	0
"TRINITY_DN2618_c0_g1_i1"	0.607574	0.0188436	0
"TRINITY_DN1752_c0_g1_i1"	1.03583	0.581381	0
"TRINITY_DN189_c0_g1_i1"	0.102856	0	0
"TRINITY_DN106_c0_g1_i3"	4.64589	2.20305	0
"TRINITY_DN4862_c0_g1_i1"	0.703838	0	0
"TRINITY_DN538_c0_g1_i3"	0.0921194	0	0
"TRINITY_DN527_c0_g1_i1"	0.290144	0	0
"TRINITY_DN2140_c0_g1_i1"	0.967367	0.465365	0
"TRINITY_DN2150_c0_g1_i1"	0.410676	0.115252	0
"TRINITY_DN1216_c0_g1_i1"	0.336248	0	0
"TRINITY_DN3319_c0_g1_i1"	8.50314	3.26705	0
"TRINITY_DN3323_c0_g1_i1"	0.96511	0.270815	0
"TRINITY_DN1596_c0_g1_i1"	1.02243	0.291204	0
"TRINITY_DN333_c0_g2_i1"	0.0454994	0	0
"TRINITY_DN336_c0_g1_i1"	1.6516	0.804779	0
"TRINITY_DN4910_c0_g1_i1"	10.0854	6.53268	0
"TRINITY_DN5033_c0_g1_i1"	0.358954	0	0
"TRINITY_DN5079_c0_g1_i1"	2.90856	0.6241	0
"TRINITY_DN2225_c0_g1_i1"	0.24917	0	0
"TRINITY_DN1376_c0_g1_i1"	0.377209	0	0
"TRINITY_DN4440_c0_g1_i1"	0.590679	0	0
"TRINITY_DN4476_c0_g1_i1"	10845.3	8780.15	387.855
"TRINITY_DN4490_c0_g1_i1"	0.48607	0	0
