"118"	"349"	"481"
"TRINITY_DN4727_c0_g1_i1"	18.8879	0	0.999401
"TRINITY_DN4752_c0_g1_i1"	25.7206	0	0.491643
"TRINITY_DN58_c0_g1_i1"	36.2043	0	0.582203
"TRINITY_DN85_c0_g2_i1"	37.6816	0	0.849867
"TRINITY_DN88_c0_g1_i4"	39.4665	0	2.1473
"TRINITY_DN88_c0_g2_i3"	49.4975	0	2.72135
"TRINITY_DN61_c0_g1_i3"	8.95709	0	0
"TRINITY_DN21_c0_g1_i2"	58.8002	0	0.999401
"TRINITY_DN21_c0_g1_i7"	106.182	0	4.29311
"TRINITY_DN21_c0_g1_i3"	173.304	0	8.49708
"TRINITY_DN21_c0_g1_i8"	72.0813	0	4.54992
"TRINITY_DN29_c0_g1_i8"	4671.39	856.333	1306.63
"TRINITY_DN29_c0_g1_i1"	37.9975	7.23761	1.15398
"TRINITY_DN29_c0_g1_i2"	949.803	11.1425	51.7511
"TRINITY_DN64_c0_g1_i5"	10.539	0	0
"TRINITY_DN8_c0_g2_i2"	247	0	6.0741
"TRINITY_DN8_c0_g1_i1"	389.497	0	16.9501
"TRINITY_DN8_c0_g1_i8"	104.516	0	3.98871
"TRINITY_DN8_c0_g1_i3"	108.601	0	4.4311
"TRINITY_DN8_c0_g1_i5"	56.6119	0	1.55197
"TRINITY_DN22_c0_g1_i6"	16.8824	0	1.28569
"TRINITY_DN72_c0_g1_i5"	3426.29	243.133	618.598
"TRINITY_DN72_c0_g1_i13"	10214	426.131	2204.25
"TRINITY_DN72_c0_g1_i7"	13626.1	569.514	2383.62
"TRINITY_DN72_c0_g1_i9"	3.86846	0	1.37916
"TRINITY_DN72_c0_g1_i12"	1603.51	368.592	123.012
"TRINITY_DN51_c0_g2_i1"	36.5669	0.751667	2.58257
"TRINITY_DN51_c0_g1_i1"	9.99676	1.13981	4.26435
"TRINITY_DN3882_c0_g1_i1"	15.7487	0	0
"TRINITY_DN3814_c0_g1_i1"	27.4238	0	0.317365
"TRINITY_DN2099_c0_g1_i1"	18.5397	0	0
"TRINITY_DN453_c0_g1_i1"	2.21108	0	0
"TRINITY_DN404_c0_g1_i5"	1032.05	3.66336	20.1466
"TRINITY_DN404_c0_g1_i3"	18.4283	0.0493829	0
"TRINITY_DN804_c0_g1_i1"	75.4377	0	3.13129
"TRINITY_DN881_c0_g2_i1"	1.97699	0	1.17047
"TRINITY_DN5162_c0_g1_i1"	3934.17	58.2612	1733.36
"TRINITY_DN4243_c0_g1_i1"	5.7338	0	0.618898
"TRINITY_DN4273_c0_g1_i1"	7.31748	0	0.351519
"TRINITY_DN4541_c0_g1_i1"	19.3018	0	0.248524
"TRINITY_DN3654_c0_g1_i1"	0.255851	0	0
"TRINITY_DN2735_c0_g1_i1"	16.4963	3.063	1.82705
"TRINITY_DN285_c0_g1_i1"	3.09277	0	0.843641
"TRINITY_DN246_c0_g1_i2"	456.351	6.86171	235.073
"TRINITY_DN237_c0_g1_i1"	82777.8	4801.86	38865
"TRINITY_DN237_c0_g1_i2"	17739	215.558	9328.69
"TRINITY_DN207_c0_g2_i1"	18.4634	0	0
"TRINITY_DN3913_c0_g1_i1"	9.96032	2.47617	1.42911
"TRINITY_DN3920_c0_g1_i1"	2558.62	13.4767	812.111
"TRINITY_DN3993_c0_g1_i1"	21.4912	0	0.610382
"TRINITY_DN3974_c0_g1_i1"	29.5836	1.38226	1.60539
"TRINITY_DN4012_c0_g1_i1"	5.39112	0	0.441204
"TRINITY_DN4075_c0_g1_i1"	6.35639	0	0.449397
"TRINITY_DN629_c0_g1_i2"	82.4015	0	5.09911
"TRINITY_DN629_c0_g1_i1"	20.2147	0	0.484878
"TRINITY_DN5245_c0_g1_i1"	28.9129	0	0
"TRINITY_DN4306_c0_g1_i1"	4.13638	0	1.0411
"TRINITY_DN4396_c0_g1_i2"	79.1179	0	4.24524
"TRINITY_DN4343_c0_g1_i1"	7.55339	0	1.56164
"TRINITY_DN3751_c0_g1_i1"	10.8773	0	2.37365
"TRINITY_DN3761_c0_g1_i1"	45.6396	0	1.202
"TRINITY_DN3739_c0_g1_i1"	21.1821	0	0
"TRINITY_DN2826_c0_g1_i1"	7.91947	0	1.65648
"TRINITY_DN2817_c0_g1_i1"	16520.7	2808.78	3963.11
"TRINITY_DN1912_c0_g1_i1"	29.0323	0	1.21551
"TRINITY_DN1941_c0_g3_i1"	19364.4	428.073	8530.68
"TRINITY_DN4197_c0_g1_i1"	21.6775	0	2.18021
"TRINITY_DN4117_c0_g1_i1"	1.09085	0	0
"TRINITY_DN3250_c0_g1_i1"	28.1239	1.23527	0.85351
"TRINITY_DN1474_c1_g2_i1"	224044	2409.67	130910
"TRINITY_DN1402_c0_g1_i1"	2.00334	0	0
"TRINITY_DN3557_c0_g1_i1"	13.209	0	0.157556
"TRINITY_DN2679_c0_g1_i2"	31.2794	0	2.44762
"TRINITY_DN2618_c0_g1_i1"	13.9206	0	1.60277
"TRINITY_DN1752_c0_g1_i1"	12.301	0	0.604544
"TRINITY_DN1770_c0_g1_i1"	12.1671	0	0.340004
"TRINITY_DN118_c0_g2_i1"	18.1755	0	0.452381
"TRINITY_DN106_c0_g1_i3"	247.341	12.0621	8.84668
"TRINITY_DN106_c0_g1_i5"	9.88297	0	0
"TRINITY_DN4862_c0_g1_i1"	5.15343	0	0.506555
"TRINITY_DN599_c0_g2_i1"	46.2763	0	3.15396
"TRINITY_DN538_c0_g1_i3"	11.1592	0	3.88086
"TRINITY_DN561_c0_g1_i1"	12.4998	0	0.886258
"TRINITY_DN527_c0_g1_i1"	13.1251	0	0.632149
"TRINITY_DN2150_c0_g1_i1"	11.2931	0	2.75401
"TRINITY_DN2168_c0_g2_i1"	9.70161	0	0
"TRINITY_DN1218_c0_g1_i3"	3.30791	0	0.7075
"TRINITY_DN999_c0_g1_i1"	24.8843	0	0.52603
"TRINITY_DN937_c0_g1_i1"	9734.93	1243.25	1844.45
"TRINITY_DN957_c0_g2_i1"	4929.39	97.7035	1787.34
"TRINITY_DN3319_c0_g1_i1"	60.2609	0	4.22001
"TRINITY_DN3323_c0_g1_i1"	25.143	0	1.00147
"TRINITY_DN3356_c0_g1_i1"	25.7029	0	3.02215
"TRINITY_DN2487_c0_g1_i1"	32.0534	0	1.10804
"TRINITY_DN2401_c0_g1_i1"	5.21543	0	0.86758
"TRINITY_DN1596_c0_g1_i1"	57.0248	0	0.555025
"TRINITY_DN1563_c0_g1_i1"	15.2859	0	0.526033
"TRINITY_DN1082_c1_g1_i1"	2833.91	21.8445	54.1311
"TRINITY_DN1075_c0_g1_i1"	9.69086	0	0
"TRINITY_DN336_c0_g1_i1"	26.0621	0	1.01915
"TRINITY_DN4971_c0_g1_i1"	3.47611	0	1.02527
"TRINITY_DN4910_c0_g1_i1"	38.4063	0	3.20468
"TRINITY_DN5079_c0_g1_i1"	26.4103	0	0.949857
"TRINITY_DN2238_c0_g1_i1"	14951.6	201.479	4627.61
"TRINITY_DN2225_c0_g1_i1"	24.2437	0	2.33127
