"118"	"349"	"481"
"TRINITY_DN44_c0_g2_i2"	32.541	1866.99	3.95647
"TRINITY_DN77_c0_g1_i1"	2.50825	30.953	0.275655
"TRINITY_DN85_c0_g1_i1"	11.791	30.4267	3.51661
"TRINITY_DN41_c0_g2_i1"	346.68	77567.6	36819.6
"TRINITY_DN10_c2_g1_i1"	20.1512	204.927	0
"TRINITY_DN29_c0_g1_i7"	14.1363	438.506	2.33821
"TRINITY_DN96_c0_g1_i3"	0.456625	1853.35	0.449924
"TRINITY_DN72_c0_g1_i8"	46.2975	1834.98	241.449
"TRINITY_DN55_c0_g1_i1"	3.57208	61.7634	3.41404
"TRINITY_DN81_c0_g2_i2"	1.63759	201.841	0.527068
"TRINITY_DN81_c0_g1_i7"	601.022	26149.9	17.4833
"TRINITY_DN81_c0_g1_i19"	40.5216	4846.79	0.739007
"TRINITY_DN81_c0_g1_i13"	4.4124	411.633	1.98815
"TRINITY_DN81_c0_g1_i28"	105.687	17657.3	4.82581
"TRINITY_DN81_c0_g1_i1"	91.8947	29698	11.74
"TRINITY_DN81_c0_g1_i20"	43.5958	2956.9	2.91969
"TRINITY_DN81_c0_g1_i16"	3.90546	1113.11	0
"TRINITY_DN3810_c0_g1_i1"	362.956	3934.68	314.568
"TRINITY_DN3844_c0_g1_i1"	26740.2	64475	5125.21
"TRINITY_DN2969_c0_g1_i2"	16.2156	4165.1	3.54414
"TRINITY_DN2969_c0_g1_i3"	23.5054	3358.29	0.464093
"TRINITY_DN2979_c0_g1_i1"	0	43.9669	0
"TRINITY_DN2979_c0_g1_i5"	0	118.494	0
"TRINITY_DN2979_c0_g1_i2"	0	508.537	0.279027
"TRINITY_DN429_c0_g3_i1"	4451.3	23837.8	9350.89
"TRINITY_DN404_c0_g1_i7"	0.0984676	3.66336	0
"TRINITY_DN445_c0_g1_i4"	0.599092	42.1781	0
"TRINITY_DN495_c0_g1_i4"	4.76929	362.746	0.340028
"TRINITY_DN465_c0_g1_i1"	5.22674	443.984	0.777791
"TRINITY_DN428_c0_g2_i1"	0.249689	32.99	0
"TRINITY_DN1127_c1_g1_i1"	4.96737	1123.31	378.974
"TRINITY_DN1131_c0_g1_i1"	0.346595	207.89	0
"TRINITY_DN1131_c0_g1_i2"	0	133.769	0
"TRINITY_DN802_c0_g1_i1"	0.553715	30.3092	0.574197
"TRINITY_DN825_c1_g1_i1"	26.6304	8178.42	0
"TRINITY_DN805_c0_g2_i1"	145.893	4249.11	758.125
"TRINITY_DN868_c0_g1_i1"	29.6235	3139.5	0.532853
"TRINITY_DN5174_c0_g1_i1"	116.906	14699	3.46307
"TRINITY_DN4263_c0_g1_i1"	2659.76	20150.8	6884.56
"TRINITY_DN2789_c0_g1_i1"	0.325584	59.3755	0
"TRINITY_DN282_c0_g1_i8"	1.23075	314.594	0.116784
"TRINITY_DN263_c0_g1_i1"	2.70178	62.6659	0
"TRINITY_DN3908_c0_g1_i1"	0	3.89775	0
"TRINITY_DN4065_c0_g1_i1"	0	52.1526	0
"TRINITY_DN4090_c0_g1_i1"	6.26572	81025.9	3.4388
"TRINITY_DN618_c0_g1_i2"	2.25189	149.067	0
"TRINITY_DN5279_c0_g1_i1"	0.354999	128.501	0
"TRINITY_DN4362_c0_g1_i2"	64.9122	3125.45	189.945
"TRINITY_DN3484_c0_g1_i1"	142.203	13590.5	9.00556
"TRINITY_DN2569_c0_g1_i2"	13.0777	655.729	0
"TRINITY_DN2581_c0_g1_i1"	1553.47	20321.6	1256.47
"TRINITY_DN2556_c1_g1_i1"	1522.96	33039.4	9064.95
"TRINITY_DN2523_c0_g1_i2"	0.446344	24.7619	0.915545
"TRINITY_DN1987_c0_g1_i1"	0.579842	42.0411	0.305041
"TRINITY_DN4145_c0_g1_i1"	2284.75	6578.61	5521.34
"TRINITY_DN3293_c0_g1_i1"	0	108.96	0.612895
"TRINITY_DN3527_c0_g1_i1"	0	103.517	0
"TRINITY_DN2625_c0_g1_i1"	19.5437	740.176	63.2728
"TRINITY_DN1765_c0_g1_i2"	1.78105	139.89	1.24293
"TRINITY_DN151_c0_g1_i1"	432.35	3216.05	269.14
"TRINITY_DN158_c1_g1_i1"	32.9182	20529	558.729
"TRINITY_DN166_c0_g2_i2"	1.11988e-06	68.4898	3.96322
"TRINITY_DN149_c0_g1_i2"	0	1301.49	1.39115
"TRINITY_DN4873_c0_g1_i1"	1419.71	18618.5	10307.9
"TRINITY_DN4898_c0_g1_i1"	1199.58	7144.95	806.649
"TRINITY_DN582_c1_g2_i1"	8042.66	16588.1	7022.1
"TRINITY_DN590_c0_g1_i1"	3.0967	123.442	15.8254
"TRINITY_DN548_c0_g1_i5"	4.09614e-09	32.1096	0
"TRINITY_DN560_c0_g1_i1"	0	43.6959	0
"TRINITY_DN2140_c0_g1_i1"	11.3124	40.0568	0.865487
"TRINITY_DN2179_c1_g1_i1"	385.983	21651.7	400.506
"TRINITY_DN1216_c0_g1_i1"	1.96025	6.126	0.261008
"TRINITY_DN1255_c0_g1_i2"	1481.54	11096.5	34.3204
"TRINITY_DN1255_c0_g1_i3"	43.2173	6260.63	0.458679
"TRINITY_DN1255_c0_g1_i1"	8.8688	2726.43	1.42997
"TRINITY_DN3337_c0_g1_i1"	8.05811	174.178	15.0599
"TRINITY_DN1510_c0_g1_i1"	1.09883	10.0842	4.72057
"TRINITY_DN1510_c0_g1_i2"	0.33149	26.7586	3.5485
"TRINITY_DN4683_c0_g1_i1"	83.6698	615.83	76.5154
"TRINITY_DN1812_c0_g1_i1"	0.1775	16.0626	1.07631
"TRINITY_DN333_c0_g2_i1"	1.12301	709.3	0.367816
"TRINITY_DN387_c0_g1_i1"	1.0287	27.5036	9.8245
"TRINITY_DN387_c0_g2_i1"	2.68724	28.1813	10.9344
"TRINITY_DN354_c0_g1_i2"	0.348124	116.275	3.57886
"TRINITY_DN320_c0_g1_i2"	140.142	34341	13.4653
"TRINITY_DN320_c0_g1_i1"	332.152	25739.5	7.28758
"TRINITY_DN4928_c0_g1_i1"	112.271	2777.87	90.0418
"TRINITY_DN4987_c0_g1_i1"	0	50.354	0
"TRINITY_DN4939_c0_g1_i1"	3412.06	10401.3	4677.23
"TRINITY_DN5024_c0_g1_i1"	0.28806	31.5052	9.27629
"TRINITY_DN795_c1_g1_i1"	299.79	106595	15.4373
"TRINITY_DN795_c0_g1_i1"	751.887	7420.98	14.7094
"TRINITY_DN753_c0_g2_i1"	2948.09	26623.2	4349.05
"TRINITY_DN2212_c0_g1_i1"	4.30433	89.706	0.199351
"TRINITY_DN2241_c1_g1_i1"	16.485	2615.41	1.92928
"TRINITY_DN2241_c0_g1_i1"	119.106	75864.1	3.3409
"TRINITY_DN2241_c0_g1_i2"	1743.16	69004.7	72.849
"TRINITY_DN1376_c0_g1_i1"	25.3772	83.8602	3.20534
