"id118_TPM"	"id349_TPM"	"id481_TPM"
"TRINITY_DN4764_c0_g1_i1"	2.59111	2.44776	0
"TRINITY_DN4780_c0_g1_i1"	4.18079	6.2496	0
"TRINITY_DN60_c0_g1_i2"	4.88756	4.50895	0.820368
"TRINITY_DN3845_c0_g1_i1"	2.52579	3.6855	0.146511
"TRINITY_DN3802_c0_g1_i1"	3.53786	3.23146	0.363186
"TRINITY_DN2967_c0_g1_i1"	2.68475	2.35685	0.964982
"TRINITY_DN479_c0_g1_i2"	4.97987	4.52987	0.737996
"TRINITY_DN1160_c0_g1_i1"	4.68661	4.95238	0
"TRINITY_DN5188_c0_g1_i1"	3.33464	6.28898	0
"TRINITY_DN5198_c0_g1_i1"	11.4496	10.5502	1.67704
"TRINITY_DN5137_c0_g1_i1"	2.31926	2.05461	0.661524
"TRINITY_DN4275_c0_g1_i1"	2.40064	3.79481	0.234631
"TRINITY_DN2789_c1_g1_i1"	16.8556	14.9007	2.12262
"TRINITY_DN3990_c0_g1_i1"	8.15676	7.57315	1.00388
"TRINITY_DN693_c0_g1_i1"	2.36569	3.30199	0.0838502
"TRINITY_DN5272_c0_g1_i1"	5.07975	4.54225	1.65697
"TRINITY_DN4360_c0_g1_i2"	4.37725	6.64896	0
"TRINITY_DN3772_c0_g1_i1"	2.87242	4.7729	0.0782498
"TRINITY_DN2863_c0_g1_i1"	2.68269	2.5301	0.209185
"TRINITY_DN4123_c0_g1_i1"	5.59172	7.69863	0
"TRINITY_DN2304_c0_g1_i1"	2.61717	2.60844	0.346226
"TRINITY_DN2347_c0_g1_i1"	2.26361	2.48406	0.372669
"TRINITY_DN2390_c0_g1_i1"	2.58979	4.00302	0
"TRINITY_DN3517_c0_g1_i1"	2.446	2.23767	0.363957
"TRINITY_DN3535_c0_g1_i1"	5.40355	6.21984	0
"TRINITY_DN2657_c0_g1_i1"	6.21625	5.69541	0.959097
"TRINITY_DN120_c0_g1_i2"	5.25602	5.3098	0.319919
"TRINITY_DN158_c1_g2_i1"	3.83169	4.58416	1.14211
"TRINITY_DN164_c0_g1_i2"	2.15927	2.85366	0
"TRINITY_DN179_c0_g1_i1"	4.36323	4.70177	0.384877
"TRINITY_DN114_c0_g1_i1"	4.37718	4.8238	0.792658
"TRINITY_DN176_c0_g1_i2"	3.02343	5.46325	0.144603
"TRINITY_DN4842_c0_g1_i1"	6.24171	7.66687	0
"TRINITY_DN4822_c0_g1_i1"	5.19056	5.98616	0
"TRINITY_DN4866_c0_g1_i1"	3.82534	5.74259	0.334516
"TRINITY_DN3036_c0_g1_i1"	2.81403	2.55546	0.295005
"TRINITY_DN3077_c0_g1_i1"	4.2516	7.45169	0.328066
"TRINITY_DN544_c0_g1_i1"	2.87935	2.81965	0.367591
"TRINITY_DN2115_c0_g1_i1"	2.24844	2.54066	0.317971
"TRINITY_DN2184_c0_g1_i1"	3.20537	4.50167	0.233979
"TRINITY_DN2154_c0_g1_i1"	2.822	5.19819	0
"TRINITY_DN1283_c0_g1_i1"	2.8326	4.56294	0.0687826
"TRINITY_DN3372_c0_g1_i1"	1.92822	3.335	0.131274
"TRINITY_DN3302_c0_g1_i1"	4.74119	7.33868	0
"TRINITY_DN1800_c0_g1_i2"	5.36537	8.37936	0
"TRINITY_DN1041_c0_g1_i1"	4.05622	4.21165	0.339947
"TRINITY_DN368_c0_g3_i1"	2.72108	3.64217	0
"TRINITY_DN368_c1_g1_i2"	2.88212	3.29236	0
"TRINITY_DN5052_c0_g1_i1"	5.1189	5.12952	0
"TRINITY_DN5004_c0_g1_i1"	2.3733	2.70026	0
"TRINITY_DN756_c0_g2_i1"	1443.98	1747.7	533.233
"TRINITY_DN715_c0_g1_i1"	3.4668	3.03628	0
"TRINITY_DN1369_c0_g1_i1"	3.5274	3.25619	0
