"id118_TPM"	"id349_TPM"	"id481_TPM"
"TRINITY_DN4725_c0_g1_i1"	11.8455	2.90268	0.564138
"TRINITY_DN0_c0_g1_i1"	6.39788	0.666489	0
"TRINITY_DN44_c0_g1_i1"	6.28666	1.82466	0.434752
"TRINITY_DN4_c0_g1_i10"	4.86324	0.869875	0
"TRINITY_DN49_c0_g1_i1"	18.0563	4.36645	0.748059
"TRINITY_DN62_c0_g2_i1"	7.79654	4.46077	0.412285
"TRINITY_DN10_c0_g1_i14"	3.57968	2.09124	0
"TRINITY_DN10_c0_g1_i9"	22.4517	6.33916	0.0327217
"TRINITY_DN35_c0_g1_i1"	8.02917	4.44324	0.721995
"TRINITY_DN31_c0_g1_i1"	5.58884	2.82755	0
"TRINITY_DN21_c0_g1_i14"	36.072	18.3884	2.2501
"TRINITY_DN29_c0_g1_i1"	37.9975	7.23761	1.15398
"TRINITY_DN23_c0_g1_i2"	4.80269	0.583245	0.4134
"TRINITY_DN86_c0_g2_i1"	14.5963	1.48142	1.03832
"TRINITY_DN46_c0_g2_i1"	9.73927	5.60607	0.297575
"TRINITY_DN5_c0_g1_i1"	3.92269	1.48142	0.69221
"TRINITY_DN76_c0_g1_i1"	5.19562	1.47203	0
"TRINITY_DN15_c0_g1_i1"	10.153	1.362	0.316
"TRINITY_DN72_c0_g1_i12"	1603.51	368.592	123.012
"TRINITY_DN50_c0_g1_i1"	4.34926	1.48142	0
"TRINITY_DN39_c0_g1_i3"	4.69166	2.58388	0
"TRINITY_DN81_c0_g1_i10"	6.69627	4.35169	2.49525
"TRINITY_DN3833_c0_g1_i1"	4.41073	3.20819	0.0476309
"TRINITY_DN3884_c0_g1_i1"	4.71378	2.05008	0.329943
"TRINITY_DN2951_c0_g1_i1"	6.68057	4.5971	0
"TRINITY_DN2051_c0_g1_i1"	4.09501	2.36284	0
"TRINITY_DN438_c0_g1_i1"	17.1745	6.04689	0.771322
"TRINITY_DN414_c0_g1_i1"	4.30495	1.56105	0.366416
"TRINITY_DN1188_c0_g1_i1"	15.5161	2.40566	0.395153
"TRINITY_DN1155_c0_g1_i1"	6.97894	3.11165	0.121692
"TRINITY_DN821_c0_g1_i1"	4.48712	1.61854	0.606412
"TRINITY_DN4518_c0_g1_i1"	16.4927	4.31258	0.390103
"TRINITY_DN3634_c0_g1_i1"	3.83893	1.81397	0.143977
"TRINITY_DN2735_c0_g1_i1"	16.4963	3.063	1.82705
"TRINITY_DN202_c0_g1_i1"	4.85351	3.2463	0.530388
"TRINITY_DN254_c0_g1_i1"	4.09855	0.919814	0.672842
