"132"	"334"	"485"
"TRINITY_DN41_c0_g2_i1"	172.213	127.613	219.451
"TRINITY_DN29_c0_g1_i7"	485.507	22.6542	309.776
"TRINITY_DN96_c0_g1_i3"	0.970544	0.773327	1.30985
"TRINITY_DN72_c0_g1_i5"	1112.27	235.65	1719.53
"TRINITY_DN72_c0_g1_i13"	194.92	0.000125214	375.097
"TRINITY_DN72_c0_g1_i7"	2721.41	207.335	2304.56
"TRINITY_DN72_c0_g1_i9"	3.07164	0.985933	1.94656
"TRINITY_DN72_c0_g1_i12"	2727.34	442.888	3101.17
"TRINITY_DN55_c0_g1_i1"	5.94191	3.958	4.9237
"TRINITY_DN91_c0_g2_i1"	3435.72	923.768	3147.14
"TRINITY_DN3810_c0_g1_i1"	487.195	414.01	622.791
"TRINITY_DN2987_c0_g1_i1"	7.44495	1.09842	6.66039
"TRINITY_DN1127_c1_g1_i1"	1.56883	1.3351	1.50605
"TRINITY_DN1131_c0_g1_i2"	0.167677	0	0.557762
"TRINITY_DN805_c0_g2_i1"	919.813	66.5427	743.591
"TRINITY_DN836_c0_g1_i2"	47.4569	29.2755	69.1194
"TRINITY_DN836_c0_g1_i1"	244.007	99.4066	227.413
"TRINITY_DN4264_c0_g1_i1"	1464.66	1086.18	1322.75
"TRINITY_DN4548_c0_g1_i1"	578.74	175.609	878.406
"TRINITY_DN4099_c0_g1_i1"	4018.69	1226.2	9306.16
"TRINITY_DN648_c0_g1_i1"	459.198	47.7719	1332.69
"TRINITY_DN5288_c0_g1_i1"	155.687	35.0408	146.893
"TRINITY_DN4362_c0_g1_i2"	47.0371	32.9731	53.6762
"TRINITY_DN4307_c0_g1_i1"	7679.16	2258.98	5886.18
"TRINITY_DN2581_c0_g1_i1"	2592.33	1730.09	2777.28
"TRINITY_DN2523_c0_g1_i2"	1.2717	0.183582	0.710235
"TRINITY_DN2802_c0_g1_i1"	1840.16	467.66	3289.54
"TRINITY_DN2817_c0_g1_i1"	6921.51	847.246	11361.9
"TRINITY_DN1976_c0_g1_i1"	16.2842	1.46092	14.4213
"TRINITY_DN1987_c0_g2_i2"	27.4834	11.954	20.2176
"TRINITY_DN1987_c0_g2_i1"	3829.21	1833.15	2733.42
"TRINITY_DN2625_c0_g1_i1"	41.4155	19.1281	32.2099
"TRINITY_DN1707_c0_g1_i1"	1285.92	413.267	959.268
"TRINITY_DN1728_c0_g1_i1"	744.104	555.433	847.837
"TRINITY_DN1744_c0_g2_i1"	3390.06	899.367	2462.14
"TRINITY_DN151_c0_g1_i1"	569.451	483.016	674.409
"TRINITY_DN158_c1_g1_i1"	212.123	66.1965	350.399
"TRINITY_DN166_c0_g2_i2"	2.25553	0.00782066	2.3528
"TRINITY_DN156_c0_g1_i1"	25.0702	2.17703	33.4711
"TRINITY_DN4873_c0_g1_i1"	10931.9	6403.71	20247.2
"TRINITY_DN4898_c0_g1_i1"	1834.28	1453.64	2033.07
"TRINITY_DN582_c0_g1_i1"	11423.8	2781.24	6535.62
"TRINITY_DN590_c0_g1_i1"	0.793329	0.413251	1.46567
"TRINITY_DN937_c0_g1_i1"	2571.41	309.975	3251.84
"TRINITY_DN3337_c0_g1_i1"	5.83647	1.52015	5.15339
"TRINITY_DN1545_c0_g2_i1"	7165.81	633.929	7757.51
"TRINITY_DN753_c0_g2_i1"	4824.84	3046.76	4583.86
"TRINITY_DN756_c0_g1_i1"	338.191	170.446	610.876
"TRINITY_DN1393_c0_g1_i1"	501.955	38.6827	1313.27
"TRINITY_DN4476_c0_g1_i1"	4884.94	1259.18	3037.3
"TRINITY_DN1606_c0_g1_i1"	3.09588	0.670166	4.52662
