"132"	"334"	"485"
"TRINITY_DN4_c0_g1_i3"	0.00578202	0	2.17545e-05
"TRINITY_DN29_c0_g1_i8"	5769.58	1787.05	1677.97
"TRINITY_DN72_c0_g1_i8"	96.4632	29.3713	54.715
"TRINITY_DN2979_c0_g1_i1"	0.207012	0	0
"TRINITY_DN429_c0_g3_i1"	14185	7235.47	8116.72
"TRINITY_DN5162_c0_g1_i1"	2220.75	1826.55	1962.66
"TRINITY_DN4288_c0_g1_i1"	3635.7	3076.77	3100.92
"TRINITY_DN4263_c0_g1_i1"	5502.7	1978	3224.34
"TRINITY_DN246_c0_g1_i2"	653.718	253.73	288.612
"TRINITY_DN3920_c0_g1_i1"	1465.56	1161.02	1075.89
"TRINITY_DN3908_c0_g1_i1"	0.32413	0	0
"TRINITY_DN629_c0_g1_i2"	68.8622	58.7745	46.9556
"TRINITY_DN2556_c1_g1_i1"	4020.38	1283.49	2092.81
"TRINITY_DN4145_c0_g1_i1"	5617.13	3288.76	3278.13
"TRINITY_DN3527_c0_g1_i1"	0.320715	0	0
"TRINITY_DN1721_c0_g9_i1"	7573.2	1304.57	1919.75
"TRINITY_DN582_c1_g2_i1"	15938.7	4744.05	6556.01
"TRINITY_DN1812_c0_g1_i1"	1.00606	0.433912	0.557762
"TRINITY_DN4939_c0_g1_i1"	8929.42	2167.41	4413.92
"TRINITY_DN5024_c0_g1_i1"	2.13895	0.84803	0
"TRINITY_DN756_c0_g2_i1"	646.403	90.1865	253.018
