"id132_TPM"	"id334_TPM"	"id485_TPM"
"TRINITY_DN4715_c0_g1_i1"	4.59281	3.05369	13.745
"TRINITY_DN4775_c0_g1_i1"	2.50064	1.9028	5.37367
"TRINITY_DN4751_c0_g1_i1"	0.553	0	13.2114
"TRINITY_DN4726_c0_g1_i1"	1.45865	1.51203	2.23722
"TRINITY_DN4762_c0_g1_i1"	2.92335	2.09897	6.33623
"TRINITY_DN4721_c0_g1_i1"	0	0.795712	8.60764
"TRINITY_DN4785_c0_g1_i1"	0.878284	0.772123	9.0158
"TRINITY_DN4781_c0_g1_i1"	1.68282	0.740928	8.30563
"TRINITY_DN4789_c0_g1_i1"	0.602186	0.931994	4.40546
"TRINITY_DN4794_c0_g1_i1"	3.70807	3.19613	5.78498
"TRINITY_DN4772_c0_g1_i1"	2.50681	0.962074	7.8955
"TRINITY_DN4765_c0_g1_i1"	1.0013	0.0952729	7.25209
"TRINITY_DN4730_c0_g1_i1"	1.57409	2.19245	8.04252
"TRINITY_DN4782_c0_g1_i1"	4.2174	6.54452	17.8657
"TRINITY_DN4735_c0_g1_i1"	0	0.292232	5.33086
"TRINITY_DN4757_c0_g1_i1"	841.936	1000.92	5180.35
"TRINITY_DN4777_c0_g1_i1"	1.41285	1.10271	3.95845
"TRINITY_DN4770_c0_g1_i1"	0.46284	0.201689	5.20605
"TRINITY_DN4716_c0_g1_i1"	0.629709	0	5.12339
"TRINITY_DN4745_c0_g1_i1"	2.75874	3.20614	13.443
"TRINITY_DN4737_c0_g1_i1"	2.4072	3.99436	21.8748
"TRINITY_DN4793_c0_g1_i1"	0.556277	0.0677967	10.8724
"TRINITY_DN4732_c0_g1_i1"	0.910335	0.267197	22.2113
"TRINITY_DN4738_c0_g1_i1"	0.340818	0.582059	7.14406
"TRINITY_DN4708_c0_g1_i1"	5.58516	4.34606	11.4688
"TRINITY_DN4731_c0_g1_i1"	0.834208	0.575559	8.69349
"TRINITY_DN4792_c0_g1_i1"	7.24239	6.27063	13.0385
"TRINITY_DN4740_c0_g1_i1"	1.40093	0	5.3543
"TRINITY_DN4717_c0_g1_i1"	0.223117	1.74845	9.51973
"TRINITY_DN4710_c0_g1_i1"	3.9407	7.3116	17.2165
"TRINITY_DN59_c0_g1_i1"	2.06251	2.32082	4.54698
"TRINITY_DN9_c0_g1_i1"	2.39581	3.30253	8.37422
"TRINITY_DN47_c0_g1_i4"	1.43785	0.837209	2.99071
"TRINITY_DN65_c0_g1_i2"	2.70783	3.44091	5.48802
"TRINITY_DN71_c0_g1_i1"	0.590077	0.259235	13.4624
"TRINITY_DN25_c0_g2_i2"	3.47033	4.58528	8.68827
"TRINITY_DN25_c0_g1_i1"	3.94242	2.55079	10.8281
"TRINITY_DN25_c0_g3_i1"	2.84108	2.72049	10.0597
"TRINITY_DN16_c0_g1_i5"	1.47291	0.741151	3.69645
"TRINITY_DN16_c0_g1_i2"	17.0941	15.7773	24.3795
"TRINITY_DN16_c0_g1_i7"	2.52639	2.83102	5.51258
"TRINITY_DN34_c0_g1_i1"	2.54562	2.17709	4.86923
"TRINITY_DN4_c0_g2_i2"	5.13514	4.83793	11.3231
"TRINITY_DN4_c0_g1_i4"	7.72568	7.14726	16.7443
"TRINITY_DN4_c0_g1_i7"	9.38294	11.1622	19.029
"TRINITY_DN66_c0_g1_i2"	4.39777	3.46419	7.588
"TRINITY_DN6_c0_g1_i6"	0.896877	0.0450026	4.21174
"TRINITY_DN56_c0_g1_i1"	3.51221	2.91044	7.53975
"TRINITY_DN56_c0_g2_i1"	8.44746	8.87753	11.1507
"TRINITY_DN92_c0_g1_i1"	1.08492	0.167857	13.1531
"TRINITY_DN92_c0_g2_i2"	6.08154	5.6231	21.2939
"TRINITY_DN7_c0_g2_i1"	3.45294	3.40034	7.04777
"TRINITY_DN77_c0_g2_i1"	1.03167	0.403137	4.52038
"TRINITY_DN77_c0_g1_i1"	4.66751	5.61934	10.4888
"TRINITY_DN41_c1_g1_i1"	1.88213	1.72669	5.09977
"TRINITY_DN30_c0_g1_i6"	4.13603	6.73884	17.3985
"TRINITY_DN30_c0_g1_i5"	6.53312	9.79152	18.9587
"TRINITY_DN82_c0_g2_i1"	7.84743	8.38544	14.7203
"TRINITY_DN10_c0_g1_i11"	1.52348	0.290231	17.4806
"TRINITY_DN10_c0_g1_i5"	0.0180205	1.54155e-10	8.45154
"TRINITY_DN48_c0_g1_i14"	0	0	5.08321
"TRINITY_DN48_c0_g1_i10"	6.95179	7.74172	11.7339
"TRINITY_DN68_c0_g1_i1"	2.47773	1.72463	11.2689
"TRINITY_DN42_c0_g1_i4"	10.6152	11.1542	15.4036
"TRINITY_DN42_c0_g2_i6"	2.16845	2.19837	3.28428
"TRINITY_DN45_c0_g2_i1"	1.66774	1.49214	3.68328
"TRINITY_DN24_c0_g1_i2"	1.63879	1.59127	10.7084
"TRINITY_DN24_c0_g1_i1"	3.97347	4.1145	13.6823
"TRINITY_DN29_c0_g2_i1"	2.02006	1.93524	3.81411
"TRINITY_DN29_c0_g1_i1"	48.1697	48.552	139.954
"TRINITY_DN29_c0_g1_i2"	275.156	297.264	683.729
"TRINITY_DN29_c0_g3_i1"	4.45023	4.19201	7.74376
"TRINITY_DN26_c0_g1_i1"	1.69681	1.09846	5.5377
"TRINITY_DN69_c0_g1_i1"	5.50411	4.70585	10.1621
"TRINITY_DN79_c0_g1_i1"	1.15623	0.690506	4.71328
"TRINITY_DN8_c0_g1_i1"	164.795	257.658	869.867
"TRINITY_DN8_c0_g1_i4"	1.23671	2.43388	8.23371
"TRINITY_DN52_c0_g1_i2"	0	0.848969	5.2156
"TRINITY_DN23_c0_g1_i2"	8.18211	7.9107	22.1386
"TRINITY_DN23_c0_g1_i1"	2.67059	2.09329	11.1948
"TRINITY_DN73_c0_g1_i3"	3.14533	3.12754	8.25903
"TRINITY_DN86_c0_g1_i1"	14.9681	14.1275	18.4424
"TRINITY_DN28_c0_g1_i15"	6.34128e-05	0.433726	5.7379
"TRINITY_DN28_c0_g1_i6"	0	0.41689	7.07961
"TRINITY_DN28_c0_g1_i12"	1.45625	1.72981	13.3207
"TRINITY_DN43_c0_g1_i1"	4.98136	4.81635	5.41794
