"id132_TPM"	"id334_TPM"	"id485_TPM"
"TRINITY_DN4796_c0_g1_i1"	12.5186	17.884	8.88744
"TRINITY_DN14_c0_g1_i3"	11.5232	12.534	8.49156
"TRINITY_DN32_c0_g1_i7"	4.52246	5.08509	1.84883
"TRINITY_DN32_c0_g1_i6"	14.6389	15.2017	10.8908
"TRINITY_DN92_c0_g2_i1"	3.54076	3.51113	3.0695
"TRINITY_DN37_c0_g1_i1"	11.0206	12.3886	5.63908
"TRINITY_DN10_c0_g1_i10"	10.7093	14.6229	5.33193
"TRINITY_DN10_c0_g1_i9"	11.9147	14.9021	1.00987
"TRINITY_DN10_c2_g1_i1"	12.9412	24.1089	4.84974
"TRINITY_DN35_c0_g1_i1"	3.02935	5.3948	1.24128
"TRINITY_DN48_c0_g1_i1"	3.31117	5.16639	0
"TRINITY_DN48_c0_g1_i13"	2.29369	2.54134	0.616573
"TRINITY_DN61_c0_g1_i3"	6.43564	9.21439	3.61462
"TRINITY_DN20_c0_g1_i1"	5.3068	5.46331	5.01885
"TRINITY_DN12_c0_g2_i1"	7.85123	10.0757	5.53698
"TRINITY_DN31_c0_g1_i2"	18.0914	22.5122	14.7844
"TRINITY_DN29_c0_g1_i11"	88.6219	94.7784	28.9294
"TRINITY_DN46_c0_g1_i1"	2.79914	2.99586	2.23332
"TRINITY_DN63_c0_g1_i2"	13.0159	11.9721	6.22596
"TRINITY_DN36_c0_g1_i5"	2.15827	2.26901	1.98691
"TRINITY_DN80_c0_g1_i2"	6.01908	5.56599	3.87907
"TRINITY_DN95_c0_g1_i3"	7.47487	8.2551	3.62104
"TRINITY_DN2024_c0_g1_i1"	4.94448	7.01459	3.12338
"TRINITY_DN2051_c0_g1_i1"	3.85676	3.74094	0
"TRINITY_DN452_c0_g1_i4"	4.35359	4.9683	3.11465
"TRINITY_DN438_c0_g1_i1"	17.0548	20.4565	14.148
"TRINITY_DN1168_c0_g1_i1"	3.61545	4.29906	2.68017
"TRINITY_DN839_c0_g1_i1"	2.85895	3.07304	2.18736
"TRINITY_DN857_c0_g1_i3"	6.13104	7.63216	4.58263
"TRINITY_DN857_c0_g1_i2"	7.13352	9.9407	2.37199
"TRINITY_DN5163_c0_g1_i1"	2.9098	2.79315	2.38164
"TRINITY_DN5190_c0_g1_i1"	2.90053	4.07971	0.501039
"TRINITY_DN4504_c0_g1_i1"	3.84972	6.49858	1.02408
"TRINITY_DN220_c0_g3_i4"	109946	107575	97613
"TRINITY_DN214_c0_g1_i1"	14.5545	21.9453	8.95164
"TRINITY_DN3983_c0_g1_i1"	16.7157	22.3815	2.88575
"TRINITY_DN4048_c0_g1_i1"	5.19738	6.66495	3.00136
"TRINITY_DN661_c0_g1_i1"	2.07094	2.81798	0.269487
"TRINITY_DN5218_c0_g1_i2"	5.18563	6.27288	4.53468
"TRINITY_DN5228_c0_g1_i1"	6.96575	11.6676	0.512516
"TRINITY_DN4342_c0_g1_i1"	7.78903	9.74294	4.09428
"TRINITY_DN4396_c0_g1_i2"	119.457	127.183	86.2632
"TRINITY_DN3477_c0_g1_i1"	2.99198	3.47604	2.54938
"TRINITY_DN3430_c0_g1_i1"	3.88896	5.47674	2.57111
"TRINITY_DN2569_c0_g1_i2"	12.7436	12.8743	5.68524
"TRINITY_DN2535_c0_g1_i1"	1.65693	2.19245	1.27949
"TRINITY_DN2568_c0_g2_i1"	1.72292	2.76416	0.832412
"TRINITY_DN2863_c0_g1_i1"	4.29602	3.67259	1.76426
"TRINITY_DN2852_c0_g1_i1"	7.5292	11.1351	3.59403
"TRINITY_DN1941_c0_g3_i1"	17390	18215	14258.8
"TRINITY_DN3263_c0_g1_i1"	3.52151	4.96413	1.40009
"TRINITY_DN1474_c1_g2_i1"	215309	208346	157279
"TRINITY_DN1483_c0_g1_i2"	1.92804	2.58048	1.46591
