"id073_TPM"	"id221_TPM"	"id427_TPM"
"TRINITY_DN85_c0_g1_i1"	19.5295	0.712979	34.8261
"TRINITY_DN29_c0_g1_i2"	74.4167	0.922551	89.8218
"TRINITY_DN72_c0_g1_i5"	477.919	18.4255	426.085
"TRINITY_DN72_c0_g1_i12"	393.853	22.4681	456.355
"TRINITY_DN72_c0_g1_i8"	819.447	25.7398	1584
"TRINITY_DN3810_c0_g1_i1"	1835.11	571.817	2533.77
"TRINITY_DN3844_c0_g1_i1"	27242	9483.75	27355.4
"TRINITY_DN3908_c0_g1_i1"	43.5634	0	60.9008
"TRINITY_DN2581_c0_g1_i1"	8337.44	1870.27	12080.8
"TRINITY_DN2802_c0_g1_i1"	931.146	712.223	893.132
"TRINITY_DN2625_c0_g1_i1"	148.159	61.5335	141.51
"TRINITY_DN151_c0_g1_i1"	3562.92	548.862	3341.85
"TRINITY_DN106_c0_g1_i3"	4.19873	0	7.87877
"TRINITY_DN166_c0_g2_i2"	31.2361	1.67337	31.3947
"TRINITY_DN2179_c1_g1_i1"	3117.4	576.087	4342.93
"TRINITY_DN937_c0_g1_i1"	657.786	40.8363	1315.95
"TRINITY_DN3337_c0_g1_i1"	120.659	1.36441	120.01
"TRINITY_DN1510_c0_g1_i1"	231.216	0.341102	505.755
"TRINITY_DN4683_c0_g1_i1"	399.67	121.921	421.328
"TRINITY_DN1082_c1_g1_i1"	30.7963	3.61826	67.9217
"TRINITY_DN389_c0_g2_i1"	4817.42	564.861	7271.24
"TRINITY_DN4928_c0_g1_i1"	511.627	141.536	914.234
"TRINITY_DN5024_c0_g1_i1"	297.173	0	494.9
"TRINITY_DN753_c0_g2_i1"	30857.2	6549.23	32959.3
"TRINITY_DN1316_c0_g1_i1"	325470	178090	430283
