"073"	"221"	"427"
"TRINITY_DN29_c0_g1_i8"	169.484	3640.9	1136.03
"TRINITY_DN8_c0_g2_i2"	0	0.122212	0
"TRINITY_DN8_c0_g1_i3"	0	0.0928453	0
"TRINITY_DN91_c0_g2_i1"	955.514	6527.2	141.82
"TRINITY_DN81_c0_g1_i10"	0	0.0976606	0
"TRINITY_DN2969_c0_g1_i2"	0	0.11389	0
"TRINITY_DN2987_c0_g1_i1"	1.71615	38.2581	0
"TRINITY_DN825_c1_g1_i1"	0	0.129632	0
"TRINITY_DN836_c0_g1_i1"	1.2934	243.576	6.61969
"TRINITY_DN5162_c0_g1_i1"	322.314	1489.73	71.1516
"TRINITY_DN5174_c0_g1_i1"	0	0.263621	0
"TRINITY_DN4288_c0_g1_i1"	248.515	2683.11	102.318
"TRINITY_DN4548_c0_g1_i1"	15.7505	571.453	17.6126
"TRINITY_DN237_c0_g1_i1"	7917.86	356012	3787.66
"TRINITY_DN237_c0_g1_i2"	1986.36	46160.8	854.97
"TRINITY_DN4099_c0_g1_i1"	330.92	6729.05	181.709
"TRINITY_DN629_c0_g1_i1"	0	0.104044	0
"TRINITY_DN3458_c0_g1_i1"	5216.95	36448.9	3394.42
"TRINITY_DN2578_c0_g2_i1"	70.6774	12421.8	252.128
"TRINITY_DN1707_c0_g1_i1"	810.629	6727.53	912.85
"TRINITY_DN1710_c0_g1_i1"	5875.46	13498.1	9682.79
"TRINITY_DN156_c0_g1_i1"	0	18.5498	0
"TRINITY_DN1545_c0_g2_i1"	451.47	3288.49	468.408
"TRINITY_DN4646_c0_g1_i1"	244.877	1173.94	56.5452
"TRINITY_DN1393_c0_g1_i1"	25.3278	450.924	19.7023
"TRINITY_DN4476_c0_g1_i1"	580.417	2274.37	92.2396
"TRINITY_DN1606_c0_g1_i1"	0	6.63528	0
