"id151_TPM"	"id254_TPM"	"id445_TPM"
"TRINITY_DN4757_c0_g1_i1"	1623.24	2038.97	17956.3
"TRINITY_DN29_c0_g1_i8"	2221.98	1173.18	13041
"TRINITY_DN29_c0_g1_i7"	7.95617	80.9259	257.174
"TRINITY_DN72_c0_g1_i5"	104.291	26.3339	2456.19
"TRINITY_DN72_c0_g1_i13"	197.622	32.7625	9033.86
"TRINITY_DN72_c0_g1_i7"	245.768	68.6722	7934.62
"TRINITY_DN72_c0_g1_i12"	22.4983	31.6903	184.689
"TRINITY_DN72_c0_g1_i8"	75.563	73.6943	183.551
"TRINITY_DN2987_c0_g1_i1"	2.61243	0	16.6186
"TRINITY_DN805_c0_g2_i1"	1053.98	371.651	3088.14
"TRINITY_DN246_c0_g1_i2"	512.684	460.347	572.852
"TRINITY_DN3920_c0_g1_i1"	1672.69	1460.44	1849.21
"TRINITY_DN4099_c0_g1_i1"	22014.5	16151	32936.2
"TRINITY_DN602_c0_g1_i1"	5.39034	4.23503	18.2181
"TRINITY_DN648_c0_g1_i1"	1784.08	1366.92	3568.78
"TRINITY_DN5288_c0_g1_i1"	244.118	196.709	444.196
"TRINITY_DN4362_c0_g1_i2"	25.238	48.2924	140.968
"TRINITY_DN2817_c0_g1_i1"	987.775	226.428	21448.6
"TRINITY_DN1987_c0_g2_i2"	58.4452	27.0208	88.7434
"TRINITY_DN1987_c0_g2_i1"	7081.99	3680.02	14815.6
"TRINITY_DN4145_c0_g1_i1"	5485.08	2705.21	10742.7
"TRINITY_DN1474_c1_g2_i1"	42524.6	44499.5	112747
"TRINITY_DN2625_c0_g1_i1"	40.5844	18.4892	83.4076
"TRINITY_DN1707_c0_g1_i1"	4132.88	3429.98	22954.1
"TRINITY_DN1721_c0_g9_i1"	4852.77	2052.73	7447.04
"TRINITY_DN4899_c0_g1_i1"	2886.15	5060.32	8663.74
"TRINITY_DN590_c0_g1_i1"	0.529641	1.5724	12.3425
"TRINITY_DN937_c0_g1_i1"	312.225	78.2993	6173
"TRINITY_DN354_c0_g1_i2"	0.416494	0.998116	4.48342
"TRINITY_DN389_c0_g2_i1"	1278.91	2103.94	11284.2
"TRINITY_DN4939_c0_g1_i1"	5860.22	3742.74	12930.7
"TRINITY_DN5024_c0_g1_i1"	0	2.33962	3.36924
"TRINITY_DN756_c0_g2_i1"	73.0052	54.6301	3599.8
"TRINITY_DN756_c0_g1_i1"	4.80225	2.55149	204.863
"TRINITY_DN1316_c0_g1_i1"	238136	248347	306446
"TRINITY_DN1606_c0_g1_i1"	8.5997	18.51	25.3262
