"id151_TPM"	"id254_TPM"	"id445_TPM"
"TRINITY_DN4_c0_g1_i3"	57.0054	15.3266	37.2812
"TRINITY_DN29_c0_g1_i11"	268.03	89.1871	263.509
"TRINITY_DN29_c0_g1_i2"	3.17142	0.645372	2.06473
"TRINITY_DN91_c0_g2_i1"	7322.11	5033.35	6384.86
"TRINITY_DN412_c0_g1_i1"	16.1056	3.91876	16.4943
"TRINITY_DN4288_c0_g1_i1"	6169.24	4705.13	6276.12
"TRINITY_DN4263_c0_g1_i1"	22444.1	10579.8	19166
"TRINITY_DN4548_c0_g1_i1"	1706.63	1286.55	1707.14
"TRINITY_DN2556_c1_g1_i1"	37301	12767.1	23489.7
"TRINITY_DN1728_c0_g1_i1"	1513.87	1331.88	1431.36
"TRINITY_DN156_c0_g1_i1"	104.432	52.8989	81.0605
"TRINITY_DN957_c0_g2_i1"	4323.53	3406.84	3902.2
"TRINITY_DN4646_c0_g1_i1"	3511.28	2440.81	2845.26
"TRINITY_DN1393_c0_g1_i1"	3183.19	1566.99	2690.62
