"151"	"254"	"445"
"TRINITY_DN55_c0_g1_i1"	5.13488	2.49752	0.821457
"TRINITY_DN81_c0_g1_i7"	0.920007	0.652538	0.393106
"TRINITY_DN404_c0_g1_i5"	1.10457	0.669501	0.376228
"TRINITY_DN836_c0_g1_i2"	688.437	503.029	60.8244
"TRINITY_DN836_c0_g1_i1"	1851.97	1642.55	309.25
"TRINITY_DN629_c0_g1_i2"	0.764432	0.730752	0.312238
"TRINITY_DN4307_c0_g1_i1"	60776	42361	11311.8
"TRINITY_DN1941_c0_g3_i1"	23663.4	16234	11396.4
"TRINITY_DN1744_c0_g2_i1"	8592.76	5550.06	3943.95
"TRINITY_DN1710_c0_g1_i1"	23496.5	21580.4	16622.3
"TRINITY_DN4873_c0_g1_i1"	23520.7	24030.2	15832.8
"TRINITY_DN1255_c0_g1_i2"	2.54257	2.62088	1.72638
"TRINITY_DN1082_c1_g1_i1"	26.9074	25.5663	6.01554
"TRINITY_DN4476_c0_g1_i1"	22170.9	17627.6	9161.47
