"151"	"254"	"445"
"TRINITY_DN21_c0_g1_i8"	0	0.12954	0.233997
"TRINITY_DN29_c0_g1_i7"	7.95617	80.9259	257.174
"TRINITY_DN81_c0_g1_i10"	0	0.0958808	0.170928
"TRINITY_DN81_c0_g1_i20"	0	0.122971	0.260147
"TRINITY_DN4090_c0_g1_i1"	0	0.119954	0.481763
"TRINITY_DN4362_c0_g1_i2"	25.238	48.2924	140.968
"TRINITY_DN3484_c0_g1_i1"	0	0.935268	1.14017
"TRINITY_DN106_c0_g1_i5"	0	0.399011	1.21526
"TRINITY_DN4899_c0_g1_i1"	2886.15	5060.32	8663.74
"TRINITY_DN3319_c0_g1_i1"	0	0.37842	0.584265
"TRINITY_DN1510_c0_g1_i1"	0	0.736382	1.8529
"TRINITY_DN1510_c0_g1_i2"	0	0.667574	1.66688
"TRINITY_DN354_c0_g1_i2"	0.416494	0.998116	4.48342
"TRINITY_DN320_c0_g1_i2"	0	0.856411	1.81414
"TRINITY_DN320_c0_g1_i1"	0	0.000305265	0.000678072
"TRINITY_DN5024_c0_g1_i1"	0	2.33962	3.36924
"TRINITY_DN795_c0_g1_i1"	0.462231	1.3725	1.50861
"TRINITY_DN1316_c0_g1_i1"	238136	248347	306446
"TRINITY_DN1606_c0_g1_i1"	8.5997	18.51	25.3262
"TRINITY_DN1639_c0_g1_i2"	0	0.0519378	0.126741
