"id151_TPM"	"id254_TPM"	"id445_TPM"
"TRINITY_DN2987_c0_g1_i1"	2.61243	0	16.6186
"TRINITY_DN805_c0_g2_i1"	1053.98	371.651	3088.14
"TRINITY_DN246_c0_g1_i2"	512.684	460.347	572.852
"TRINITY_DN3920_c0_g1_i1"	1672.69	1460.44	1849.21
"TRINITY_DN4099_c0_g1_i1"	22014.5	16151	32936.2
"TRINITY_DN648_c0_g1_i1"	1784.08	1366.92	3568.78
"TRINITY_DN5288_c0_g1_i1"	244.118	196.709	444.196
"TRINITY_DN1987_c0_g2_i2"	58.4452	27.0208	88.7434
"TRINITY_DN1987_c0_g2_i1"	7081.99	3680.02	14815.6
"TRINITY_DN4145_c0_g1_i1"	5485.08	2705.21	10742.7
"TRINITY_DN2625_c0_g1_i1"	40.5844	18.4892	83.4076
"TRINITY_DN1721_c0_g9_i1"	4852.77	2052.73	7447.04
"TRINITY_DN4939_c0_g1_i1"	5860.22	3742.74	12930.7
