"id113_TPM"	"id222_TPM"	"id425_TPM"
"TRINITY_DN29_c0_g1_i7"	513.6	59.3029	0
"TRINITY_DN29_c0_g1_i2"	5.70061	0	0.271218
"TRINITY_DN72_c0_g1_i7"	12357.4	6182.76	9865.65
"TRINITY_DN2987_c0_g1_i1"	64.1699	29.5034	0
"TRINITY_DN412_c0_g1_i1"	72.6997	28.1211	5.66072
"TRINITY_DN429_c0_g3_i1"	12853.1	10571.7	11210
"TRINITY_DN805_c0_g2_i1"	2362.22	939.97	271.442
"TRINITY_DN237_c0_g1_i2"	2810.01	2477.92	2061.48
"TRINITY_DN602_c0_g1_i1"	15.7202	12.5434	13.7512
"TRINITY_DN3215_c0_g1_i1"	23.9143	16.6575	9.77307
"TRINITY_DN582_c1_g2_i1"	33244.2	26377.4	17363.1
"TRINITY_DN937_c0_g1_i1"	9841.51	3702.04	5419.01
