"113"	"222"	"425"
"TRINITY_DN21_c0_g1_i3"	0.140941	0	0
"TRINITY_DN29_c0_g1_i7"	513.6	59.3029	0
"TRINITY_DN29_c0_g1_i2"	5.70061	0	0.271218
"TRINITY_DN64_c0_g1_i5"	0.165729	0	0
"TRINITY_DN81_c0_g1_i13"	0.0592931	0	0
"TRINITY_DN2987_c0_g1_i1"	64.1699	29.5034	0
"TRINITY_DN2099_c0_g1_i1"	0.606687	0	0
"TRINITY_DN412_c0_g1_i1"	72.6997	28.1211	5.66072
"TRINITY_DN805_c0_g2_i1"	2362.22	939.97	271.442
"TRINITY_DN2789_c0_g1_i1"	0.335259	0	0
"TRINITY_DN237_c0_g1_i2"	2810.01	2477.92	2061.48
"TRINITY_DN1915_c0_g1_i1"	0.0963335	0	0
"TRINITY_DN3215_c0_g1_i1"	23.9143	16.6575	9.77307
"TRINITY_DN582_c1_g2_i1"	33244.2	26377.4	17363.1
"TRINITY_DN1510_c0_g1_i1"	0.750146	0	0
