"id113_TPM"	"id222_TPM"	"id425_TPM"
"TRINITY_DN4_c0_g1_i3"	33.4772	27.855	0.883437
"TRINITY_DN4288_c0_g1_i1"	6030.91	7811.37	1593.66
"TRINITY_DN4548_c0_g1_i1"	1676.71	1960.6	399.961
"TRINITY_DN220_c0_g3_i4"	200700	190622	60929.6
"TRINITY_DN237_c0_g1_i1"	19733	17608	6332.17
"TRINITY_DN4099_c0_g1_i1"	19747	17953.8	500.191
"TRINITY_DN648_c0_g1_i1"	2550.71	1733.33	120.188
"TRINITY_DN5288_c0_g1_i1"	423.157	591.428	90.9586
"TRINITY_DN4307_c0_g1_i1"	20935	19617.3	4180.44
"TRINITY_DN3458_c0_g1_i1"	11086.1	12223.6	7119.33
"TRINITY_DN2556_c1_g1_i1"	27653.6	22213	8757.18
"TRINITY_DN2578_c0_g2_i1"	9944.81	12763.1	308.518
"TRINITY_DN2802_c0_g1_i1"	8844.52	6667.74	1624.99
"TRINITY_DN1976_c0_g1_i1"	99.7912	131.023	7.07364
"TRINITY_DN1987_c0_g2_i1"	10572.4	9222.51	2345.64
"TRINITY_DN1941_c0_g3_i1"	19523.7	25333.3	3030.9
"TRINITY_DN4145_c0_g1_i1"	9307.74	8015.1	1320.53
"TRINITY_DN1707_c0_g1_i1"	7895.92	10124.6	2247.86
"TRINITY_DN1728_c0_g1_i1"	1540.67	2055.32	528.181
"TRINITY_DN1744_c0_g2_i1"	5578.71	5941.42	788.191
"TRINITY_DN1710_c0_g1_i1"	28290.7	30813	8938.65
"TRINITY_DN156_c0_g1_i1"	95.5587	97.2553	6.02505
"TRINITY_DN4873_c0_g1_i1"	26539.1	29165.8	15704
"TRINITY_DN4899_c0_g1_i1"	6113.4	5161.02	2701.91
"TRINITY_DN582_c0_g1_i1"	37142.4	32553.6	4767.29
"TRINITY_DN1545_c0_g2_i1"	44114.4	39655.2	589.979
"TRINITY_DN2238_c0_g1_i1"	18316.1	16357.1	8143.19
"TRINITY_DN1393_c0_g1_i1"	3671.57	4197.12	209.758
"TRINITY_DN1316_c0_g1_i1"	184582	185351	102646
"TRINITY_DN4476_c0_g1_i1"	10286.4	10661.5	2171.52
"TRINITY_DN1606_c0_g1_i1"	36.2271	50.0189	0
