"173"	"272"
"TRINITY_DN4757_c0_g1_i1"	918.258	675.081
"TRINITY_DN41_c0_g2_i1"	210.68	13112.1
"TRINITY_DN29_c0_g1_i11"	870.469	96.0817
"TRINITY_DN29_c0_g1_i8"	11250.3	435.69
"TRINITY_DN72_c0_g1_i13"	296.332	260.768
"TRINITY_DN72_c0_g1_i7"	215.727	221.379
"TRINITY_DN72_c0_g1_i8"	10137.5	177.439
"TRINITY_DN91_c0_g2_i1"	3444.07	4864.25
"TRINITY_DN3810_c0_g1_i1"	4163.9	1421.58
"TRINITY_DN429_c0_g3_i1"	6974.79	23349
"TRINITY_DN805_c0_g2_i1"	485.126	547.903
"TRINITY_DN5162_c0_g1_i1"	2058.66	752.358
"TRINITY_DN4288_c0_g1_i1"	3188.93	2952.19
"TRINITY_DN4264_c0_g1_i1"	538.714	296.722
"TRINITY_DN4263_c0_g1_i1"	5457.8	9524.75
"TRINITY_DN4548_c0_g1_i1"	396.236	91.9619
"TRINITY_DN246_c0_g1_i2"	248.399	1175.08
"TRINITY_DN237_c0_g1_i2"	3382.66	37706
"TRINITY_DN3920_c0_g1_i1"	695.294	683.84
"TRINITY_DN4099_c0_g1_i1"	5703.55	3502.72
"TRINITY_DN648_c0_g1_i1"	67.6768	391.228
"TRINITY_DN5288_c0_g1_i1"	61.1164	1069.98
"TRINITY_DN4362_c0_g1_i2"	157.535	466.213
"TRINITY_DN4307_c0_g1_i1"	13312.7	6689.33
"TRINITY_DN3458_c0_g1_i1"	8773.18	33133.4
"TRINITY_DN2581_c0_g1_i1"	15542.1	4959.53
"TRINITY_DN2556_c1_g1_i1"	6194.72	10987.4
"TRINITY_DN2578_c0_g2_i1"	3010.39	675.779
"TRINITY_DN2802_c0_g1_i1"	523.262	1106.61
"TRINITY_DN2817_c0_g1_i1"	5698.05	570.157
"TRINITY_DN1987_c0_g2_i1"	7480.16	9048.87
"TRINITY_DN1941_c0_g3_i1"	9383.55	6023.85
"TRINITY_DN4145_c0_g1_i1"	8518.38	2249.07
"TRINITY_DN1707_c0_g1_i1"	1074.41	252.376
"TRINITY_DN1728_c0_g1_i1"	1033.89	2121.17
"TRINITY_DN1744_c0_g2_i1"	9318.65	1003.35
"TRINITY_DN1710_c0_g1_i1"	23221.2	11005.2
"TRINITY_DN1721_c0_g9_i1"	2501.68	11494.2
"TRINITY_DN151_c0_g1_i1"	4898.29	1576.35
"TRINITY_DN158_c1_g1_i1"	50.5951	647.274
"TRINITY_DN4873_c0_g1_i1"	1980.96	3922.39
"TRINITY_DN4899_c0_g1_i1"	8940.31	4629.76
"TRINITY_DN4898_c0_g1_i1"	16799.8	4693.3
"TRINITY_DN582_c0_g1_i1"	6212.68	9889.28
"TRINITY_DN582_c1_g2_i1"	5532.45	26396.2
"TRINITY_DN2179_c1_g1_i1"	4413.04	1971.16
"TRINITY_DN937_c0_g1_i1"	931.372	366.106
"TRINITY_DN957_c0_g2_i1"	3651.9	2264.39
"TRINITY_DN1545_c0_g2_i1"	3533.07	7002.26
"TRINITY_DN4646_c0_g1_i1"	1588.67	438.974
"TRINITY_DN4683_c0_g1_i1"	1013.12	279.559
"TRINITY_DN1082_c1_g1_i1"	1027.98	144.495
"TRINITY_DN389_c0_g2_i1"	442.386	1224.56
"TRINITY_DN4928_c0_g1_i1"	1503.82	397.28
"TRINITY_DN4939_c0_g1_i1"	6406.7	5384.82
"TRINITY_DN756_c0_g2_i1"	428.376	397.632
"TRINITY_DN2238_c0_g1_i1"	8519.29	5268.08
"TRINITY_DN1393_c0_g1_i1"	169.837	394.635
"TRINITY_DN4476_c0_g1_i1"	4306.7	2319.42
