"id173_TPM"	"id272_TPM"
"TRINITY_DN4757_c0_g1_i1"	918.258	675.081
"TRINITY_DN41_c1_g1_i1"	6.26222	0
"TRINITY_DN10_c0_g1_i9"	17.7435	10.7405
"TRINITY_DN29_c0_g1_i11"	870.469	96.0817
"TRINITY_DN29_c0_g1_i8"	11250.3	435.69
"TRINITY_DN29_c0_g1_i1"	7.54267	0.826246
"TRINITY_DN29_c0_g1_i2"	67.3595	0
"TRINITY_DN26_c0_g1_i1"	6.23972	0
"TRINITY_DN23_c0_g1_i1"	3.60876	2.49555
"TRINITY_DN72_c0_g1_i13"	296.332	260.768
"TRINITY_DN72_c0_g1_i9"	2010.91	0
"TRINITY_DN72_c0_g1_i8"	10137.5	177.439
"TRINITY_DN81_c0_g1_i7"	62.4355	58.8939
"TRINITY_DN81_c0_g1_i10"	7.84807	0
"TRINITY_DN81_c0_g1_i20"	9.48455	0.000556134
"TRINITY_DN3810_c0_g1_i1"	4163.9	1421.58
"TRINITY_DN3844_c0_g1_i1"	83634.3	17731.6
"TRINITY_DN856_c0_g1_i2"	14.4391	0
"TRINITY_DN836_c0_g1_i2"	107.629	0
"TRINITY_DN836_c0_g1_i1"	247.963	17.691
"TRINITY_DN5125_c0_g1_i1"	6.73262	0
"TRINITY_DN5162_c0_g1_i1"	2058.66	752.358
"TRINITY_DN5171_c0_g1_i1"	5.31905	0
"TRINITY_DN4288_c0_g1_i1"	3188.93	2952.19
"TRINITY_DN4264_c0_g1_i1"	538.714	296.722
"TRINITY_DN4575_c0_g1_i1"	6.57171	0
"TRINITY_DN4500_c0_g1_i1"	8.15881	0
"TRINITY_DN4518_c0_g1_i1"	13.772	3.37321
"TRINITY_DN4548_c0_g1_i1"	396.236	91.9619
"TRINITY_DN3654_c0_g1_i1"	2557.71	0
"TRINITY_DN220_c0_g3_i4"	87234.7	87017.3
"TRINITY_DN3920_c0_g1_i1"	695.294	683.84
"TRINITY_DN3949_c0_g1_i1"	20.5526	0
