"id173_TPM"	"id272_TPM"
"TRINITY_DN4775_c0_g1_i1"	0	6.42254
"TRINITY_DN4727_c0_g1_i1"	1.05501	15.8883
"TRINITY_DN4782_c0_g1_i1"	0	5.06063
"TRINITY_DN44_c0_g2_i2"	0	9.16042
"TRINITY_DN16_c0_g1_i6"	0	5.65043
"TRINITY_DN16_c0_g1_i2"	0.0509778	5.00728
"TRINITY_DN4_c0_g1_i4"	0.112004	6.24315
"TRINITY_DN32_c0_g1_i1"	1.83758	7.74744
"TRINITY_DN58_c0_g1_i1"	1.38217	4.53977
"TRINITY_DN11_c0_g1_i9"	1.70959	3.52761
"TRINITY_DN85_c0_g1_i1"	2.12957	5.69807
"TRINITY_DN85_c0_g2_i1"	0.178366	6.20617
"TRINITY_DN41_c0_g2_i1"	210.68	13112.1
"TRINITY_DN88_c0_g1_i4"	0	26.9322
"TRINITY_DN88_c0_g2_i3"	0	37.305
"TRINITY_DN10_c2_g1_i1"	5.40897	18.9514
"TRINITY_DN61_c0_g1_i3"	0	53.1561
"TRINITY_DN21_c0_g1_i2"	0.150716	7.52605
"TRINITY_DN21_c0_g1_i3"	0	11.9899
"TRINITY_DN21_c0_g1_i8"	1.80982	5.78268
"TRINITY_DN24_c0_g1_i1"	1.7512	5.89735
"TRINITY_DN29_c0_g3_i1"	1.93517	4.33998
"TRINITY_DN8_c0_g2_i2"	7.66346	26.2004
"TRINITY_DN8_c0_g1_i8"	0	12.6703
"TRINITY_DN8_c0_g1_i3"	0.839084	23.0078
"TRINITY_DN8_c0_g1_i4"	0	10.5613
"TRINITY_DN76_c0_g1_i1"	0.121757	6.82721
"TRINITY_DN15_c0_g3_i1"	0.15229	5.34839
"TRINITY_DN19_c0_g1_i4"	0.0872152	5.39363
"TRINITY_DN72_c0_g1_i5"	50.6099	70.5082
"TRINITY_DN72_c0_g1_i7"	215.727	221.379
"TRINITY_DN72_c0_g1_i12"	14.2255	48.0482
"TRINITY_DN55_c0_g1_i1"	3.84869	30.8989
"TRINITY_DN51_c0_g2_i1"	0.0605506	6.83043
"TRINITY_DN91_c0_g2_i1"	3444.07	4864.25
"TRINITY_DN50_c0_g1_i1"	0	13.2448
"TRINITY_DN60_c0_g1_i12"	0	15.6085
"TRINITY_DN60_c0_g1_i1"	0	5.12483
"TRINITY_DN81_c0_g1_i19"	6.06672	9.57383
"TRINITY_DN81_c0_g1_i13"	0.459667	11.4754
"TRINITY_DN81_c0_g1_i28"	6.44315	26.1178
"TRINITY_DN81_c0_g1_i1"	29.7873	80.078
"TRINITY_DN3814_c0_g1_i1"	0.166926	8.28763
"TRINITY_DN3830_c0_g1_i1"	0	9.06623
"TRINITY_DN2969_c0_g1_i3"	2.27816	13.3601
"TRINITY_DN2987_c0_g1_i1"	0	18.2153
"TRINITY_DN2913_c0_g1_i1"	0.11503	6.46596
"TRINITY_DN2092_c0_g1_i1"	0	11.9767
"TRINITY_DN412_c0_g1_i1"	1.20664	4.24372
"TRINITY_DN427_c0_g1_i1"	0	7.87495
"TRINITY_DN429_c0_g3_i1"	6974.79	23349
"TRINITY_DN438_c0_g1_i1"	6.34929	8.95471
"TRINITY_DN404_c0_g1_i7"	12.1817	106.263
"TRINITY_DN404_c0_g1_i5"	1.00672e-05	25.8478
"TRINITY_DN1127_c1_g1_i1"	1.00053	129.537
"TRINITY_DN804_c0_g1_i1"	0.784155	14.1296
"TRINITY_DN805_c0_g2_i1"	485.126	547.903
"TRINITY_DN847_c0_g1_i1"	0	16.5831
"TRINITY_DN5141_c0_g1_i1"	0	5.42607
"TRINITY_DN5174_c0_g1_i1"	2.05245	13.3678
"TRINITY_DN5161_c0_g1_i1"	0.140002	4.93883
"TRINITY_DN5118_c0_g1_i1"	0	12.8852
"TRINITY_DN4252_c0_g1_i1"	0	9.54795
"TRINITY_DN4207_c0_g1_i1"	0	9.85302
"TRINITY_DN4251_c0_g1_i1"	0	12.4776
"TRINITY_DN4200_c0_g1_i1"	0.0881695	6.17342
"TRINITY_DN4233_c0_g1_i1"	0	9.83271
"TRINITY_DN4263_c0_g1_i1"	5457.8	9524.75
"TRINITY_DN4273_c0_g1_i1"	0	35.7973
"TRINITY_DN4591_c0_g1_i1"	0	5.02299
"TRINITY_DN3668_c0_g1_i1"	0	5.02632
"TRINITY_DN2745_c0_g1_i1"	0	8.3255
"TRINITY_DN2789_c1_g1_i1"	0	5.80654
"TRINITY_DN285_c0_g1_i1"	0.838016	5.45537
"TRINITY_DN220_c0_g3_i3"	44239.8	46056.5
"TRINITY_DN246_c0_g1_i2"	248.399	1175.08
"TRINITY_DN237_c0_g1_i1"	54880.2	435800
"TRINITY_DN237_c0_g1_i2"	3382.66	37706
"TRINITY_DN272_c0_g1_i2"	0	7.32771
"TRINITY_DN3983_c0_g1_i1"	0	13.9075
"TRINITY_DN3908_c0_g1_i1"	0.351386	9.7485
"TRINITY_DN3964_c0_g1_i1"	0	5.82706
"TRINITY_DN4056_c0_g1_i1"	0.230424	4.96474
"TRINITY_DN4090_c0_g1_i1"	0.130244	14.0755
"TRINITY_DN602_c0_g1_i1"	0	7.96715
"TRINITY_DN648_c0_g1_i1"	67.6768	391.228
"TRINITY_DN629_c0_g1_i1"	0	14.5997
"TRINITY_DN5218_c0_g1_i2"	0	10.0328
"TRINITY_DN5288_c0_g1_i1"	61.1164	1069.98
"TRINITY_DN5243_c0_g1_i1"	0	11.4253
"TRINITY_DN5217_c0_g1_i1"	3.90832	4.05994
"TRINITY_DN4362_c0_g1_i2"	157.535	466.213
"TRINITY_DN4365_c0_g1_i1"	0.0850814	5.31927
"TRINITY_DN4387_c0_g1_i1"	0	6.05484
"TRINITY_DN4396_c0_g1_i2"	0	32.5166
"TRINITY_DN4343_c0_g1_i1"	0	7.65301
"TRINITY_DN3460_c0_g1_i1"	0	5.69227
"TRINITY_DN3496_c0_g1_i1"	0	5.3693
"TRINITY_DN3427_c0_g1_i1"	0.316823	8.32919
"TRINITY_DN3458_c0_g1_i1"	8773.18	33133.4
"TRINITY_DN3405_c0_g1_i1"	0.291758	6.18419
"TRINITY_DN3484_c0_g1_i1"	4.48641	29.522
"TRINITY_DN3498_c0_g1_i1"	0	5.98518
"TRINITY_DN3480_c0_g1_i1"	0	15.3028
"TRINITY_DN2556_c1_g1_i1"	6194.72	10987.4
"TRINITY_DN3761_c0_g1_i1"	6.05614	8.97562
"TRINITY_DN3739_c0_g1_i1"	0.582772	8.70916
"TRINITY_DN2870_c0_g1_i1"	0.871226	6.65479
"TRINITY_DN2802_c0_g1_i1"	523.262	1106.61
"TRINITY_DN1928_c0_g1_i1"	2.34171	6.4854
"TRINITY_DN1987_c0_g2_i1"	7480.16	9048.87
"TRINITY_DN1942_c0_g1_i1"	0	5.66776
"TRINITY_DN1920_c0_g1_i1"	0	6.4865
"TRINITY_DN3268_c0_g1_i1"	0	5.46074
"TRINITY_DN3558_c0_g1_i1"	0	6.73083
"TRINITY_DN3507_c0_g1_i1"	0	13.1736
"TRINITY_DN2625_c0_g1_i1"	45.7937	101.24
"TRINITY_DN2695_c0_g1_i1"	0.163922	6.94029
"TRINITY_DN2675_c0_g1_i1"	0	5.87944
"TRINITY_DN2616_c0_g1_i1"	0.0920683	5.56722
"TRINITY_DN1769_c0_g1_i1"	0	5.67436
"TRINITY_DN1719_c0_g1_i1"	0	5.41601
"TRINITY_DN1728_c0_g1_i1"	1033.89	2121.17
"TRINITY_DN1721_c0_g9_i1"	2501.68	11494.2
"TRINITY_DN158_c1_g1_i1"	50.5951	647.274
"TRINITY_DN115_c1_g1_i1"	0	5.08842
"TRINITY_DN106_c0_g1_i3"	0.474389	54.9499
"TRINITY_DN166_c0_g2_i2"	2.91341	4.33059
"TRINITY_DN150_c0_g2_i1"	0	15.4969
"TRINITY_DN150_c0_g1_i1"	0	18.4104
"TRINITY_DN4873_c0_g1_i1"	1980.96	3922.39
"TRINITY_DN4853_c0_g1_i1"	0	6.68881
"TRINITY_DN4859_c0_g1_i1"	0	9.61248
"TRINITY_DN4889_c0_g1_i1"	0	5.13339
"TRINITY_DN4826_c0_g1_i1"	0.207085	5.63559
"TRINITY_DN3058_c0_g1_i1"	0	5.3411
"TRINITY_DN3099_c0_g1_i1"	0	5.7443
