"id072_TPM"	"id294_TPM"
"TRINITY_DN4757_c0_g1_i1"	1794.22	2714.89
"TRINITY_DN41_c0_g2_i1"	109.734	294.446
"TRINITY_DN29_c0_g1_i8"	3480.56	1617.28
"TRINITY_DN72_c0_g1_i7"	110.093	102.888
"TRINITY_DN91_c0_g2_i1"	2733.24	3964.92
"TRINITY_DN3810_c0_g1_i1"	1355.75	291.672
"TRINITY_DN3844_c0_g1_i1"	21662.8	5511.01
"TRINITY_DN429_c0_g3_i1"	13970.7	7417.23
"TRINITY_DN805_c0_g2_i1"	277.296	623.259
"TRINITY_DN836_c0_g1_i2"	93.4104	57.9628
"TRINITY_DN836_c0_g1_i1"	422.016	213.64
"TRINITY_DN5162_c0_g1_i1"	2072.92	2581.57
"TRINITY_DN4288_c0_g1_i1"	3070.63	3812.46
"TRINITY_DN4264_c0_g1_i1"	416.691	1294.06
"TRINITY_DN4548_c0_g1_i1"	100.681	666.249
"TRINITY_DN220_c0_g3_i3"	5471.25	18471.1
"TRINITY_DN246_c0_g1_i2"	463.593	254.523
"TRINITY_DN237_c0_g1_i2"	9408.78	4486.68
"TRINITY_DN3920_c0_g1_i1"	1336.87	879.891
"TRINITY_DN4099_c0_g1_i1"	3699.22	16799.8
"TRINITY_DN648_c0_g1_i1"	60.5224	1308.29
"TRINITY_DN5288_c0_g1_i1"	86.5957	84.2948
"TRINITY_DN2581_c0_g1_i1"	3733.23	1195.52
"TRINITY_DN2578_c0_g2_i1"	1259.62	25192.8
"TRINITY_DN2802_c0_g1_i1"	740.948	4973.16
"TRINITY_DN2817_c0_g1_i1"	1304.29	372.274
"TRINITY_DN1987_c0_g2_i2"	120.307	49.7301
"TRINITY_DN1987_c0_g2_i1"	10485	5647.71
"TRINITY_DN1941_c0_g3_i1"	10883	10386.5
"TRINITY_DN4145_c0_g1_i1"	3695.37	2561.29
"TRINITY_DN1707_c0_g1_i1"	1572.94	13614.5
"TRINITY_DN1728_c0_g1_i1"	357.544	606.901
"TRINITY_DN1744_c0_g2_i1"	1828.14	4119.48
"TRINITY_DN1721_c0_g9_i1"	4285.67	3852.56
"TRINITY_DN151_c0_g1_i1"	1378.11	277.662
"TRINITY_DN4873_c0_g1_i1"	5947.2	22380.9
"TRINITY_DN4899_c0_g1_i1"	2394.97	3775.22
"TRINITY_DN4898_c0_g1_i1"	4416.02	973.109
"TRINITY_DN582_c0_g1_i1"	4407.26	8039.25
"TRINITY_DN582_c1_g2_i1"	12878.3	6541.94
"TRINITY_DN2179_c1_g1_i1"	1357.67	336.607
"TRINITY_DN937_c0_g1_i1"	132.735	133.102
"TRINITY_DN957_c0_g2_i1"	7229.41	3339.95
"TRINITY_DN1545_c0_g2_i1"	847.471	8398.1
"TRINITY_DN4646_c0_g1_i1"	1321	2142.34
"TRINITY_DN4683_c0_g1_i1"	289.474	72.1091
"TRINITY_DN389_c0_g2_i1"	797.829	1359.17
"TRINITY_DN4928_c0_g1_i1"	365.146	68.9413
"TRINITY_DN4939_c0_g1_i1"	6384.54	4622.39
"TRINITY_DN753_c0_g2_i1"	12777.4	3950.49
"TRINITY_DN756_c0_g2_i1"	124.589	56.5942
"TRINITY_DN2238_c0_g1_i1"	4376.04	4673.9
"TRINITY_DN1393_c0_g1_i1"	58.1443	1396.83
"TRINITY_DN4476_c0_g1_i1"	3170.49	13291.7
