"072"	"294"
"TRINITY_DN41_c0_g2_i1"	109.734	294.446
"TRINITY_DN29_c0_g1_i11"	58.3892	88.1129
"TRINITY_DN72_c0_g1_i5"	8.55792	36.7362
"TRINITY_DN72_c0_g1_i13"	30.8512	53.4675
"TRINITY_DN72_c0_g1_i7"	110.093	102.888
"TRINITY_DN72_c0_g1_i12"	19.0708	11.3198
"TRINITY_DN72_c0_g1_i8"	54.1677	50.4844
"TRINITY_DN3810_c0_g1_i1"	1355.75	291.672
"TRINITY_DN805_c0_g2_i1"	277.296	623.259
"TRINITY_DN836_c0_g1_i2"	93.4104	57.9628
"TRINITY_DN836_c0_g1_i1"	422.016	213.64
"TRINITY_DN4548_c0_g1_i1"	100.681	666.249
"TRINITY_DN246_c0_g1_i2"	463.593	254.523
"TRINITY_DN648_c0_g1_i1"	60.5224	1308.29
"TRINITY_DN5288_c0_g1_i1"	86.5957	84.2948
"TRINITY_DN4362_c0_g1_i2"	51.7591	18.9137
"TRINITY_DN2817_c0_g1_i1"	1304.29	372.274
"TRINITY_DN1976_c0_g1_i1"	10.1249	45.9048
"TRINITY_DN1987_c0_g2_i2"	120.307	49.7301
"TRINITY_DN2625_c0_g1_i1"	52.3158	23.385
"TRINITY_DN1728_c0_g1_i1"	357.544	606.901
"TRINITY_DN151_c0_g1_i1"	1378.11	277.662
"TRINITY_DN158_c1_g1_i1"	23.2568	21.0761
"TRINITY_DN156_c0_g1_i1"	5.8539	50.7464
"TRINITY_DN2179_c1_g1_i1"	1357.67	336.607
"TRINITY_DN937_c0_g1_i1"	132.735	133.102
"TRINITY_DN4683_c0_g1_i1"	289.474	72.1091
"TRINITY_DN1082_c1_g1_i1"	96.4296	9.77791
"TRINITY_DN4928_c0_g1_i1"	365.146	68.9413
"TRINITY_DN756_c0_g2_i1"	124.589	56.5942
"TRINITY_DN1393_c0_g1_i1"	58.1443	1396.83
