"id072_TPM"	"id294_TPM"
"TRINITY_DN4_c0_g1_i3"	0.475234	13.2865
"TRINITY_DN29_c0_g1_i11"	58.3892	88.1129
"TRINITY_DN29_c0_g1_i7"	0	5.63539
"TRINITY_DN72_c0_g1_i5"	8.55792	36.7362
"TRINITY_DN72_c0_g1_i13"	30.8512	53.4675
"TRINITY_DN72_c0_g1_i12"	19.0708	11.3198
"TRINITY_DN72_c0_g1_i8"	54.1677	50.4844
"TRINITY_DN81_c0_g1_i7"	6.05036	0.127715
"TRINITY_DN81_c0_g1_i1"	6.76006	0.073434
"TRINITY_DN2987_c0_g1_i1"	0.183564	24.3857
"TRINITY_DN412_c0_g1_i1"	0.385035	8.67234
"TRINITY_DN404_c0_g1_i7"	5.12289	0.070276
"TRINITY_DN602_c0_g1_i1"	3.52501	6.67422
"TRINITY_DN629_c0_g1_i2"	19.5094	0
"TRINITY_DN4362_c0_g1_i2"	51.7591	18.9137
"TRINITY_DN1976_c0_g1_i1"	10.1249	45.9048
"TRINITY_DN3215_c0_g1_i1"	0	30.1312
"TRINITY_DN2625_c0_g1_i1"	52.3158	23.385
"TRINITY_DN158_c1_g1_i1"	23.2568	21.0761
"TRINITY_DN106_c0_g1_i3"	7.39868	0.209332
"TRINITY_DN156_c0_g1_i1"	5.8539	50.7464
"TRINITY_DN1255_c0_g1_i2"	10.3568	0.294616
"TRINITY_DN3337_c0_g1_i1"	5.17389	4.63625
"TRINITY_DN1082_c1_g1_i1"	96.4296	9.77791
"TRINITY_DN795_c0_g1_i1"	16.6175	0.428392
"TRINITY_DN756_c0_g1_i1"	4.51835	3.20536
"TRINITY_DN2241_c0_g1_i2"	6.37247	1.57422
"TRINITY_DN1606_c0_g1_i1"	0.584545	4.52297
