"id072_TPM"	"id294_TPM"
"TRINITY_DN41_c0_g2_i1"	109.734	294.446
"TRINITY_DN72_c0_g1_i7"	110.093	102.888
"TRINITY_DN3810_c0_g1_i1"	1355.75	291.672
"TRINITY_DN805_c0_g2_i1"	277.296	623.259
"TRINITY_DN836_c0_g1_i2"	93.4104	57.9628
"TRINITY_DN836_c0_g1_i1"	422.016	213.64
"TRINITY_DN4548_c0_g1_i1"	100.681	666.249
"TRINITY_DN246_c0_g1_i2"	463.593	254.523
"TRINITY_DN648_c0_g1_i1"	60.5224	1308.29
"TRINITY_DN5288_c0_g1_i1"	86.5957	84.2948
"TRINITY_DN2817_c0_g1_i1"	1304.29	372.274
"TRINITY_DN1987_c0_g2_i2"	120.307	49.7301
"TRINITY_DN1728_c0_g1_i1"	357.544	606.901
"TRINITY_DN151_c0_g1_i1"	1378.11	277.662
"TRINITY_DN2179_c1_g1_i1"	1357.67	336.607
"TRINITY_DN937_c0_g1_i1"	132.735	133.102
"TRINITY_DN4683_c0_g1_i1"	289.474	72.1091
"TRINITY_DN4928_c0_g1_i1"	365.146	68.9413
"TRINITY_DN756_c0_g2_i1"	124.589	56.5942
"TRINITY_DN1393_c0_g1_i1"	58.1443	1396.83
