"id072_TPM"	"id294_TPM"
"TRINITY_DN4757_c0_g1_i1"	1794.22	2714.89
"TRINITY_DN4_c0_g1_i3"	0.475234	13.2865
"TRINITY_DN41_c0_g2_i1"	109.734	294.446
"TRINITY_DN29_c0_g1_i11"	58.3892	88.1129
"TRINITY_DN29_c0_g1_i7"	0	5.63539
"TRINITY_DN72_c0_g1_i5"	8.55792	36.7362
"TRINITY_DN72_c0_g1_i13"	30.8512	53.4675
"TRINITY_DN91_c0_g2_i1"	2733.24	3964.92
"TRINITY_DN2987_c0_g1_i1"	0.183564	24.3857
"TRINITY_DN412_c0_g1_i1"	0.385035	8.67234
"TRINITY_DN805_c0_g2_i1"	277.296	623.259
"TRINITY_DN5162_c0_g1_i1"	2072.92	2581.57
"TRINITY_DN4288_c0_g1_i1"	3070.63	3812.46
"TRINITY_DN4264_c0_g1_i1"	416.691	1294.06
"TRINITY_DN4263_c0_g1_i1"	18708.7	20708.1
"TRINITY_DN4548_c0_g1_i1"	100.681	666.249
"TRINITY_DN220_c0_g3_i3"	5471.25	18471.1
"TRINITY_DN220_c0_g3_i4"	81063.9	225527
"TRINITY_DN4099_c0_g1_i1"	3699.22	16799.8
"TRINITY_DN602_c0_g1_i1"	3.52501	6.67422
"TRINITY_DN648_c0_g1_i1"	60.5224	1308.29
"TRINITY_DN4307_c0_g1_i1"	15337.3	37214.2
"TRINITY_DN3458_c0_g1_i1"	22001.8	26913.7
"TRINITY_DN2556_c1_g1_i1"	12317.5	36110.6
"TRINITY_DN2578_c0_g2_i1"	1259.62	25192.8
"TRINITY_DN2802_c0_g1_i1"	740.948	4973.16
"TRINITY_DN1976_c0_g1_i1"	10.1249	45.9048
"TRINITY_DN3215_c0_g1_i1"	0	30.1312
"TRINITY_DN1707_c0_g1_i1"	1572.94	13614.5
"TRINITY_DN1728_c0_g1_i1"	357.544	606.901
"TRINITY_DN1744_c0_g2_i1"	1828.14	4119.48
"TRINITY_DN156_c0_g1_i1"	5.8539	50.7464
"TRINITY_DN4873_c0_g1_i1"	5947.2	22380.9
"TRINITY_DN4899_c0_g1_i1"	2394.97	3775.22
"TRINITY_DN582_c0_g1_i1"	4407.26	8039.25
"TRINITY_DN937_c0_g1_i1"	132.735	133.102
"TRINITY_DN1545_c0_g2_i1"	847.471	8398.1
"TRINITY_DN4646_c0_g1_i1"	1321	2142.34
"TRINITY_DN389_c0_g2_i1"	797.829	1359.17
"TRINITY_DN2238_c0_g1_i1"	4376.04	4673.9
"TRINITY_DN1393_c0_g1_i1"	58.1443	1396.83
"TRINITY_DN4476_c0_g1_i1"	3170.49	13291.7
"TRINITY_DN1606_c0_g1_i1"	0.584545	4.52297
