"id127_TPM"	"id280_TPM"
"TRINITY_DN4_c0_g1_i3"	87.4882	56.9034
"TRINITY_DN85_c0_g1_i1"	0.872463	4.76286
"TRINITY_DN29_c0_g1_i11"	351.588	738.052
"TRINITY_DN29_c0_g1_i7"	201.999	0.00130727
"TRINITY_DN29_c0_g1_i2"	2.5529	2.87509
"TRINITY_DN72_c0_g1_i9"	3.12905	4.59571
"TRINITY_DN72_c0_g1_i12"	223.32	396.416
"TRINITY_DN72_c0_g1_i8"	145.741	438.932
"TRINITY_DN55_c0_g1_i1"	4.92942	17.7139
"TRINITY_DN3810_c0_g1_i1"	401.508	1019.28
"TRINITY_DN2987_c0_g1_i1"	46.7974	5.87367
"TRINITY_DN412_c0_g1_i1"	41.4547	19.4699
"TRINITY_DN1127_c1_g1_i1"	12.6963	1189.21
"TRINITY_DN836_c0_g1_i2"	307.312	216.882
"TRINITY_DN4238_c0_g1_i1"	1.01178	7.42629
"TRINITY_DN246_c0_g1_i2"	474.752	500.98
"TRINITY_DN602_c0_g1_i1"	7.64603	10.5022
"TRINITY_DN5288_c0_g1_i1"	547.229	376.148
"TRINITY_DN4362_c0_g1_i2"	119.491	814.119
"TRINITY_DN1976_c0_g1_i1"	59.8457	53.6964
"TRINITY_DN1987_c0_g2_i2"	35.9439	32.0927
"TRINITY_DN1909_c0_g1_i1"	0	11.5341
"TRINITY_DN4139_c0_g1_i1"	4.1796	1.84939
"TRINITY_DN3215_c0_g1_i1"	23.3372	15.1262
"TRINITY_DN2625_c0_g1_i1"	47.9158	187.772
"TRINITY_DN151_c0_g1_i1"	407.037	888.148
"TRINITY_DN158_c1_g1_i1"	97.903	1391.93
"TRINITY_DN166_c0_g2_i2"	1.59514	5.32684
"TRINITY_DN156_c0_g1_i1"	87.5849	64.0777
"TRINITY_DN590_c0_g1_i1"	10.146	65.4535
"TRINITY_DN2179_c1_g1_i1"	354.987	1074.46
"TRINITY_DN1255_c0_g1_i2"	4.21389	8.49388
"TRINITY_DN3337_c0_g1_i1"	8.35921	12.9457
"TRINITY_DN4683_c0_g1_i1"	72.058	191.759
"TRINITY_DN1812_c0_g1_i1"	0.675597	4.5035
"TRINITY_DN1082_c1_g1_i1"	3.98473	29.3848
"TRINITY_DN387_c0_g1_i1"	0.260229	25.0715
"TRINITY_DN387_c0_g2_i1"	0	38.337
"TRINITY_DN354_c0_g1_i2"	3.24614	15.5141
"TRINITY_DN4928_c0_g1_i1"	77.448	245.184
"TRINITY_DN756_c0_g1_i1"	175.806	216.765
"TRINITY_DN2241_c0_g1_i2"	0.758435	7.19447
"TRINITY_DN1606_c0_g1_i1"	14.7875	26.0908
