"127"	"280"
"TRINITY_DN4_c0_g1_i3"	87.4882	56.9034
"TRINITY_DN29_c0_g1_i11"	351.588	738.052
"TRINITY_DN72_c0_g1_i12"	223.32	396.416
"TRINITY_DN72_c0_g1_i8"	145.741	438.932
"TRINITY_DN3810_c0_g1_i1"	401.508	1019.28
"TRINITY_DN1127_c1_g1_i1"	12.6963	1189.21
"TRINITY_DN836_c0_g1_i2"	307.312	216.882
"TRINITY_DN246_c0_g1_i2"	474.752	500.98
"TRINITY_DN5288_c0_g1_i1"	547.229	376.148
"TRINITY_DN4362_c0_g1_i2"	119.491	814.119
"TRINITY_DN1976_c0_g1_i1"	59.8457	53.6964
"TRINITY_DN2625_c0_g1_i1"	47.9158	187.772
"TRINITY_DN151_c0_g1_i1"	407.037	888.148
"TRINITY_DN158_c1_g1_i1"	97.903	1391.93
"TRINITY_DN156_c0_g1_i1"	87.5849	64.0777
"TRINITY_DN2179_c1_g1_i1"	354.987	1074.46
"TRINITY_DN4683_c0_g1_i1"	72.058	191.759
"TRINITY_DN4928_c0_g1_i1"	77.448	245.184
"TRINITY_DN756_c0_g1_i1"	175.806	216.765
