"id127_TPM"	"id280_TPM"
"TRINITY_DN4757_c0_g1_i1"	1395.01	995.809
"TRINITY_DN4_c0_g1_i3"	87.4882	56.9034
"TRINITY_DN29_c0_g1_i8"	5008.68	2750.99
"TRINITY_DN29_c0_g1_i7"	201.999	0.00130727
"TRINITY_DN72_c0_g1_i5"	3926.99	2759.3
"TRINITY_DN72_c0_g1_i13"	14296.3	8365.2
"TRINITY_DN72_c0_g1_i7"	13113.6	6647.37
"TRINITY_DN2987_c0_g1_i1"	46.7974	5.87367
"TRINITY_DN412_c0_g1_i1"	41.4547	19.4699
"TRINITY_DN429_c0_g3_i1"	22036.2	18190
"TRINITY_DN805_c0_g2_i1"	2469.36	1004.41
"TRINITY_DN836_c0_g1_i2"	307.312	216.882
"TRINITY_DN836_c0_g1_i1"	1303.25	1037.62
"TRINITY_DN5162_c0_g1_i1"	2365.05	2290.83
"TRINITY_DN4263_c0_g1_i1"	22285.8	15755.7
"TRINITY_DN220_c0_g3_i4"	95000	92788.6
"TRINITY_DN237_c0_g1_i1"	49409.9	44384.2
"TRINITY_DN237_c0_g1_i2"	2882.92	2866.89
"TRINITY_DN3920_c0_g1_i1"	1494.65	1445.61
"TRINITY_DN4099_c0_g1_i1"	19316.5	15122.4
"TRINITY_DN5288_c0_g1_i1"	547.229	376.148
"TRINITY_DN2556_c1_g1_i1"	25215.2	19657.9
"TRINITY_DN2578_c0_g2_i1"	6759.22	6229.24
"TRINITY_DN2802_c0_g1_i1"	6463.51	5073.26
"TRINITY_DN2817_c0_g1_i1"	26125.7	22439.5
"TRINITY_DN1976_c0_g1_i1"	59.8457	53.6964
"TRINITY_DN1987_c0_g2_i2"	35.9439	32.0927
"TRINITY_DN1987_c0_g2_i1"	8278.83	6973.13
"TRINITY_DN4145_c0_g1_i1"	9160.01	5760.53
"TRINITY_DN4139_c0_g1_i1"	4.1796	1.84939
"TRINITY_DN3215_c0_g1_i1"	23.3372	15.1262
"TRINITY_DN1707_c0_g1_i1"	4170.27	3651.29
"TRINITY_DN1710_c0_g1_i1"	62208.4	42199
"TRINITY_DN1721_c0_g9_i1"	8387.79	4878.66
"TRINITY_DN156_c0_g1_i1"	87.5849	64.0777
"TRINITY_DN4899_c0_g1_i1"	2254.13	2153.37
"TRINITY_DN582_c0_g1_i1"	42894	32300.7
"TRINITY_DN582_c1_g2_i1"	38715.5	34479.2
"TRINITY_DN937_c0_g1_i1"	9583.99	5406.43
"TRINITY_DN1545_c0_g2_i1"	51418.8	37776.2
"TRINITY_DN4939_c0_g1_i1"	10542	6667.61
"TRINITY_DN756_c0_g2_i1"	2804.49	2231.82
"TRINITY_DN2238_c0_g1_i1"	14946.6	13126.6
"TRINITY_DN1316_c0_g1_i1"	157221	124860
"TRINITY_DN4476_c0_g1_i1"	17307.7	15321.3
