"id132_TPM"	"id334_TPM"	"id485_TPM"
"TRINITY_DN95_c0_g1_i6"	7.12523	4.88073	3.34458
"TRINITY_DN2071_c0_g1_i1"	4.08906	3.26688	1.78034
"TRINITY_DN2055_c0_g1_i1"	6.20904	5.00493	2.42115
"TRINITY_DN830_c0_g1_i1"	9.13009	4.64025	1.99783
"TRINITY_DN235_c0_g1_i1"	4.09041	1.48788	0
"TRINITY_DN3920_c0_g1_i1"	1465.56	1161.02	1075.89
"TRINITY_DN4079_c0_g1_i1"	6.06973	4.51588	3.64536
"TRINITY_DN629_c0_g1_i2"	68.8622	58.7745	46.9556
"TRINITY_DN5244_c0_g1_i1"	4.51791	4.19794	3.6207
"TRINITY_DN4396_c0_g1_i1"	13.7685	4.17666	0
"TRINITY_DN3776_c0_g1_i2"	4.55562	3.61723	1.91234
"TRINITY_DN1928_c0_g1_i1"	7.51307	5.70258	5.09167
"TRINITY_DN1420_c0_g1_i1"	6.24592	4.50876	3.95654
"TRINITY_DN3534_c0_g1_i1"	4.17158	3.7407	3.48172
"TRINITY_DN1710_c0_g1_i1"	36721.7	33615.3	28237.8
"TRINITY_DN586_c0_g2_i1"	5.75485	4.06439	3.29308
"TRINITY_DN337_c0_g1_i2"	2.72434	2.18852	1.35884
"TRINITY_DN5035_c0_g1_i1"	3.86915	3.56612	2.99482
"TRINITY_DN2266_c0_g1_i1"	3.46395	2.28538	0.65809
"TRINITY_DN2238_c0_g1_i1"	15200.3	12284.1	5358.06
"TRINITY_DN2270_c0_g1_i4"	2.14123	1.97457	1.70505
