"id073_TPM"	"id221_TPM"	"id427_TPM"
"TRINITY_DN836_c0_g1_i2"	24.6198	61.823	1.31276e-05
"TRINITY_DN4264_c0_g1_i1"	1435.32	1718.39	53.4317
"TRINITY_DN220_c0_g3_i3"	17044.9	25588.2	6804.07
"TRINITY_DN220_c0_g3_i4"	44194	109559	13759.3
"TRINITY_DN246_c0_g1_i2"	442.918	670.593	38.9777
"TRINITY_DN3920_c0_g1_i1"	1202.25	1427.92	36.6563
"TRINITY_DN5288_c0_g1_i1"	3.02506	5.98749	0
"TRINITY_DN4307_c0_g1_i1"	14958.7	22056.3	782.861
"TRINITY_DN1987_c0_g2_i1"	6561.83	6008.46	2777.57
"TRINITY_DN1728_c0_g1_i1"	142.559	393.798	30.0352
"TRINITY_DN1744_c0_g2_i1"	828.774	996.564	213.464
"TRINITY_DN1721_c0_g9_i1"	9124.29	14131.3	1401.5
"TRINITY_DN582_c0_g1_i1"	5337.17	6741.55	2310.28
"TRINITY_DN957_c0_g2_i1"	3226.81	6174.73	70.9535
"TRINITY_DN4939_c0_g1_i1"	10399.6	14924.8	8283.93
