"id151_TPM"	"id254_TPM"	"id445_TPM"
"TRINITY_DN836_c0_g1_i2"	688.437	503.029	60.8244
"TRINITY_DN836_c0_g1_i1"	1851.97	1642.55	309.25
"TRINITY_DN5162_c0_g1_i1"	3419.5	3566.36	3141.11
"TRINITY_DN220_c0_g3_i3"	45069.9	67227.3	31909.6
"TRINITY_DN220_c0_g3_i4"	131503	156428	58731.6
"TRINITY_DN237_c0_g1_i2"	3650.98	7770.69	835.619
"TRINITY_DN4307_c0_g1_i1"	60776	42361	11311.8
"TRINITY_DN3458_c0_g1_i1"	26125.8	44722	11006.2
"TRINITY_DN1710_c0_g1_i1"	23496.5	21580.4	16622.3
"TRINITY_DN4873_c0_g1_i1"	23520.7	24030.2	15832.8
"TRINITY_DN1255_c0_g1_i2"	2.54257	2.62088	1.72638
"TRINITY_DN1082_c1_g1_i1"	26.9074	25.5663	6.01554
"TRINITY_DN4476_c0_g1_i1"	22170.9	17627.6	9161.47
