"072"	"294"
"TRINITY_DN4727_c0_g1_i1"	0.147398	0
"TRINITY_DN4752_c0_g1_i1"	0	0.126897
"TRINITY_DN44_c0_g2_i2"	0.704052	0
"TRINITY_DN4_c0_g1_i3"	0.475234	13.2865
"TRINITY_DN85_c0_g1_i1"	0.588146	0.579226
"TRINITY_DN85_c0_g2_i1"	0	0.262151
"TRINITY_DN88_c0_g1_i4"	0.809425	0
"TRINITY_DN88_c0_g2_i3"	1.33482	0.361443
"TRINITY_DN10_c2_g1_i1"	0.451035	0
"TRINITY_DN21_c0_g1_i14"	0.440837	0
"TRINITY_DN21_c0_g1_i2"	0.167709	0
"TRINITY_DN21_c0_g1_i7"	0.348124	5.85226e-08
"TRINITY_DN21_c0_g1_i3"	2.32791	0.0509688
"TRINITY_DN21_c0_g1_i8"	0	0.0509688
"TRINITY_DN29_c0_g1_i1"	0.351932	0.0334036
"TRINITY_DN29_c0_g1_i7"	0	5.63539
"TRINITY_DN29_c0_g1_i2"	0.339695	0.839667
"TRINITY_DN96_c0_g1_i3"	0.0243689	0
"TRINITY_DN8_c0_g1_i1"	0.942299	0
"TRINITY_DN72_c0_g1_i9"	1.35377	0.179084
"TRINITY_DN55_c0_g1_i1"	2.05396	0.824734
"TRINITY_DN51_c0_g2_i1"	0.302371	0.0286593
"TRINITY_DN51_c0_g1_i1"	0	1.24602
"TRINITY_DN81_c0_g2_i2"	0.0651649	0
"TRINITY_DN81_c0_g1_i7"	6.05036	0.127715
"TRINITY_DN81_c0_g1_i19"	0.277201	0
"TRINITY_DN81_c0_g1_i28"	0.724233	0
"TRINITY_DN81_c0_g1_i1"	6.76006	0.073434
"TRINITY_DN81_c0_g1_i10"	0.988215	0
"TRINITY_DN2969_c0_g1_i3"	1.26682	0
"TRINITY_DN2987_c0_g1_i1"	0.183564	24.3857
"TRINITY_DN412_c0_g1_i1"	0.385035	8.67234
"TRINITY_DN404_c0_g1_i7"	5.12289	0.070276
"TRINITY_DN404_c0_g1_i5"	0.000705021	0.070276
"TRINITY_DN404_c0_g1_i3"	0.0481345	0.0019196
"TRINITY_DN445_c0_g1_i4"	0.2558	0
"TRINITY_DN495_c0_g1_i4"	0.447228	0
"TRINITY_DN1127_c1_g1_i1"	0.493751	2.83053
"TRINITY_DN825_c1_g1_i1"	1.67963	0
"TRINITY_DN868_c0_g1_i1"	4.6444	0.129279
"TRINITY_DN4243_c0_g1_i1"	0.281123	0
"TRINITY_DN2735_c0_g1_i1"	1.28116	0
"TRINITY_DN3993_c0_g1_i1"	0.733868	0
"TRINITY_DN3908_c0_g1_i1"	0.990011	0.358142
"TRINITY_DN4090_c0_g1_i1"	1.72774	0
"TRINITY_DN629_c0_g1_i2"	19.5094	0
"TRINITY_DN5245_c0_g1_i1"	0.368889	0
"TRINITY_DN3484_c0_g1_i1"	2.56559	0
"TRINITY_DN2523_c0_g1_i2"	0.424618	0.236482
"TRINITY_DN3739_c0_g1_i1"	0.267283	0
"TRINITY_DN2826_c0_g1_i1"	0.63467	0
"TRINITY_DN1915_c0_g1_i1"	0	1.05826
"TRINITY_DN3215_c0_g1_i1"	0	30.1312
"TRINITY_DN3250_c0_g1_i1"	3.45666	0
"TRINITY_DN3557_c0_g1_i1"	0.565573	0
"TRINITY_DN2679_c0_g1_i2"	0.0742923	0.147768
"TRINITY_DN106_c0_g1_i3"	7.39868	0.209332
"TRINITY_DN106_c0_g1_i5"	1.40927	0
"TRINITY_DN166_c0_g2_i2"	1.27431	0.742058
"TRINITY_DN590_c0_g1_i1"	0.630811	0.456302
"TRINITY_DN599_c0_g2_i1"	0	0.0954692
"TRINITY_DN561_c0_g1_i1"	0.546782	0.0821841
"TRINITY_DN2150_c0_g1_i1"	1.16682	0
"TRINITY_DN1218_c0_g1_i3"	0	2.93144e-05
"TRINITY_DN1255_c0_g1_i2"	10.3568	0.294616
"TRINITY_DN1255_c0_g1_i3"	0.213443	0
"TRINITY_DN3319_c0_g1_i1"	1.6286	0
"TRINITY_DN3323_c0_g1_i1"	0.493671	0
"TRINITY_DN3337_c0_g1_i1"	5.17389	4.63625
"TRINITY_DN2487_c0_g1_i1"	0.33156	0
"TRINITY_DN1510_c0_g1_i1"	0.344926	0.772708
"TRINITY_DN1510_c0_g1_i2"	1.24958	0
"TRINITY_DN1812_c0_g1_i1"	0.340627	0.927427
"TRINITY_DN1075_c0_g1_i1"	0	0.141903
"TRINITY_DN387_c0_g2_i1"	0.0697975	0
"TRINITY_DN354_c0_g1_i2"	0.0991225	0.113829
"TRINITY_DN320_c0_g1_i2"	1.28176	0.223952
"TRINITY_DN320_c0_g1_i1"	0	0.000139441
"TRINITY_DN4910_c0_g1_i1"	0.154064	0
"TRINITY_DN5024_c0_g1_i1"	0.817874	1.22762
"TRINITY_DN795_c1_g1_i1"	2.70306	0
"TRINITY_DN795_c0_g1_i1"	16.6175	0.428392
"TRINITY_DN756_c0_g1_i1"	4.51835	3.20536
"TRINITY_DN2241_c0_g1_i1"	3.1754	0.736081
"TRINITY_DN2241_c0_g1_i2"	6.37247	1.57422
"TRINITY_DN1376_c0_g1_i1"	0	0.207039
"TRINITY_DN1606_c0_g1_i1"	0.584545	4.52297
