"127"	"280"
"TRINITY_DN4727_c0_g1_i1"	0.141159	0
"TRINITY_DN44_c0_g2_i2"	0.150109	3.85058
"TRINITY_DN85_c0_g1_i1"	0.872463	4.76286
"TRINITY_DN88_c0_g1_i4"	0.118562	0.603002
"TRINITY_DN88_c0_g2_i3"	0.116933	0
"TRINITY_DN21_c0_g1_i7"	0.836968	0
"TRINITY_DN29_c0_g1_i1"	0.20146	0.190199
"TRINITY_DN29_c0_g1_i7"	201.999	0.00130727
"TRINITY_DN29_c0_g1_i2"	2.5529	2.87509
"TRINITY_DN8_c0_g2_i2"	0.195178	0
"TRINITY_DN8_c0_g1_i1"	0.374034	0
"TRINITY_DN8_c0_g1_i8"	0	0.110018
"TRINITY_DN8_c0_g1_i3"	0	0.110018
"TRINITY_DN8_c0_g1_i5"	0	0.110018
"TRINITY_DN22_c0_g1_i6"	0	0.106025
"TRINITY_DN72_c0_g1_i9"	3.12905	4.59571
"TRINITY_DN55_c0_g1_i1"	4.92942	17.7139
"TRINITY_DN51_c0_g2_i1"	0.169914	0.28286
"TRINITY_DN51_c0_g1_i1"	0.435768	0.219583
"TRINITY_DN81_c0_g1_i7"	0.654533	2.48306
"TRINITY_DN81_c0_g1_i19"	0	0.272347
"TRINITY_DN81_c0_g1_i28"	0.0717336	0.552659
"TRINITY_DN81_c0_g1_i1"	0.826255	1.50402
"TRINITY_DN81_c0_g1_i10"	0.293562	0.690388
"TRINITY_DN81_c0_g1_i16"	0	0.318381
"TRINITY_DN2987_c0_g1_i1"	46.7974	5.87367
"TRINITY_DN412_c0_g1_i1"	41.4547	19.4699
"TRINITY_DN404_c0_g1_i7"	0.270713	0.347641
"TRINITY_DN404_c0_g1_i5"	0.270713	0.347641
"TRINITY_DN404_c0_g1_i3"	0.00832499	0.00761981
"TRINITY_DN804_c0_g1_i1"	0.724296	0
"TRINITY_DN868_c0_g1_i1"	0	0.63124
"TRINITY_DN5174_c0_g1_i1"	0.557208	2.35448
"TRINITY_DN4243_c0_g1_i1"	0.0885129	0
"TRINITY_DN3908_c0_g1_i1"	0.32682	0
"TRINITY_DN4012_c0_g1_i1"	0.821574	0
"TRINITY_DN629_c0_g1_i2"	0.690852	1.83543
"TRINITY_DN4396_c0_g1_i2"	0	1.74375
"TRINITY_DN3484_c0_g1_i1"	0.927246	0
"TRINITY_DN1987_c0_g2_i2"	35.9439	32.0927
"TRINITY_DN3215_c0_g1_i1"	23.3372	15.1262
"TRINITY_DN3250_c0_g1_i1"	0.189593	0
"TRINITY_DN3557_c0_g1_i1"	0	0.398787
"TRINITY_DN2679_c0_g1_i2"	0.142325	0.364355
"TRINITY_DN1770_c0_g1_i1"	0	0.733216
"TRINITY_DN106_c0_g1_i3"	0.269497	1.18052
"TRINITY_DN106_c0_g1_i5"	0.269497	1.57403
"TRINITY_DN166_c0_g2_i2"	1.59514	5.32684
"TRINITY_DN590_c0_g1_i1"	10.146	65.4535
"TRINITY_DN599_c0_g2_i1"	0.181623	0
"TRINITY_DN561_c0_g1_i1"	0	0.101398
"TRINITY_DN1255_c0_g1_i2"	4.21389	8.49388
"TRINITY_DN1255_c0_g1_i3"	0	2.27168
"TRINITY_DN3319_c0_g1_i1"	0.720054	0
"TRINITY_DN3337_c0_g1_i1"	8.35921	12.9457
"TRINITY_DN1510_c0_g1_i1"	1.61815	1.84939
"TRINITY_DN1510_c0_g1_i2"	2.15855	0
"TRINITY_DN1812_c0_g1_i1"	0.675597	4.5035
"TRINITY_DN1082_c1_g1_i1"	3.98473	29.3848
"TRINITY_DN387_c0_g1_i1"	0.260229	25.0715
"TRINITY_DN387_c0_g2_i1"	0	38.337
"TRINITY_DN354_c0_g1_i2"	3.24614	15.5141
"TRINITY_DN320_c0_g1_i2"	0	1.7046
"TRINITY_DN320_c0_g1_i1"	0	0.000688396
"TRINITY_DN5024_c0_g1_i1"	1.23424	2.94995
"TRINITY_DN795_c0_g1_i1"	0.387209	0
"TRINITY_DN2241_c1_g1_i1"	0	1.15674
"TRINITY_DN2241_c0_g1_i1"	0.107102	0
"TRINITY_DN2241_c0_g1_i2"	0.758435	7.19447
"TRINITY_DN1606_c0_g1_i1"	14.7875	26.0908
