"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
459 0.208302889924192 2 25 "GO:0000002" "mitochondrial genome maintenance" 0.557992715496411
-3 0.996599862388614 1 7 "GO:0000003" "reproduction" 0.997366806542006
31 0.943487511038933 2 17 "GO:0000012" "single strand break repair" 0.99564272221553
211 0.654182736740711 4 15 "GO:0000018;GO:0051052" "regulation of DNA recombination" 0.927548098017399
252 0.756758765425541 2 5 "GO:0000019" "regulation of mitotic recombination" 0.949622043021856
-512 0.457135656395402 4 7 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.821227643772621
-605 0.0029632944455423 2 81 "GO:0000027" "ribosomal large subunit assembly" 0.0696374194702441
-589 0.0365517540988372 2 42 "GO:0000028" "ribosomal small subunit assembly" 0.233299467519739
365 0.347095742565567 2 22 "GO:0000038" "very long-chain fatty acid metabolic process" 0.735985907521736
166 0.822794344217115 7 6 "GO:0000041" "transition metal ion transport" 0.974955462472401
83 0.642008872947963 2 106 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.927548098017399
-271 0.539377100371513 4 17 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.880451024902816
-509 0.0676779272603784 6 43 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0006913;GO:0015931;GO:0051169" "nucleocytoplasmic transport" 0.318086258123778
-617 0.1623978246544 2 17 "GO:0000055" "ribosomal large subunit export from nucleus" 0.496326171415786
-663 0.415430913351619 2 5 "GO:0000056" "ribosomal small subunit export from nucleus" 0.789624199274952
219 0.406693754367242 4 48 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "chromosome segregation" 0.7821533836701
-138 0.728278933191548 2 21 "GO:0000076" "DNA replication checkpoint" 0.943613841965066
412 0.148353121243944 2 41 "GO:0000077" "DNA damage checkpoint" 0.487074090277098
-26 0.910487139808003 3 62 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.994374724701608
369 0.0454670544757435 2 99 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.255505077869124
299 0.421910585665776 3 24 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.794476595494509
558 0.00334299484867608 2 93 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.0751447102941536
366 0.451797960013023 2 14 "GO:0000096" "sulfur amino acid metabolic process" 0.821227643772621
-259 0.75031485421435 5 5 "GO:0000097" "sulfur amino acid biosynthetic process" 0.944443728876499
101 0.824091947969902 2 16 "GO:0000103" "sulfate assimilation" 0.974955462472401
-611 0.0205043544572466 4 48 "GO:0000105;GO:0006547" "histidine metabolic process" 0.189299129542795
-418 0.15833473148209 6 38 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of spindle orientation" 0.490173989079285
-627 0.0392401985645886 5 36 "GO:0000154" "rRNA modification" 0.241514079260623
-704 0.00363806503457991 4 57 "GO:0000160" "phosphorelay signal transduction system" 0.0783699842865756
1 0.997366806542006 3 131 "GO:0000165" "MAPK cascade" 0.997366806542006
-217 0.256475564752569 2 92 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.61723733721945
511 0.457450219223344 8 7 "GO:0000185" "activation of MAPKKK activity" 0.821227643772621
717 0.049185149268178 2 25 "GO:0000186" "activation of MAPKK activity" 0.270518320974979
64 0.764288033676561 5 74 "GO:0000187;GO:0043406;GO:0043410;GO:0071902;GO:1902533;GO:0009967;GO:0010647" "positive regulation of cell communication" 0.954436988914932
-65 0.873964529015292 6 20 "GO:0000188;GO:0043407;GO:0043409;GO:0071901;GO:1902532;GO:0006469;GO:0033673;GO:0051348;GO:0043086;GO:0044092" "inactivation of MAPK activity" 0.981305797560979
-56 0.663743835991347 3 209 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.927548098017399
-395 0.627530312733323 4 5 "GO:0000212;GO:0007051" "meiotic spindle organization" 0.927548098017399
-3 0.978767011126482 2 245 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.997366806542006
-342 0.36888015289853 8 23 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.744964996283359
-56 0.873485755329104 2 27 "GO:0000245" "spliceosomal complex assembly" 0.981305797560979
-1453 0.0346403655806238 2 7 "GO:0000256;GO:0000255;GO:0043605" "allantoin catabolic process" 0.233299467519739
-141 0.699427527974315 2 25 "GO:0000266;GO:0048285" "organelle fission" 0.928530955507985
