Accession_ID,pvalue
A5VB94,NA
Q1LUS8,NA
Q86XE3,NA
Q6IVV8,0.87730919545773
Q5S7T7,NA
P49972,0.349227458616398
Q8BZR9,NA
Q6NUH3,0.371965219313817
P38935,0.2764340345192
Q6NYD1,0.385924696789514
Q98DM9,4.49804762427191e-08
Q7ZVX6,NA
Q7ZVX6,NA
P14129,NA
Q5ZBH5,0.328010200488484
A4N8V8,NA
Q8R0J7,NA
P0DKX0,NA
P23610,0.298213177463524
P15479,0.151948376073101
P16110,NA
Q8WVJ2,0.503661236073104
P09623,0.960485292706773
A9JTJ0,NA
P0CG53,NA
Q9NWT8,0.712600807331219
Q9GRW0,0.702585262725224
Q96PE3,0.258887158515456
A9V3C0,NA
P04323,0.664976778646137
Q12797,0.146481175264293
P53683,0.816546057220481
Q08093,0.708942148406658
P0CAU5,0.0853952061456809
O75311,NA
Q54I57,NA
A7YY53,0.825356049659381
B0RLE6,0.0542972935061828
Q8VE01,NA
Q9P2D8,NA
P40937,0.56211620191898
Q9H3K2,0.300529312436443
Q8C7U7,0.493302017801107
P50944,0.23294709616435
Q95140,0.550095628218891
Q9STG6,0.634570068367472
P43743,0.0880884867071902
Q6F3I7,0.272252339950506
Q3SZ65,0.465177000901962
O01504,0.998107894484311
Q9R0X0,0.949435712999917
Q9JLQ2,0.504458858332954
O60512,0.955362414869315
Q08E38,0.86395294562896
Q8IU81,NA
Q6R2W3,0.453772314455188
Q9VL78,NA
Q86U02,0.76278347923471
O95995,0.221548915886582
Q9LJL3,0.724298446324931
Q8N5A5,0.556480420344963
P56384,0.660961288574499
Q16854,0.481410368747046
Q969Z4,0.696879262745321
O14980,0.493302017801107
Q28107,0.501434476642647
Q6P9F7,0.762783479234711
P30621,0.863952945628961
Q5NNS5,NA
Q8N769,0.76278347923471
O14578,0.725513173457398
Q96AA3,0.847761690708399
P98158,0.191161677698434
P52477,0.117070707979184
Q6UX73,0.94732133560441
O34598,NA
Q6R2W3,0.334147925341947
Q13948,0.764826403361907
P08985,0.0959745422688906
P48147,0.949435712999917
P48147,0.949435712999917
Q9H6T3,0.86395294562896
Q96CD2,0.548916384417287
A7WM73,0.0794094155402432
P52624,0.356397760751871
P39315,NA
P53567,0.493865462141313
Q96RU3,0.999197463089017
Q92845,0.270476935163058
Q6TFL4,0.423971084973258
P30432,0.681891835920222
Q9Y4A8,NA
Q9D3N2,0.753797103656189
A4WNM9,0.727565939043709
Q8TGM7,0.43358167708096
O75886,0.548916384417287
O75886,0.548916384417287
Q6A6K6,0.144116089175208
Q5VQQ5,0.446966383750319
Q8Q0U0,NA
Q9AJQ8,NA
Q9JJK2,0.76278347923471
Q9XHM1,NA
O75582,0.346079597692333
O75582,0.346079597692333
Q9ZWT3,NA
O14448,NA
P31079,NA
Q13616,0.988226917040359
Q9Y4C1,0.493706956128094
Q8C7U7,0.86395294562896
P38117,0.825203987793612
Q3MID3,0.204923154195888
Q9NJU9,0.492347947128029
B1ZJR5,0.368110830300613
Q5KYR4,NA
Q9HCX3,NA
Q9HCX3,NA
P60483,0.742700047171434
P25323,0.86395294562896
B8LWT1,0.0880884867071902
E9PSK7,NA
Q57VB1,0.216508483712386
P53478,0.96460862160566
P04323,0.302319219513864
B3A0M0,0.441962327795883
C0KJQ4,0.551264641164287
Q6WUX8,0.0573835598262518
Q1RMT1,0.94732133560441
P42824,0.0449579331973233
Q9GP16,0.564089448063186
P9WIQ0,7.63155530422474e-08
P0CY56,NA
Q9Y4C2,0.863952945628961
P02597,0.637059897847367
O13615,0.144116089175208
Q9W0E3,NA
B2U820,NA
Q6P1N9,0.762783479234711
Q7XPJ0,0.641616893707897
Q9WTR7,0.550095628218891
Q14584,NA
P49591,0.859994321873353
Q10NQ9,0.318450366386935
Q68EN5,0.863952945628961
O94851,NA
Q3SYU1,0.50088814701732
Q9NY47,0.334147925341947
P58742,NA
Q8QG61,0.710256807045754
Q99KL7,0.749264405407516
Q96RK4,0.159403607054181
Q9QZE5,0.94732133560441
Q5M7E9,NA
Q8TGM7,0.202040293779305
Q9DBH0,0.76278347923471
Q3URY6,NA
P19397,NA
Q9V410,NA
S4R1M9,NA
Q9SAH5,NA
Q8C4J7,0.455942191380945
O02695,NA
Q39F54,NA
G5E869,NA
Q54JH4,0.671147892308934
Q9ULJ7,NA
Q9ULJ7,NA
P0DP91,0.503948529519386
Q34345,NA
Q642H7,NA
P46459,0.949435712999917
Q9H3M0,NA
Q9Y2V7,0.199777940053535
P25519,NA
Q7TNU6,NA
Q8BJ05,0.762783479234711
Q7ZUU1,0.914786618766492
Q92871,NA
A2SG95,0.220006131055693
P0AA94,0.0671035989699406
B8GNX2,NA
Q6ZUX7,NA
A7S6Y0,NA
B1LZ78,0.136620687493804
Q93Y52,0.159774545546938
Q500V2,0.259765274926783
Q86T29,0.698119720398103
Q6A7L2,0.0671035989699406
O74976,0.0931139802940739
A6NIU2,0.949435712999917
Q8IZT8,0.165219516303517
Q06732,NA
Q06732,NA
Q06732,NA
Q95SX7,NA
Q8TD19,0.104770302448643
P55852,0.635996861900006
P0AA97,0.0542972935061828
Q9S2C0,0.493302017801107
P38025,0.459245559524824
P21589,0.675245778895615
Q8R570,0.86395294562896
Q99104,0.504250377985535
Q8VEM1,0.762783479234711
Q9Y7X4,NA
Q8N129,0.632221206861367
Q32MZ4,0.568640697999398
Q653P0,0.371965219313817
P52590,0.369094353507254
O75152,0.459245559524824
Q2K5E1,0.298213177463524
Q5ZID6,NA
Q9H0X4,0.76278347923471
P55795,0.442590899517867
Q8N8Q3,0.866392203173926
P0A9F8,0.368110830300613
A5EJY2,NA
Q9VN03,0.63686975281377
Q9NRG7,0.679400350646043
P35915,0.863952945628961
A2A863,0.76278347923471
Q6NTV6,0.261749833774961
Q923X4,0.811600016070478
Q9I8E6,0.575171619684633
Q95SX7,0.147765945194396
Q820S0,0.289019363367575
P04323,NA
Q8VZ10,NA
P20290,0.519964692375074
Q4X251,0.905649826317048
Q60943,0.548916384417287
Q9FR53,NA
Q99549,0.679400350646043
Q24372,0.86395294562896
P13549,NA
P13549,NA
Q15738,0.814997094002162
Q6P4Z2,0.10779082035768
Q9HCS7,NA
P31943,0.863952945628961
P55196,0.454265218467745
P50747,NA
Q3EDF8,0.701658777880813
P35816,0.645184726338092
Q2NCA3,NA
P92029,NA
O43296,0.287841730018561
A5D6U8,0.522660714068687
Q61024,0.94732133560441
Q99315,0.869328629424965
Q9EQG6,0.589252821979532
O75925,NA
Q8N2A0,0.912777463202835
Q8N6G5,0.216508483712386
P52789,0.863952945628961
Q6PJG6,0.949435712999917
Q92359,0.619513945711136
Q9LP45,0.834788131253748
Q9H9B4,0.653107878049091
P19387,0.565651866471519
Q07553,NA
Q9Y2L1,NA
Q8IU85,0.14849995705716
P46359,NA
P59947,0.152570918637216
Q8VDY4,0.762901199235907
Q641Y2,0.673456629880277
P49018,NA
Q402E2,0.946629723047951
Q2GC28,NA
