Accession_ID,pvalue
A0JMI9,0.736422393533414
Q5ZIU9,NA
Q5ZJJ2,0.826799257203569
Q7ZVT3,NA
Q9H6U8,0.719862620499287
P80092,NA
P15357,NA
Q9D168,0.324871706429592
O74828,NA
Q96RR4,NA
Q9UMX5,0.665756764262376
A4G2T5,NA
P45985,0.701158240678817
P13674,0.394218780446087
Q09441,NA
Q803V5,0.971301002888258
Q40374,0.522560573173081
Q9H400,0.932351219271406
O75179,0.142196146356146
P49796,NA
P45181,0.717801449372707
Q9Y2B2,NA
Q95WA0,0.748187179079771
Q8BG19,NA
P36956,0.500455453448923
Q9Y2F5,NA
C0KJQ4,0.925559217015808
Q3E793,NA
Q92203,NA
Q8CB19,0.748187179079771
Q75JR2,0.702685157633893
P39858,NA
Q99KU6,0.853117738643001
Q15751,0.958650023324457
O34878,0.48465850214578
Q8N434,NA
Q9D2D9,0.932351219271406
Q86JE5,NA
Q9U5N1,0.798925071821975
P54723,0.889856862453917
Q9NTX7,0.764153713994617
Q04721,0.51925967783068
O07315,NA
P55702,0.764153713994617
Q8TAT6,0.484811707565557
Q00808,NA
Q9D0D4,0.242299656557044
P30182,0.148416379260552
Q3ITQ4,0.234031184087627
A0QP32,0.702685157633893
Q06730,0.480626267015095
Q6GHY0,NA
Q6A6M9,0.748187179079771
A7YWE4,0.422022210140583
Q7Z422,0.719862620499287
Q9DC53,0.173852895323812
P46450,NA
Q9QYI5,0.906222747504576
Q7ZYC4,NA
Q562E7,0.768969767376528
P62684,NA
P62684,NA
Q9Y6K5,NA
Q2M3R5,NA
Q7QC84,NA
Q7QC84,NA
Q01484,0.109412036850124
Q15027,0.237638654306311
Q2QPW1,0.148416379260552
Q6DKB0,NA
Q9VWN5,0.727898832627173
Q9VWN5,0.727898832627173
Q6EQX3,0.522560573173081
O00750,0.748187179079771
Q90X38,0.142196146356146
P32507,NA
Q06730,NA
Q6R2W3,0.171543743408906
O94901,0.765105566990302
Q86XP3,NA
F1QEB7,0.764912910594548
P00850,0.899915226411921
Q8Y193,0.663466291446029
P36183,0.210898019963284
Q8VEG0,0.719862620499287
Q5E9F9,0.563139577953479
Q9CQT5,0.719862620499287
Q2IBB2,0.0703903056891236
Q2IBB2,0.0703903056891236
Q8R143,0.78570420302234
Q05755,0.90102087518154
G5CEW6,NA
P49590,0.748187179079771
Q63HN8,0.506457944025489
Q12019,NA
E7ETH6,0.748187179079771
Q9DBB5,NA
Q8NS49,NA
Q8NLN8,NA
Q13895,NA
P97279,0.871784902689157
O97366,0.936371049408326
Q502M6,NA
Q03720,0.602075831839768
Q8MRC9,NA
O94653,0.651414526971465
Q9R0E1,0.396642251493749
P0CF97,0.257040827668613
Q3UIR3,NA
P0CJ79,0.769736350805054
P22708,NA
Q13469,0.879429750152105
Q9BTX7,0.275778394323604
B2D0J5,NA
Q2LE78,NA
A5PKD9,0.719862620499287
Q2F637,0.584008057264607
Q7K237,NA
P97411,0.403677322145868
Q98DV6,0.719862620499287
Q9EQQ9,NA
Q2TBI2,0.735577712601957
Q8WV83,0.31436345255816
Q99LN9,0.649574867540392
Q04336,NA
X5CWH9,0.52772381299466
P11584,0.205140426647223
Q9NRL2,0.432913192486412
Q8MXS1,NA
Q5M8W9,NA
P9WKI0,NA
Q96CB5,0.719862620499287
Q5BIN6,0.583176704119952
Q8RWS8,0.0757089311028725
P28159,NA
Q99323,0.924739606473212
P09203,0.396642251493749
Q9VTV1,0.719862620499287
Q12630,NA
P27398,NA
Q8Q0U0,NA
O64981,NA
C1E9Y5,0.0248772321143251
P18729,0.274876917214049
Q8TGM6,0.732354627296879
P98158,NA
P84288,0.910787191823017
Q86TP1,0.300850598484047
Q3KR37,0.748187179079771
Q84K16,NA
P08337,NA
Q9ULJ7,NA
Q80V24,0.889856862453917
Q9UBB4,NA
O15111,0.889856862453917
Q9P2D8,0.183633708109981
B0FWD8,0.889856862453917
P84293,0.889856862453917
Q6UN15,0.898709509340362
Q91VA6,0.797692292358881
Q6IA17,0.81246696883795
Q9NUL7,0.494869093846121
Q24246,0.0318046441068381
Q62559,0.114701058447103
Q12918,NA
Q98DY3,NA
P57722,0.283225920494182
Q9I4V0,NA
P22953,NA
Q9DCC8,0.846294473684675
Q12981,0.18903506662687
Q92636,NA
O16130,NA
Q3SZ63,0.719862620499287
Q9VZS5,NA
A8WVU9,0.99698219062536
P68172,NA
P14408,0.582779662549316
Q7F2E4,NA
P90648,NA
Q2TBS9,0.775054547951908
Q6QEJ7,0.274811332168453
Q96N38,0.255302952821596
O35166,0.516728980293904
Q9LRN8,NA
P45129,NA
P48632,0.900058920758864
A6QQP7,0.54167313591212
O04486,0.192340073631764
O60739,0.55331610134458
O50627,0.889856862453917
A6H730,0.181254223795553
Q8SV95,NA
Q14585,0.748187179079771
Q898P3,NA
P9WI78,0.0913816801700784
Q26061,0.323443873787372
Q9FHN8,NA
Q2TXA2,0.503150798422649
O15498,0.0691861868029828
Q03249,0.51925967783068
P13807,NA
O75179,2.69254598012285e-08
Q96KE9,NA
Q84K16,0.234538939487663
Q9JJZ6,0.517657659732486
Q0Z7W6,0.290410301165932
P20085,0.116786912664423
Q6G2V3,NA
Q92J97,NA
Q96CN9,NA
P32821,0.764153713994617
A0A384JQF5,NA
Q6A998,NA
Q6ZWR6,0.516728980293904
Q08CZ0,0.385484326028619
Q54DF9,NA
O74326,0.0820823577261165
Q8TEX9,NA
Q60963,0.889856862453917
Q8BZW8,0.112362085464342
Q01151,0.932351219271406
Q6ZQ82,NA
Q8CGR7,0.321137028134249
Q8CGR7,0.321137028134249
Q9W3M3,0.400138351536874
Q2TBI2,0.77738186200897
P08648,NA
Q5F433,0.069461057240655
Q9VKD3,NA
Q06317,0.784331618644936
P43644,0.205140426647223
Q7ZVK4,NA
Q64M78,0.145536080930225
Q8K183,NA
Q8R189,NA
Q8R189,NA
Q9FX08,NA
Q9QY80,0.719862620499287
Q9QY80,0.719862620499287
Q8BZB2,0.874187347893973
Q6ZQK5,0.344671569376989
Q54NF1,0.205140426647223
Q9VFC2,0.900093726939046
Q769F9,NA
P39101,NA
Q8N3C7,NA
Q14839,0.522560573173081
Q8NDZ0,0.516728980293904
Q23629,0.548829679833627
P0CL85,0.382932163770408
Q6NZJ6,NA
Q7XPJ0,0.108749748888346
A0A1D5PUP4,0.691876436361549
Q66HF9,0.719862620499287
Q60520,NA
Q9SGA6,0.0289135218556004
Q2IBG7,0.764153713994617
P39812,0.48465850214578
Q9LEB3,NA
Q8VZE7,0.0965239295326394
Q6A9R0,0.719862620499287
A5PLL7,0.827667436367961
P25843,0.456167793390055
A9ZSY2,0.879928251236357
P25368,0.146654849024849
P33296,0.259491560901362
P59235,0.932567580093941
Q92887,0.48465850214578
P80317,0.78603416185987
O54963,NA
P0DJD3,NA
Q12901,0.586897326476732
O86365,NA
P91660,0.509593110931766
Q23121,0.0703903056891236
D5EY15,0.625953189972735
Q8IY18,NA
P55140,0.975763600750908
Q4JW51,NA
G3XD29,0.764153713994617
O82733,NA
Q8R5L3,0.156667685310049
Q8TF32,NA
Q8I136,0.286435575627439
Q96Q42,0.854999824089656
P55925,NA
P34790,NA
P77489,NA
B0R0D7,NA
Q8IGJ0,0.566584656401402
Q9Y6A5,NA
Q8SQV6,NA
Q1RIA4,NA
Q75IM9,0.0703903056891236
Q8BH61,0.748187179079771
Q13367,0.162733935891698
O48709,NA
P17967,NA
A4Z943,NA
O60885,0.423979955192326
Q86SG6,0.199744123359776
Q8N2A0,0.764153713994617
Q96CN9,0.77951426006363
P93107,NA
O02811,0.427949264861786
Q58DC8,0.367901334679387
P9WLI0,NA
Q2GA15,0.656998641467606
Q6RH31,0.90102087518154
Q9ULJ7,0.522560573173081
P77467,NA
Q3T0U2,0.54359547206094
Q8BGM5,0.449719936945889
Q2TBV5,NA
P32771,0.107410375952552
P76298,NA
A8MR93,0.286435575627439
P46824,NA
Q5UNW1,0.286435575627439
Q7Z4G4,NA
Q9EQU5,NA
Q02525,0.748187179079771
Q9SNB7,0.719862620499287
Q05D44,0.784331618644936
O43854,0.205140426647223
P51523,0.858995506319254
Q06732,0.995475547181278
O95714,0.498153663125099
A2R989,0.374304333679587
Q8TCT9,0.340831015955687
P10909,0.773626567361505
O14513,0.553089210179991
Q2TBL6,0.136540681550152
Q95SX7,0.234031184087627
P14115,0.196268936986469
A2AWA9,NA
Q9K151,0.321268587364297
O08529,0.732094221923432
Q16822,NA
Q8Z3P2,0.142332124524178
Q62425,NA
A7E305,0.32332513099199
Q8K2B3,0.457463803871513
O16797,NA
P32113,0.935763519665551
Q8TBA6,0.889856862453917
Q8N7Q3,NA
Q641X3,NA
Q0P5L0,NA
P07902,0.928215025197152
Q9ULI0,0.162043496665446
A8MQ14,0.338360179606901
Q9UM54,NA
Q01061,NA
Q6R2W3,0.321137028134249
Q99315,0.932351219271406
Q7TMK9,NA
Q8NDQ6,0.37307074539696
Q9R1T2,0.643305072412684
B6SFA4,0.274404560986953
Q80WP8,0.586897326476732
Q91UZ4,0.932351219271406
P29944,NA
Q01201,0.396642251493749
Q9BQE9,0.665756764262376
P72699,0.0648175402387209
Q75JD5,NA
Q9VLN1,0.751320712058747
Q8WZA0,0.194295936915168
Q2TA37,0.0742974846119878
Q9ZV69,0.654881183815498
Q8TGM7,0.649574867540392
Q7Z5D8,0.52772381299466
Q6GV29,0.721875815367851
Q96GZ6,0.583176704119952
Q1DZA6,NA
Q8VHI6,0.378639974294841
Q8VHI6,0.378639974294841
P43250,NA
Q93050,NA
Q60722,0.719862620499287
Q9SPE6,0.192340073631764
P49900,0.4772340537
Q9D2X8,NA
P63390,0.395860942458203
O75381,0.956826541478131
Q09285,0.360234892572062
O30498,NA
O76924,0.0530590520993196
Q6ICX4,0.136540681550152
Q8Y081,0.557824588813114
Q24JY4,0.9666830217525
P18714,NA
P70997,NA
Q7L5A3,NA
Q9SBJ1,0.286435575627439
O95870,0.774558602854045
P49540,NA
Q6NWV3,0.889856862453917
Q6NCU3,0.255302952821596
P26609,0.395860942458203
P12694,0.911543180502779
Q8Q0U0,NA
P46359,0.899552597078948
Q24498,0.78762754664562
Q6NUH3,NA
O14049,NA
Q8WWQ0,0.583999042476806
Q7RY84,0.719862620499287
Q7ZVZ7,0.52772381299466
Q8IZ13,NA
Q9AYE4,NA
Q9AYE4,NA
Q9NRJ1,0.889856862453917
Q7CH99,0.539870289309697
Q6GQ73,0.392602940706706
Q55GC2,NA
Q9KVX3,0.421165425928698
Q8VYF5,0.294799601652278
P08922,0.816552125438756
Q9BX82,0.42818156349759
Q8VYP5,NA
F6UA42,0.54468600911364
Q9Z1M8,NA
A7Z035,0.458127195139956
Q7TMM8,0.719862620499287
Q01149,0.764153713994617
Q2GBX1,0.451934149710703
P31696,0.877087266373276
P49366,NA
P10176,0.595834995426235
Q03278,0.234031184087627
Q14689,0.664035596214505
P46776,0.466800665372414
P46776,0.466800665372414
Q9JL56,NA
Q80YR4,0.702685157633893
P39869,NA
Q61081,0.749346296619182
O04354,NA
P37344,0.420611406732109
Q9JL18,0.169761559191189
P97770,0.889856862453917
Q1Q0T4,0.67499317950076
P10394,0.979266721504206
Q54QE4,NA
Q5VTL8,0.144384123474417
Q6UX73,0.719862620499287
P17032,0.833110218461911
Q53151,NA
Q8K2C8,0.719862620499287
O06179,0.656998641467606
Q9ULJ7,NA
Q8IUX8,0.500455453448923
Q2MHH4,0.355194575130265
Q8RX66,0.544415534768159
Q5F3U9,NA
P42063,0.449719936945889
Q32P85,NA
Q9QUN3,0.748187179079771
P68362,0.373423589880206
P22670,0.51925967783068
P55857,NA
P18084,0.889856862453917
