Accession_ID,pvalue
P32970,0.179533057075345
P00850,0.816628855958976
O06179,0.730466276338579
Q96P70,0.39116278843914
Q06730,NA
Q92526,0.692533003449445
P23467,0.216368427434374
Q9ZTN2,0.313310645433935
O15164,0.604604721617951
P23398,0.952427016384142
Q17QU4,0.231109541161489
A4IGY3,0.835012962309886
Q7ZXV3,0.721182838012606
Q9BY31,0.692416720795891
Q7TSX5,0.338989705479952
Q9NP64,0.92282625731469
Q9I3N0,NA
Q06507,0.785802221545015
Q9Y6Y0,NA
P90850,0.952427016384142
Q6UN15,0.952427016384142
Q9I993,0.652844152064731
Q2N806,NA
Q04207,0.692533003449445
Q92556,0.923579398130721
Q8XU10,0.642575844530316
Q9SZX9,0.792934482509771
Q06732,NA
Q5ZKY4,0.820604288432065
Q5ZKY4,0.820604288432065
P33192,0.519188064042384
Q5T160,0.371458046555579
Q12772,0.952427016384142
Q9NYZ2,0.816628855958976
Q5ZJM3,0.652844152064731
Q9H9L7,0.396513634061271
Q8XVD1,NA
Q2K5E1,0.640849574186697
Q54BI3,0.343632704997433
P07768,NA
Q4FP21,0.760428970873804
O74326,0.808974778044249
Q9V3D5,0.396513634061271
Q6UX73,NA
P61257,0.642688491575899
Q1LUS8,NA
Q8L7S8,NA
Q8R016,NA
Q13118,0.937278387264338
Q1LRY0,0.652844152064731
Q7SDV9,0.141342916850763
B3EWZ5,0.628766609884239
P40747,NA
A2ARV4,NA
Q21882,0.705257892341258
Q7ZVC2,0.677290650094881
Q7ZWJ4,0.929568502284294
P43428,0.459657706391118
Q1GVI8,NA
E1C6Q1,NA
Q9EQC5,NA
P0AEB4,NA
Q9Y490,0.560609517457589
Q17963,0.930678524980403
O64628,NA
P34422,0.652844152064731
Q62426,0.605729121223664
O95671,0.83116797185265
O95671,0.83116797185265
Q27421,NA
Q04850,0.761736013047184
Q9D2U5,0.883802807131883
Q9HXE3,NA
Q1HPK6,0.754417856686506
P28340,0.418766454617462
Q70CQ4,0.796775756788507
Q96S82,0.421612222776467
Q96S82,0.421612222776467
P98197,0.227584535331788
Q5DM57,NA
Q9NQW5,NA
P11279,0.952427016384142
B5QU11,0.519418797544046
P29877,0.397855617803246
O43252,NA
Q66H40,0.262527183293921
Q99MZ7,0.988975524417816
Q969T9,0.854586861633001
Q9LBQ3,NA
Q8BIY1,0.816628855958976
Q9JI55,0.7679658491553
Q8K354,0.695507979315918
Q7NA64,0.652844152064731
Q9W539,0.958164076360812
P50396,0.848060550754197
Q9JLB0,NA
Q9JLB0,NA
O74945,0.32456046657131
P08048,0.754417856686506
E9QAG8,0.503239801217004
Q13416,0.777930211120622
F4KGU4,NA
Q8NFZ3,NA
Q94A82,0.628766609884239
Q8BK35,0.143657471271054
P31404,0.692533003449445
Q9VPY8,0.961621473295596
A1A5P5,0.396513634061271
Q9C0I4,0.642688491575899
A6T0H2,0.227584535331788
Q6P9R2,NA
O76054,0.952427016384142
Q8WQA4,0.972832894255885
Q2M2N2,NA
P31252,0.957686995272371
P51523,0.969465827809617
Q3T051,0.489002409036307
Q99N95,0.828424344163647
Q6NWW5,0.679599677096016
O15371,0.233953507744015
Q9Y4G2,0.925680420862069
Q99570,0.189285730896875
Q6UX73,0.526773206500776
Q15646,0.151088702264489
Q15276,NA
Q8BZ25,NA
P79101,0.481188765172423
Q96S06,0.508426751796725
P50974,NA
P30711,0.730103649310413
P12378,0.813873814806234
Q9W5N0,0.482237587645845
T2KMH0,NA
E1WA34,NA
Q34345,0.599355328187811
Q7ZWJ7,0.612505464916862
Q7ZWJ7,0.612505464916862
O15524,0.90413687222185
Q9VZU2,NA
P97874,NA
Q12184,NA
Q2M385,NA
Q8VYP5,0.357831492938548
Q9UQP3,0.493895952888887
Q90X38,0.987187218193768
A4FUY7,0.878530988908515
Q5N870,0.952427016384142
J3S820,0.915619183463724
B3N4C7,0.145417897339302
Q86U02,NA
Q9H477,0.366202165174477
A2A3N6,NA
Q96LK0,NA
Q9UR07,0.0141897523066525
Q8N567,0.692533003449445
Q8T6B9,0.237961433318922
P54641,0.835550852124383
Q9ZD54,0.823704012264882
Q61188,0.952427016384142
A7RM45,NA
Q9P219,0.773264851747857
O43837,0.266943070134203
O62742,NA
Q99LE2,0.952427016384142
P55630,0.313310645433935
O13755,0.675082240033512
Q9HC29,NA
P18729,0.486942078015482
Q9RX51,0.262527183293921
Q0WQ63,0.754417856686506
Q04222,NA
Q9XF62,0.381530368328606
P37641,NA
Q3IZP4,NA
Q49B96,0.697054248525081
Q96EY4,0.816628855958976
A9ZSY3,0.642688491575899
Q3URY6,0.642688491575899
P78615,0.108529755738113
Q34345,0.678071788809713
Q06730,NA
Q4R8P0,0.469426920374365
Q4L180,0.952427016384142
Q9H3Y8,0.498393609376857
P08045,0.755327004935783
P21630,NA
Q9NX38,0.940270422382915
Q5M7Z0,0.193506081914548
O17736,0.249056489370473
P07738,0.951793597914151
Q6ABX1,NA
Q9I0K4,NA
Q2F637,0.692533003449445
Q9VAS7,0.652844152064731
Q96KP1,0.997344285825357
Q9QX67,0.812234397529312
Q94K73,0.432875657910786
P63154,0.96673960835151
Q96IR2,0.341167839126143
Q17QJ1,NA
Q9XTY1,0.420198016385112
Q0KIC3,0.0580874162785724
Q96JB1,0.313310645433935
Q2XVR6,0.182076180511492
Q6D3B0,0.829078584692411
Q8TB22,0.772387616587969
Q5LLW7,0.771739539388764
Q8N6G5,0.355304761113159
Q6NZ04,0.652844152064731
P94126,NA
P53505,0.438318626456636
P33436,NA
Q9VWH8,NA
Q90YV7,0.526778671953039
P49790,0.952427016384142
Q9D1A2,0.59175952432065
A3KMV5,NA
Q16854,0.521577374135441
Q4R6Y6,0.936359632393279
Q9LYQ8,0.0828991410841719
A2VDJ0,NA
A8WVX8,0.688928847851986
Q66KU4,0.68561719531365
Q8K0U4,NA
Q9Y5Y6,NA
Q9FG93,0.343632704997433
Q2KJ81,0.644467785423341
Q9W5Y0,0.652844152064731
Q1M799,0.652844152064731
Q14689,0.530473899592536
C0KJQ4,0.704370547791457
Q9I6M5,NA
Q95SS8,0.63229712451565
Q92918,0.952427016384142
P27484,0.75711239164568
P27797,0.114646505636939
P25197,NA
Q4VC44,NA
Q9GMY2,0.819198955437191
P42232,0.43502134259833
Q9UPT5,0.631546539437629
Q64321,NA
P34949,0.463408557194467
P34949,0.463408557194467
Q8IMX7,NA
Q9SSF1,0.336676712554656
Q5T3I0,0.818857443450915
Q8WXG6,0.690137145939933
P52623,0.801339888504082
Q96AE7,0.831260886447534
P59271,0.652844152064731
Q0P5F9,0.743495853805409
B0E2U2,NA
Q96M27,0.371458046555579
P70031,NA
Q96NY9,0.958363664122262
O44997,0.645773902673979
O44997,0.645773902673979
P54654,0.436529967006894
Q9K0N0,NA
Q9Y508,0.410028426269148
Q92UV5,NA
E1BB03,NA
P08962,0.564460683216006
Q7WUL4,NA
P47943,NA
Q9ULB1,0.828331208988205
Q55CT0,0.301982287469326
B0RLE6,NA
Q92521,NA
Q14738,0.724682934728502
Q6IR34,NA
Q8NDL9,NA
O14925,0.165675317794062
Q2GAI7,NA
B0VHH0,NA
P19199,0.201759080924118
Q01433,0.692533003449445
A2AWA9,NA
O04354,NA
P38974,NA
Q9BRK5,0.285767017493423
B2UFL1,NA
P57772,0.628766609884239
P26356,0.342091960663449
Q26619,0.952427016384142
Q215W8,NA
Q7ZUU1,0.987773678045631
Q2KHU8,0.754146061528198
O17583,0.240644277337662
Q13409,0.20881245327365
P11009,0.813335462718389
Q00577,0.642575844530316
Q756B7,NA
Q9H0C8,0.652844152064731
O95985,NA
Q8NS80,NA
A2WY46,0.22734247943212
Q9JJN0,NA
A8DYE2,0.343895831864533
P20693,0.761736013047184
Q2HJ56,0.650015441016766
Q5T4S7,0.652844152064731
O54890,0.952427016384142
O34442,NA
Q8BH74,0.905377134958364
Q99J47,NA
Q5QV40,NA
Q6PAJ1,0.256930252984335
Q9Y4E8,0.515959406755072
Q6NS59,0.887506749289866
Q3SZD7,0.964588688552665
Q862Z4,0.103832879195171
Q9Z618,NA
Q8ML92,0.897201663524494
A5EJY3,NA
Q86A77,0.665788757691373
P28108,NA
Q3T0M0,0.645363990427943
Q3TD49,NA
P94478,NA
Q9U4N3,0.173171269149303
