"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-35 0.0760854885680571 4 11 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.628598096380282
42 0.114799940092607 2 6 "GO:0000902" "cell morphogenesis" 0.654625345506518
23 0.133422856049995 6 19 "GO:0001932;GO:0042325;GO:0019220;GO:0051174;GO:0031399" "regulation of protein modification process" 0.657107566046225
59 0.0246533731739977 3 6 "GO:0001934;GO:0042327;GO:0045937;GO:0010562" "positive regulation of phosphorylation" 0.53911340555483
6 0.812154380978892 1 8 "GO:0002376" "immune system process" 0.942749541660736
-7 0.692839279359159 2 15 "GO:0003006" "developmental process involved in reproduction" 0.930790962264506
35 0.147522850185734 2 7 "GO:0003008" "system process" 0.66406502174021
24 0.367765191053042 2 6 "GO:0005975" "carbohydrate metabolic process" 0.813709569405087
-19 0.271824780077632 3 15 "GO:0006091" "generation of precursor metabolites and energy" 0.787638680565948
18 0.37217296708611 2 10 "GO:0006259" "DNA metabolic process" 0.813709569405087
4 0.875321165366831 3 7 "GO:0006281;GO:0006974" "cellular response to DNA damage stimulus" 0.942749541660736
14 0.628894540319118 2 5 "GO:0006310" "DNA recombination" 0.914422195455658
-34 0.16884638293212 3 7 "GO:0006325" "chromatin organization" 0.66406502174021
22 0.180292815766586 6 16 "GO:0006355;GO:1903506;GO:2001141" "regulation of RNA biosynthetic process" 0.670144994453159
22 0.29369778455896 2 10 "GO:0006357" "regulation of transcription by RNA polymerase II" 0.787638680565948
12 0.61645334007339 2 7 "GO:0006364;GO:0016072" "rRNA processing" 0.914422195455658
-4 0.776512761928458 2 23 "GO:0006397;GO:0016071" "mRNA metabolic process" 0.938484749079179
15 0.56055339626676 2 6 "GO:0006399" "tRNA metabolic process" 0.914422195455658
4 0.886967709370271 3 5 "GO:0006402;GO:0006401" "RNA catabolic process" 0.944500749978072
3 0.895603324951058 5 11 "GO:0006412;GO:0043043;GO:0006518" "peptide biosynthetic process" 0.946238395248791
-20 0.286530287614822 2 12 "GO:0006417;GO:0010608;GO:0034248" "posttranscriptional regulation of gene expression" 0.787638680565948
4 0.864134397180103 2 9 "GO:0006457" "protein folding" 0.942749541660736
34 0.194510366526237 5 6 "GO:0006468" "protein phosphorylation" 0.709602633438309
18 0.26500868930168 3 17 "GO:0006508" "proteolysis" 0.787638680565948
21 0.305542799508026 2 10 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "modification-dependent macromolecule catabolic process" 0.793463105274238
34 0.159696288397217 5 7 "GO:0006520" "cellular amino acid metabolic process" 0.66406502174021
