"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-10 0.472862651486603 4 9 "GO:0000122;GO:0045892;GO:1903507;GO:1902679" "negative regulation of RNA biosynthetic process" 0.960956818062261
-3 0.804580604520478 3 11 "GO:0001934;GO:0042327;GO:0045937;GO:0010562" "positive regulation of phosphate metabolic process" 0.983405992384463
-23 0.129335829831141 2 7 "GO:0002682" "regulation of immune system process" 0.960956818062261
24 0.0741286010281105 2 9 "GO:0003006" "developmental process involved in reproduction" 0.960956818062261
4 0.763732861896731 3 8 "GO:0005975" "carbohydrate metabolic process" 0.983405992384463
7 0.647088734704732 3 8 "GO:0006091" "generation of precursor metabolites and energy" 0.974038832239755
5 0.706602753676493 4 9 "GO:0006259" "DNA metabolic process" 0.981011590055714
-16 0.180627156481555 4 12 "GO:0006357" "regulation of transcription by RNA polymerase II" 0.960956818062261
1 0.9602257221587 2 12 "GO:0006396" "RNA processing" 0.984068850014347
-12 0.362602409196059 2 9 "GO:0006397;GO:0016071" "mRNA metabolic process" 0.960956818062261
1 0.963424048965095 5 10 "GO:0006412;GO:0043043;GO:0006518;GO:0043604" "peptide metabolic process" 0.984068850014347
-21 0.201623852744683 3 6 "GO:0006417;GO:0010608;GO:0034248" "regulation of translation" 0.960956818062261
-10 0.413867766148301 2 12 "GO:0006508" "proteolysis" 0.960956818062261
-7 0.70274813479772 3 5 "GO:0006790" "sulfur compound metabolic process" 0.981011590055714
5 0.778848027873619 3 6 "GO:0006915;GO:0012501;GO:0008219" "programmed cell death" 0.983405992384463
24 0.0830432984439415 2 9 "GO:0006928" "movement of cell or subcellular component" 0.960956818062261
-10 0.467825041027183 2 8 "GO:0006955;GO:0002376" "immune system process" 0.960956818062261
10 0.522057769596601 4 7 "GO:0006974" "cellular response to DNA damage stimulus" 0.974038832239755
-7 0.572809713435351 5 12 "GO:0007010" "cytoskeleton organization" 0.974038832239755
-1 0.959430855238165 5 8 "GO:0007015;GO:0097435" "supramolecular fiber organization" 0.984068850014347
17 0.296575733799155 2 6 "GO:0007017" "microtubule-based process" 0.960956818062261
17 0.265741732142573 2 7 "GO:0007049" "cell cycle" 0.960956818062261
-16 0.218769252125709 2 10 "GO:0007166" "cell surface receptor signaling pathway" 0.960956818062261
-15 0.241420507928481 2 10 "GO:0007275" "multicellular organism development" 0.960956818062261
-2 0.87478623435601 3 7 "GO:0007346" "regulation of mitotic cell cycle" 0.983405992384463
-8 0.637236162543072 2 6 "GO:0007389;GO:0003002" "pattern specification process" 0.974038832239755
13 0.429833449292825 2 6 "GO:0008380" "RNA splicing" 0.960956818062261
34 0.0116969996136688 4 9 "GO:0008610;GO:0044255;GO:0006629" "lipid metabolic process" 0.836335472377319
3 0.827940048043108 6 8 "GO:0009150;GO:0006163;GO:0009259;GO:0072521;GO:0009117;GO:0019693;GO:0006753" "ribose phosphate metabolic process" 0.983405992384463
15 0.234786540333958 2 10 "GO:0009628" "response to abiotic stimulus" 0.960956818062261
11 0.379680563286361 2 12 "GO:0009653" "anatomical structure morphogenesis" 0.960956818062261
-10 0.462134185546513 2 9 "GO:0009719;GO:0010243;GO:1901698" "response to endogenous stimulus" 0.960956818062261
-25 0.158299695801002 2 5 "GO:0009725" "response to hormone" 0.960956818062261
5 0.772504035276934 2 5 "GO:0009887" "animal organ morphogenesis" 0.983405992384463
7 0.675521939191969 3 6 "GO:0009888" "tissue development" 0.980504576301098
-2 0.88712848264053 2 12 "GO:0009968;GO:0010648;GO:0023057;GO:0048585" "negative regulation of response to stimulus" 0.983405992384463
-21 0.0697839346997214 3 13 "GO:0010033" "response to organic substance" 0.960956818062261
-2 0.905919921186509 5 7 "GO:0010564" "regulation of cell cycle process" 0.984068850014347
-11 0.490558375654161 4 7 "GO:0010638" "positive regulation of organelle organization" 0.960956818062261
-15 0.185228569719093 3 13 "GO:0010647;GO:0023056;GO:0009967" "positive regulation of cell communication" 0.960956818062261
-4 0.750179363278472 2 12 "GO:0010941;GO:0042981;GO:0043067" "regulation of cell death" 0.983405992384463
-11 0.521445595941726 2 6 "GO:0010942;GO:0043065;GO:0043068" "positive regulation of cell death" 0.974038832239755
7 0.573777897570654 4 13 "GO:0015031;GO:0015833;GO:0042886;GO:0006886" "amide transport" 0.974038832239755
3 0.836289808818274 2 6 "GO:0015672;GO:0006812" "cation transport" 0.983405992384463
-5 0.698236589817992 3 10 "GO:0016192" "vesicle-mediated transport" 0.981011590055714
-10 0.467825041027183 3 8 "GO:0016310" "phosphorylation" 0.960956818062261
-5 0.762640954376292 4 6 "GO:0018130;GO:0019438;GO:0034654" "heterocycle biosynthetic process" 0.983405992384463
-9 0.607283716527115 3 6 "GO:0018193" "peptidyl-amino acid modification" 0.974038832239755
6 0.615085135433539 2 11 "GO:0019637" "organophosphate metabolic process" 0.974038832239755
-17 0.31153148304352 3 6 "GO:0019725" "cellular homeostasis" 0.960956818062261
0 0.993631833043817 3 11 "GO:0019752;GO:0043436;GO:0006082" "organic acid metabolic process" 0.994094696755756
13 0.303197629600714 2 11 "GO:0022402;GO:1903047" "cell cycle process" 0.960956818062261
-2 0.926290985615076 2 5 "GO:0022412" "cellular process involved in reproduction in multicellular organism" 0.984068850014347
-11 0.490558375654161 2 7 "GO:0022603" "regulation of anatomical structure morphogenesis" 0.960956818062261
22 0.176657693071733 2 6 "GO:0030030" "cell projection organization" 0.960956818062261
-7 0.627281730012301 2 8 "GO:0030036;GO:0030029" "actin filament-based process" 0.974038832239755
9 0.592547086409708 2 6 "GO:0030154" "cell differentiation" 0.974038832239755
