Accession_ID,kME_vals
Q9JLC3,0
Q9VCP0,0
Q9DDJ0,0
Q05319,0
Q05319,0
Q27081,0
Q27081,0
Q9VNA4,0
A7RRJ0,0
Q8UWA5,0
Q9VZS5,0
Q9VZS5,0
P31696,0
P17030,0
Q9VPW8,0
P45883,0
O17389,0
O17389,0
O17389,0
O17389,0
Q9HAU4,0
Q6PHF0,0
Q6PHF0,0
Q9Y5M8,0
O76756,0
A3FM55,0
Q6IRP0,0
P27615,0
P17032,0
P07764,0
Q9D4H8,0
P82927,0
Q5RBM1,0
Q09103,0
P11845,0
P90850,0
C3Y3G4,0
P21262,0
P21262,0
Q9UJW7,0
Q8BHN3,0
Q5ZJN2,0
A2AJ15,0
Q5E987,0
Q5E987,0
P31696,0
Q176V0,0
Q3T138,0
Q9UH92,0
Q7QH62,0
Q9CR63,0
P31696,0
Q6DFW4,0
P21329,0.837730737658918
P21329,0.774142107455276
P21329,0.78300044201673
Q3T0W7,0
Q3T0W7,0
P04394,0
P04394,0
P04394,0
P17057,0
P49803,0
P49803,0
Q641G7,0
Q26250,0
Q26250,0
A1Z7A6,0
A1Z7A6,0
A1Z7A6,0
A1Z7A6,0
A1Z7A6,0
Q9NQP4,0
Q2HJ58,0
Q2HJ58,0
Q6NYP0,0
B0W6M9,0
B0W6M9,0
Q9JKK1,0
Q9VEN1,0
P08537,0
D3ZAT9,0
Q9DAC7,0
P57784,0
Q3SX11,0
Q15149,0
Q24117,0
P48809,0
Q9D753,0
P46776,0
P46776,0
P46776,0
Q9VIM5,0
Q9VIM5,0
Q25009,0
Q25009,0
Q9R0P6,0
Q9R0P6,0
Q9R0P6,0
O00217,0
P38040,0
P38040,0
P35687,0
P21460,0
P55935,0
P55935,0
Q28GF4,0
P23026,0
Q7Q5R5,0
Q61471,0
C4NZN9,0
C4NZN9,0
P22589,0
O82390,0
O42395,0
Q5R7W2,0
Q5R7W2,0
Q3SZN5,0
Q24319,0
P52485,0
P31230,0
P16940,0
Q9DCM2,0
Q9DCM2,0
Q9DCM2,0
P49154,0
P49154,0
P83111,0
P04069,0
P04069,0
Q24509,0
Q24509,0
P41340,0
Q5E988,0
Q17QE5,0
Q17QE5,0
A7S6Y0,0
A7S6Y0,0
A7S6Y0,0
O61661,0
O42248,0
O42248,0
O42248,0
Q9GRW0,0
Q9GRW0,0
Q9GRW0,0
Q9GRW0,0
Q9GRW0,0
P29742,0
Q5RA23,0
P23004,0
P23004,0
P14562,0
P14562,0
Q2KIH4,0
O55029,0
O55029,0
Q3SWW9,0.8898628470721
Q3SWW9,0
P49023,0
Q9VU68,0
Q9VU68,0
Q9VAS7,0
Q4R562,0
Q4R562,0
P49407,0
Q05481,0
Q96RE9,0
Q9W704,0
P06708,0
O54715,0
Q7TSX5,0
P54629,0
Q27081,0
Q0VFE3,0
Q801P7,0
Q8BL97,0
Q8BL97,0
Q8BL97,0
Q9VL00,0
Q86SX6,0
Q7PR68,0
Q32NT4,0
Q9W3Y0,0
Q0VD32,0
Q5U580,0
Q90Z10,0
Q90Z10,0
Q90Z10,0
Q6UXY8,0
Q9VJ38,0
O46629,0
A2VDZ9,0
Q0V882,0
P21328,0
P21329,0
P21328,0
P08155,0
P08155,0
Q95NR9,0
P11144,0
P28227,0
B4LZ88,0
B4LZ88,0
B4LZ88,0
Q9CPU4,0
Q9CPU4,0
P63271,0
Q8MJ50,0
Q178A5,0
Q2HJH0,0
Q2HJH0,0
A7RSH7,0
Q5ZJR8,0
Q9VFR0,0
Q9GP16,0
Q9GP16,0
Q21102,0
Q9VN93,0
Q3T0D5,0
C0KJQ4,0
P80971,0
O44081,0
Q9CRA8,0
Q9CRA8,0
Q9VVS4,0
A2RU14,0
Q9VXB0,0
Q94519,0
P70168,0
P48643,0
P48643,0
P00765,0
Q2KIG2,0
Q5R4I3,0
Q5R4I3,0
P61209,0
P61209,0
P61209,0
P61209,0
P61209,0
O15126,0
O15126,0
Q8JG64,0
Q8JG64,0
Q8JG64,0
Q9NRX5,0
Q16P20,0
Q9NYR9,0
Q9NYR9,0
Q9NYR9,0
Q9NYR9,0
P13732,0
Q98TF8,0
A6H769,0
Q32KL2,0
Q6NYA0,0
Q26365,0
Q6P5L8,0
Q6P5L8,0
Q95028,0
P34275,0
P34275,0
P00637,0
P00637,0
Q9QXD6,0
P00637,0
Q9NVS9,0
Q99LE6,0
Q99LE6,0
P60467,0
P46656,0
Q60876,0
Q6RG77,0
Q99471,0
Q9CAX6,0
P10987,0
P10987,0
Q9DGJ3,0
Q9DGJ3,0
Q9DGJ3,0
Q9DGJ3,0
Q8IZJ3,0
O97159,0
O97159,0
Q9VEN1,0
B0R0D7,0
B0R0D7,0
Q9Z0V7,0
Q9Z0V7,0
P80303,0
Q02819,0
P07903,0
P54385,0
C4NZN9,0
C4NZN9,0
P54814,0
A2RUV4,0
Q9UBB5,0
Q9UBB5,0
P00022,0
Q56JV1,0
Q56JV1,0
Q56JV1,0
Q6PH85,0
Q7T339,0
Q24537,0
Q9GRW0,0
Q58DW3,0
Q5F359,0
P19889,0
A7SE07,0
O61491,0
O61491,0
P21522,0
P21522,0
P12646,0
P12646,0
P30153,0
P30153,0
P30153,0
A7SKE9,0
Q6DRC4,0
Q8NB50,0
Q290X3,0
Q290X3,0
Q6PDG5,0
O94760,0
A2V735,0
A2V735,0
A2V735,0
Q5UAP0,0
P70280,0
P41340,0
P10987,0
P18600,0
O18404,0
Q1RMP0,0
P54353,0
Q9XYC2,0
Q9XYC2,0
Q9XYC2,0
Q9XYC2,0
Q9XYC2,0
Q6H1V1,0
Q6H1V1,0
Q9P6J2,0
Q962R1,0
Q9YIC0,0
P82911,0
P82911,0
P82912,0
Q15022,0
Q24537,0
Q24537,0
Q17QQ4,0
Q9CQ69,0
P29410,0
Q6NUC2,0
Q9Z2G6,0
P48855,0
P48855,0
Q9CQZ1,0
P11532,0
P42282,0
P42282,0
P42282,0
P42282,0
Q8N755,0
Q29RZ2,0
P40304,0
P40304,0
Q9NRW7,0
Q9CWK8,0
Q96MB7,0
Q08E20,0
Q06AU2,0
P0CB83,0
P0CB83,0
Q0MQH9,0
P98092,0
Q7M0E7,0
E7E2N8,0
P0CU66,0
Q28EN2,0
Q5XJK1,0
Q7JWG9,0
P62253,0
P05303,0
P05303,0
P61201,0
P14912,0
Q9VE04,0
P30711,0
Q05826,0
Q64455,0
P0AGE7,0
P0AGE7,0
P49906,0
P61485,0
P51689,0
P51689,0
Q60HH5,0
P51690,0
Q5RBU2,0
Q92546,0
Q5R1M5,0
Q17Q39,0
O14901,0
Q8TGM6,0
Q8TGM6,0
P17030,0
Q9V6Y3,0
C4NZN9,0
P53702,0
P53702,0
P53702,0
P61758,0
P61758,0
O97508,0
Q8VBV3,0
Q58D20,0
Q0VCR4,0
P54357,0
P54357,0
P54357,0
P54357,0
P80977,0
P80977,0
P80977,0
P06604,0
O60488,0
P31409,0
Q6PBN5,0
P34426,0
P53348,0
Q9VWP4,0
Q6INX3,0
P22464,0
P20073,0
Q9VXG4,0
Q9VXG4,0
P22464,0
P22464,0
K7IM66,0
Q9GV46,0
Q16YG0,0
Q5M8Z0,0
P12787,0
Q94514,0
P25455,0
P53777,0
Q6X4M3,0
P60467,0
P60467,0
P60467,0
P60467,0
P60467,0
P60467,0
Q7PVQ9,0
Q24JY4,0
Q9VUJ0,0
Q9VUJ0,0
Q20591,0
Q6NV04,0
P30436,0
Q9VLQ1,0
