Accession_ID,pvalue
Q9VEV4,0.385076923414331
O15042,0.621807271999738
Q80YR6,0.830736661669115
Q9P1W8,0.82170218004709
Q4KTY1,0.735345692211599
Q6GQ33,0.831636344053141
P18716,0.844316455058331
Q6A070,0.789966605402917
Q0P5C2,NA
Q5QUN8,0.63782846807225
Q9Y2H8,0.81353187583205
Q9Y2H8,0.81353187583205
Q9UJW2,0.719029756222576
Q9UR07,0.615220029421514
Q0P3Z2,0.525034879007622
Q9WTR7,0.623265127749947
D5QVH0,NA
Q8L796,NA
Q9UBH6,0.754538346635065
Q96SE7,0.955195283553684
A5VAK5,NA
Q80WW9,0.698913314302538
Q8R003,0.144332213933781
Q51391,0.474497390983486
Q9ULJ7,0.287262033916852
Q2HJE4,0.711176959304547
P83099,0.759179090603136
O60103,0.722228752360133
P17248,0.667922760158232
P38606,0.939418113518579
Q9SS17,NA
Q4V8U5,0.972828278898579
Q5ZJ01,0.696439366692576
Q9FIX3,0.143318946041177
O13755,NA
Q9JHS4,0.967150197987766
Q9Y6Q6,0.884054667051685
Q0VGW6,NA
Q7SY48,0.957037750077232
Q9P203,0.755887237766594
P40371,0.236755903243831
Q803S3,0.937095683267718
O75170,0.649915570744953
Q500V2,1
Q69TY4,0.919071536084624
Q55168,0.792011556253184
Q2F637,0.876142553999593
P62866,0.999215618139914
Q2NCA3,0.750048526733755
Q8NCG7,0.237958105180019
Q5F359,0.351173225909025
A0A126GUP6,0.418150895979801
Q3UVX5,0.347035568179181
Q3UVX5,0.347035568179181
Q8GYD2,NA
Q6P5L8,0.437494667898469
Q9U1M8,0.81353187583205
Q6FLF3,0.454865093691566
O49636,0.883175608750663
Q8XVC3,0.917541987629813
Q801E2,0.729214310425005
Q9Z273,NA
P10810,0.782080254462971
O46043,0.259204276248792
Q12972,0.556040862490406
P18431,0.335010920317213
Q08CH7,0.3661550369889
Q8BY87,0.528616589280902
B7J7X8,0.638248473378499
Q8H166,1
Q9ULJ7,0.746350911475026
Q27975,0.515663388473107
Q5H9R7,0.587133048195519
B3FHT4,0.0974061953163928
Q3U4G3,0.218227975453274
Q14588,0.916678101127433
O66114,0.817296450597775
O06179,0.511642984324439
Q887Z4,1.08098526759264e-09
Q8NF91,0.64521449428636
A9IJ27,1
P0A9Y1,NA
Q1RMH8,0.0372052917517859
Q9SIC9,NA
Q5E9N4,0.658177295501726
Q9Z3R8,0.766935058912638
Q8WYQ5,0.418738680761444
P09379,1
Q6U7I1,0.338710619663314
P46953,NA
Q14C86,0.767147475952131
O00370,0.947567241848578
Q9Y6I9,0.663862451577118
O29445,0.795387970326567
Q1GVJ2,0.81353187583205
Q2QL83,0.39125337359905
Q9W5N0,0.868169863535421
Q2G607,0.333861971559182
Q58DW3,0.298430636344301
Q9DD48,0.607546814025756
Q9NJU9,NA
Q9CPW2,0.829680033579746
P28040,0.0202872218840793
Q9ESP7,0.788734758061524
O17502,0.397784156855112
O17502,0.397784156855112
Q9MAQ3,1
B1ZC90,1
P82204,0.673208626584012
Q8BR76,0.555802575702709
P84080,0.910495844980081
P47813,0.571758451552903
B2FHL8,NA
P00765,0.307793166045479
Q7WG29,0.691355820481617
Q95V31,0.72443969054095
Q9NBX4,0.608070548156256
Q9U489,0.421640902237084
Q5VYJ5,0.994868363852424
Q9H9B1,0.479006049762131
Q8WUX1,0.0622516546238336
Q8CJX0,0.924719893262189
Q9M1K2,0.121363827881117
Q9UHL4,NA
Q7PPA5,NA
Q7PPA5,NA
Q3UMC0,0.860041560950862
A2XNS1,0.371177005481271
P38935,0.629028686446584
F1ND48,0.659148605157011
P56960,0.703255686255549
P21513,0.381822524534111
Q95SX7,0.454993917856475
Q640T2,NA
B2HMK0,NA
P28668,NA
Q05746,0.920995452203085
P55218,0.7586822959956
P76014,0.381822524534111
P15005,NA
Q3T145,0.0622777810347295
O95260,0.0142529115941554
Q0VBL1,NA
Q39230,1
Q9QWR8,0.809422303576163
Q55BJ6,NA
Q9UPN3,0.474822644969159
Q04447,0.77920789838239
Q8I6K1,0.799718575337694
Q9ULJ7,0.31705329628678
Q9ULJ7,0.31705329628678
Q44879,0.892415072947076
Q4GXU6,0.788734758061524
P0A5N7,0.0225955180600174
Q21920,0.589412925034014
P0CT41,0.740533349447553
Q5E9E4,0.547114118567716
P34730,0.543714966025572
Q6Q886,0.732986124104456
Q58DC5,0.990442340013109
Q6P3X8,0.721327284766297
Q7ZV84,NA
Q6DFR1,0.618972454478659
Q8BYH3,NA
Q6GQN8,0.496483937885447
Q2KJ14,0.746449096475813
Q9ZR39,0.181838184209081
Q7Z7G8,0.868377982443593
Q7SYD5,0.659569365688202
Q8L7M0,0.454865093691566
Q72PJ7,NA
Q2PQM1,0.890435640217267
Q9U639,NA
O14980,0.852055456563947
Q8N8Q3,0.562223080636159
O65039,NA
Q8IS64,0.735957619551172
P38040,0.778136211101664
Q8VIG3,0.181964251148064
Q6NUH3,0.230816590729731
A0QX22,1.08098526759264e-09
Q13438,0.197338926012962
A5VFI9,1
B0WC46,0.312064506221734
Q8NFF2,0.532333631708821
O00764,0.322697160050434
O88413,0.758682296404693
P0A4Y1,0.398376430183992
Q9NR09,0.780652805810454
Q8VBX0,0.992943858942884
Q96GG9,0.666440094809177
Q9US04,1
Q1LZF1,0.995707795934429
P0DJ54,NA
P10394,NA
Q8NG31,0.813739340264846
Q8SSI7,0.844316455058331
O34215,1
Q0BQJ1,1
O42630,NA
Q6QNM1,NA
Q9ASW1,0.926082792207604
