Accession_ID,pvalue
P54611,NA
Q4L6D9,0.437185845711767
P11586,NA
Q9QYP1,0.149432391637908
Q58DK7,0.437185845711767
O42783,NA
Q9FGZ9,NA
Q8KHZ8,0.419962119465355
Q9ZV43,NA
Q45831,NA
Q96S06,NA
P30414,0.638481923453717
Q9NXE4,NA
Q54YZ9,0.710248911103502
Q9WVG6,0.692918972023918
Q9U2X0,NA
Q9NXP7,NA
Q5ZKG3,0.323873389062037
Q9UGN5,NA
B0FWD1,0.793124416928646
Q6H7E4,NA
Q6P3R8,NA
P53804,NA
O95619,0.873514747712061
A5WWA0,NA
P25698,NA
Q4KMP7,0.242459550848512
Q08ER8,NA
Q9GKW3,0.179588682490353
Q27294,0.132872245279976
Q9H497,0.138243523784137
A6NDG6,0.438464563354639
Q502I9,NA
Q8BZT9,0.939015257570898
O75179,NA
Q99666,NA
Q5VW32,NA
Q8K296,0.679559180905438
Q08DD1,0.252743730327763
O01789,NA
Q63HN8,NA
Q99LS3,0.339425102997018
Q969Z4,NA
P12955,0.692918972023918
Q8VEG4,NA
P53634,0.693799612842415
Q9C658,NA
P21872,NA
Q9H1I8,0.692918972023918
P48634,NA
P03018,NA
P9WI78,0.939015257570898
Q6PCS4,NA
I2C092,0.412768408589173
Q6P360,0.543344981316775
Q92828,0.692918972023918
Q9Y2H8,NA
Q8TGM7,0.7819921762731
C0MGC7,0.692918972023918
Q54JE4,0.692918972023918
Q8IYN0,0.528041952299176
Q9UIQ6,0.873514747712061
Q29RN6,0.798454811288499
O28058,NA
Q69QZ0,NA
Q8PET9,0.861547200757044
Q92830,0.939015257570898
Q49AA0,0.941689528889789
P54856,NA
O75874,0.500626719001763
Q8WZ73,0.528041952299176
P11283,0.742801121312964
P48441,0.692918972023918
Q9Y2I7,0.375834598987964
Q9Y2I7,0.375834598987964
Q9BVJ6,NA
P49721,NA
P83291,NA
Q96A25,NA
O34442,NA
Q6LLU3,NA
Q6N1B4,NA
Q9VFS5,0.083223311092407
O00782,NA
Q3SX41,NA
Q9UKA9,NA
P51111,NA
Q5R4T9,0.0940891720655525
Q92636,0.433741119094416
Q5ZLC5,0.604930276020851
Q5ZLC5,0.604930276020851
Q96MU6,0.971066371047485
Q53PN2,NA
Q9Y2H8,NA
Q7WUL3,0.342375219243628
Q6NQ83,NA
Q5R2J2,0.0636748137317783
Q3B7I8,0.375834598987964
P70404,0.971295438293725
Q58NB6,0.692918972023918
Q9ULJ7,0.159510208926344
P26651,0.382488378547809
P34117,NA
Q9NQT8,0.65138175579384
Q9GRW0,NA
Q9Y4A0,0.584168050733161
Q16281,NA
Q1GTZ7,0.701379170571253
Q84VG1,NA
P0A4I1,NA
Q8C0D5,NA
Q8ND04,0.90920694285834
P33160,NA
P35079,0.595438865914286
P51786,NA
P51523,0.939015257570898
P51523,0.939015257570898
P21329,0.620450604380032
Q9VCU9,0.38107582800489
P49642,0.855030202736209
Q8BP78,NA
A8WH18,NA
Q04724,0.939015257570898
Q62470,0.860291366739233
Q61555,0.692918972023918
P45594,0.692918972023918
Q9H3H5,0.877936839961902
Q80TL7,NA
Q9NZP6,NA
Q9BXN2,NA
Q3B7M9,NA
P46416,NA
Q8H110,0.147829844099426
Q9UNA3,NA
Q22888,NA
Q9UJA3,NA
Q9W352,NA
P51139,NA
P00129,NA
P49657,0.0826788509183918
P10394,NA
Q9ZSD4,NA
Q96JK2,0.223606987953743
A3LZZ0,NA
Q6P4U0,NA
Q03278,0.532689523463584
Q8SCY1,0.255538778350489
Q9HDY1,0.472267623933913
Q8R2R6,NA
Q8TD55,0.692918972023918
Q95SX7,0.225822549828225
O15118,NA
Q3MHP2,0.127761945435131
