"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-133 0.692671622381847 5 21 "GO:0000002" "mitochondrial genome maintenance" 0.885499367145491
697 0.231500442520369 1 7 "GO:0000003" "reproduction" 0.508455309827842
348 0.398229603243251 2 14 "GO:0000012" "single strand break repair" 0.679958046163649
-113 0.756363648007918 4 18 "GO:0000018;GO:0051052" "regulation of DNA recombination" 0.917892934051561
-683 0.240967221041131 6 7 "GO:0000019" "regulation of mitotic recombination" 0.512855014693735
1493 0.0176774888503749 2 6 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.106175678282758
-422 0.0178971237100828 2 76 "GO:0000027" "ribosomal large subunit assembly" 0.106175678282758
-118 0.628924888048972 2 40 "GO:0000028" "ribosomal small subunit assembly" 0.842654237190962
-737 0.0849526336566021 4 13 "GO:0000038" "very long-chain fatty acid metabolic process" 0.288140373490775
426 0.49848610759607 2 6 "GO:0000041" "transition metal ion transport" 0.756118562876032
-158 0.374931144263959 5 76 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.653412610112189
-270 0.445056685936825 4 19 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.720782040187249
-520 0.0356669962940549 4 39 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0006913;GO:0015931;GO:0051169" "nuclear transport" 0.163388811594671
-616 0.100134353265591 5 17 "GO:0000055" "ribosomal large subunit export from nucleus" 0.325436648113171
1311 0.0572173546116589 2 5 "GO:0000056" "ribosomal small subunit export from nucleus" 0.220172380545663
-550 0.0211814168674048 3 42 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "mitotic sister chromatid segregation" 0.117106454174962
371 0.36788266430687 2 14 "GO:0000076" "DNA replication checkpoint" 0.649052846441415
223 0.415442513434405 3 32 "GO:0000077" "DNA damage checkpoint" 0.691419107069895
-257 0.227186739295593 7 53 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.505911211116575
-206 0.207572931808613 5 90 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.482331305313734
358 0.312642856955415 6 19 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.589730251747273
-292 0.101245164341103 3 76 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.326838416430004
569 0.15336887001852 2 15 "GO:0000096" "sulfur amino acid metabolic process" 0.412125287591666
1586 0.0117414757064815 2 6 "GO:0000097" "sulfur amino acid biosynthetic process" 0.088244528356525
980 0.0220466852418525 4 13 "GO:0000103" "sulfate assimilation" 0.11915118653181
1010 6.15023351470812e-06 2 48 "GO:0000105;GO:0006547" "histidine metabolic process" 0.0002275586400442
