"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
426 0.263383191199549 2 23 "GO:0000002" "mitochondrial genome maintenance" 0.505121314154664
799 0.246376232001802 1 7 "GO:0000003" "reproduction" 0.487589798891345
508 0.297764139052395 4 14 "GO:0000012" "single strand break repair" 0.551770823978811
-112 0.795399455793308 3 18 "GO:0000018;GO:0051052" "regulation of DNA metabolic process" 0.908408146057027
-899 0.192289404888205 2 7 "GO:0000019" "regulation of mitotic recombination" 0.414223426363342
1442 0.0527701600849361 3 6 "GO:0000022;GO:0051231" "spindle elongation" 0.167651034903077
36 0.860507673588953 2 79 "GO:0000027" "ribosomal large subunit assembly" 0.93292163027246
-21 0.938591214306933 2 43 "GO:0000028" "ribosomal small subunit assembly" 0.968566183226915
-123 0.745809748350652 6 23 "GO:0000038" "very long-chain fatty acid metabolic process" 0.905125915251848
-429 0.564231480315862 6 6 "GO:0000041" "transition metal ion transport" 0.768108355180071
598 0.00134812822637101 2 97 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.00917081964518174
-83 0.763405172884908 5 44 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0015931;GO:0006913;GO:0051169" "nucleocytoplasmic transport" 0.908408146057027
-340 0.416822086695741 2 19 "GO:0000055" "ribosomal large subunit export from nucleus" 0.670748623051716
347 0.64092266878232 2 6 "GO:0000056" "ribosomal small subunit export from nucleus" 0.830672463869752
-73 0.759843944156029 4 58 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "sister chromatid segregation" 0.908408146057027
1054 0.011792408691271 3 19 "GO:0000076" "DNA replication checkpoint" 0.053479607836729
666 0.0196002632045745 6 41 "GO:0000077" "DNA damage checkpoint" 0.0791666880997267
552 0.0216588245832138 6 58 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.0835642709665786
49 0.793588821314123 5 97 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.908408146057027
437 0.251321738000412 3 23 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.489793457351117
614 0.00160955510215974 3 89 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.0106684613822639
-727 0.0912349931661053 2 18 "GO:0000096" "sulfur amino acid metabolic process" 0.241889699830136
-2334 0.00171143768330562 2 6 "GO:0000097" "sulfur amino acid biosynthetic process" 0.0112001681299874
-1159 0.0138609880228761 3 15 "GO:0000103" "sulfate assimilation" 0.0597177567318912
-1317 3.10384460279376e-09 2 68 "GO:0000105;GO:0006547" "histidine metabolic process" 1.00292978727773e-07
286 0.328919677903976 3 39 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of mitotic spindle orientation" 0.586384391297778
-521 0.117993579469912 3 30 "GO:0000154" "rRNA modification" 0.293587641092559
-2009 3.51155071538664e-23 4 82 "GO:0000160" "phosphorelay signal transduction system" 6.05157239951631e-21
-1709 7.17427176530612e-06 5 23 "GO:0000162;GO:0006568;GO:0009073;GO:0046219;GO:0006586;GO:0009072;GO:0042435;GO:0042430" "aromatic amino acid family metabolic process" 0.000127899948367699
45 0.783000411491523 2 128 "GO:0000165" "MAPK cascade" 0.908408146057027
-630 0.439693624644083 6 5 "GO:0000183;GO:0031507;GO:0006338;GO:0031497;GO:0070828;GO:0097549;GO:0006333;GO:0034401" "heterochromatin assembly" 0.68857874083497
228 0.244777383013789 6 88 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.486730411608188
2243 0.00257867445286304 2 6 "GO:0000185" "activation of MAPKKK activity" 0.0153238470359792
426 0.217091455799992 3 28 "GO:0000186" "activation of MAPKK activity" 0.452565655841112
727 0.000985611246794904 7 69 "GO:0000187;GO:0043406;GO:0043410;GO:0071902;GO:1902533;GO:0009967" "positive regulation of signal transduction" 0.00688595965666169
452 0.268538923202513 8 20 "GO:0000188;GO:0043407;GO:0043409;GO:0071901;GO:1902532;GO:0006469;GO:0033673;GO:0051348;GO:0043086;GO:0044092" "inactivation of MAPK activity" 0.510421409175365
81 0.545550973779032 3 193 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.76229690119935
108 0.884525678428728 3 6 "GO:0000212;GO:0007051" "meiotic spindle organization" 0.937089704400927
540 1.38881146672502e-05 2 223 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.000219732151805981
548 0.168822974063082 8 21 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.38224588028026
277 0.422947874496827 2 28 "GO:0000245" "spliceosomal complex assembly" 0.670748623051716
669 0.368964487980935 4 6 "GO:0000256;GO:0000255;GO:0043605" "cellular amide catabolic process" 0.623720649876914
265 0.459078763938261 2 26 "GO:0000266;GO:0048285" "organelle fission" 0.704284038445344
-1753 0.00653459937489686 4 8 "GO:0000270;GO:0030203;GO:0006022" "peptidoglycan metabolic process" 0.032484498815593
-1206 2.41510944957388e-05 3 41 "GO:0000271" "polysaccharide biosynthetic process" 0.000346836551508249
-1606 5.51979518955171e-05 2 21 "GO:0000272" "polysaccharide catabolic process" 0.000663659096046101
