Accession_ID,log2FoldChange
Q9VEV4,3.03153095028035
O15042,-1.27394723801532
Q80YR6,-0.781192213245521
Q9P1W8,-0.823488631821369
Q4KTY1,-1.19198875231844
Q6GQ33,-0.611489592257532
P18716,-0.717780828688855
Q6A070,-0.972930174622901
Q0P5C2,-2.96566621135922
Q5QUN8,1.69537417471969
Q9Y2H8,-0.861828389618183
Q9Y2H8,-0.861828389618183
Q9UJW2,-1.31285621816392
Q9UR07,1.50772104384219
Q0P3Z2,-1.1871538982784
Q9WTR7,-1.76565301513253
D5QVH0,NA
Q8L796,0.971185327663411
Q9UBH6,-1.14157041600498
Q96SE7,0.126042091652842
A5VAK5,NA
Q80WW9,-1.41111451740341
Q8R003,5.13773671628042
Q51391,2.53907192835693
Q9ULJ7,-3.8604633375074
Q2HJE4,-1.15022203970603
P83099,-1.11935891106274
O60103,1.17571130200523
P17248,-0.784789723540597
P38606,-0.275808781564577
Q9SS17,1.60631759545091
Q4V8U5,-0.124394171875776
Q5ZJ01,1.1819866128038
Q9FIX3,-5.30436827698316
O13755,1.36992850524705
Q9JHS4,-0.150427849853516
Q9Y6Q6,-0.513495891033748
Q0VGW6,1.27490316602238
Q7SY48,-0.137288876040534
Q9P203,0.902575369934159
P40371,-4.29047476288132
Q803S3,-0.285175371127249
O75170,-1.65468577844936
Q500V2,0
Q69TY4,-0.359257231830862
Q55168,0.927214076191857
Q2F637,-0.568525529089564
P62866,-0.0011935613226959
Q2NCA3,1.15058807658791
Q8NCG7,3.40295826291416
Q5F359,-2.02913926823419
A0A126GUP6,2.87534094432343
Q3UVX5,3.32936774344046
Q3UVX5,3.32936774344046
Q8GYD2,NA
Q6P5L8,2.71568047278427
Q9U1M8,-0.861828389618183
Q6FLF3,-2.7159626159363
O49636,-0.523464958889594
Q8XVC3,-0.3193451310545
Q801E2,1.07911629090749
Q9Z273,NA
P10810,-1.00764967834518
O46043,-4.09219675734328
Q12972,-1.80447836138275
P18431,-3.20257132088122
Q08CH7,-3.28079644413567
Q8BY87,-2.11184036653249
B7J7X8,1.62775879669421
Q8H166,0
Q9ULJ7,1.16826601018873
Q27975,-2.36450734609192
Q5H9R7,-1.67528354400956
B3FHT4,-6.00627929157273
Q3U4G3,-4.19431909723406
Q14588,-0.376093468536517
O66114,-0.844151996326973
O06179,-2.35192187775895
Q887Z4,-22.08763918429
Q8NF91,-0.671152984300196
A9IJ27,0
P0A9Y1,NA
Q1RMH8,-4.30242052653257
Q9SIC9,NA
Q5E9N4,0.752452537569167
Q9Z3R8,-1.08232554443146
Q8WYQ5,2.85508839880436
P09379,0
Q6U7I1,-3.47231716240019
P46953,4.89996123237017
Q14C86,-1.08131280788328
O00370,-0.236505929300603
Q9Y6I9,-1.35759006411871
O29445,0.925509314709813
Q1GVJ2,-0.861828389618182
Q2QL83,3.04105221309736
Q9W5N0,0.412827818589755
Q2G607,3.41305945466524
Q58DW3,-2.34220989433581
Q9DD48,1.80520910958745
Q9NJU9,0.334551490859218
Q9CPW2,-0.769464878036223
P28040,-8.40312030364889
Q9ESP7,-0.978760674570324
O17502,-3.07087809317493
O17502,-3.07087809317493
