Accession_ID,pvalue
Q92785,0.410446000960904
Q54KA7,NA
Q8K448,NA
Q8N3R9,NA
Q80VW5,0.849989505670692
Q52944,NA
P21522,0.554967849363098
Q9Y291,0.334305978454673
O88673,0.83647904531215
O88673,0.83647904531215
Q69QZ0,NA
O95236,0.786876773595827
Q5NDE5,0.36914854915033
Q3MHN0,0.0980967758153097
Q3ZBG9,0.343113346069264
Q13137,0.598108216953079
Q5S3I2,NA
Q6VNB8,NA
Q9SAH5,NA
Q75C39,0.336784120028871
P36362,0.790671502693027
Q08647,NA
Q7SDV9,0.46638364735182
Q9Y6I4,0.196559981247738
Q9USQ7,0.4982658419424
O16797,0.784448805960442
P27189,0.121455986175566
Q96CN4,0.274543484249041
P24557,NA
Q9Y253,0.624986926726716
Q9VUL9,0.788009817381705
Q9NWV8,0.823210404607348
Q5HGK2,0.872158618290317
F6SDF8,0.107790547176682
Q28G26,0.586629279287064
Q9Z1Z3,0.346565867713951
Q9VL78,NA
Q48815,0.367386550602102
P62998,0.843110350323798
P55258,NA
Q9Z0Y1,0.797507830120509
Q6PIW4,0.495105017487397
Q99LB7,0.912711914744596
Q6YKA8,NA
C0KJQ4,0.420998659097594
Q02440,0.34261259392692
Q02440,0.34261259392692
A4Z945,0.787773745514967
Q9A6U9,NA
Q8BL74,0.976525446719076
O60343,NA
Q5ZIG3,0.963898475031534
Q7WTR3,0.308086854843728
Q2G9D9,0.322814415796995
Q9UHV7,0.841116786342196
P52824,0.788009817381705
Q8VWG7,NA
Q91738,0.759136752257463
P9WMR0,NA
A6QR20,0.133761109628513
Q5PQA4,NA
Q8NFD2,NA
Q2G8Y4,NA
Q9HVW0,NA
Q9NVE7,0.874476338998663
Q6P1B1,NA
Q6P1B1,NA
P15533,NA
Q9H0L4,NA
Q99JG2,0.516513288505057
Q8L7B2,NA
Q9VCA8,NA
P67664,NA
P0AGD9,0.0669607854787728
Q8TAD8,NA
Q9D131,0.788009817381705
Q0VD53,0.81508932946188
A1L1W9,0.0555442369123214
O43837,0.668916569580601
Q801X6,NA
O96020,0.852915833072911
Q15633,NA
Q15633,NA
P51133,0.971834839034379
P74981,NA
Q8TAP6,0.976316889658161
B6SHG7,0.13815443464942
P13804,0.582512814259132
P54122,0.173041971145482
O94481,NA
Q9VN27,0.399193544232661
A0A0A6YYC5,0.367386550602102
P0A9H8,NA
B1VSG4,0.144621531005483
P38942,0.404170033830246
Q08473,0.841116786342196
Q9NXW2,0.985663277783852
Q8SQP4,NA
Q9I472,NA
Q14789,0.998792062177036
Q5ZIJ0,0.479719438146359
Q4P0P0,NA
Q61686,0.860466177417838
Q9DCS2,0.111262765621796
