Accession_ID,log2FoldChange
P54611,NA
Q4L6D9,3.10461604239015
P11586,NA
Q9QYP1,5.05846847271995
Q58DK7,3.10461604239015
O42783,NA
Q9FGZ9,NA
Q8KHZ8,2.59747160804811
Q9ZV43,NA
Q45831,NA
Q96S06,NA
P30414,-1.87550280267193
Q9NXE4,NA
Q54YZ9,-1.49251483065
Q9WVG6,1.61136611417221
Q9U2X0,NA
Q9NXP7,NA
Q5ZKG3,3.90496613983553
Q9UGN5,NA
B0FWD1,-1.06099151212941
Q6H7E4,NA
Q6P3R8,NA
P53804,NA
O95619,0.64959344195858
A5WWA0,NA
P25698,NA
Q4KMP7,-4.57139227644598
Q08ER8,NA
Q9GKW3,5.21856270802753
Q27294,5.82918480503642
Q9H497,-5.79306237655921
A6NDG6,-2.77546798207588
Q502I9,NA
Q8BZT9,-0.312187237470278
O75179,NA
Q99666,NA
Q5VW32,NA
Q8K296,-1.6546414903438
Q08DD1,4.15725357237168
O01789,NA
Q63HN8,NA
Q99LS3,3.55380178353919
Q969Z4,NA
P12955,1.61136611417221
Q8VEG4,NA
P53634,1.1980180614048
Q9C658,NA
P21872,NA
Q9H1I8,1.61136611417221
P48634,NA
P03018,NA
P9WI78,-0.312187237470278
Q6PCS4,NA
I2C092,2.92331823954224
Q6P360,-1.98128700393605
Q92828,1.61136611417221
Q9Y2H8,NA
Q8TGM7,-1.11862767397762
C0MGC7,1.61136611417221
Q54JE4,1.61136611417221
Q8IYN0,2.54730432646851
Q9UIQ6,0.649593441958579
Q29RN6,0.738445199061795
O28058,NA
Q69QZ0,NA
Q8PET9,-0.691672143291094
Q92830,-0.312187237470278
Q49AA0,0.18927251040537
P54856,NA
O75874,2.70975069384822
Q8WZ73,2.54730432646851
P11283,-1.32268970600181
P48441,1.61136611417221
Q9Y2I7,3.51926295252164
Q9Y2I7,3.51926295252164
Q9BVJ6,NA
P49721,NA
P83291,NA
Q96A25,NA
O34442,NA
Q6LLU3,NA
Q6N1B4,NA
Q9VFS5,5.98999553066275
O00782,NA
Q3SX41,NA
Q9UKA9,NA
P51111,NA
Q5R4T9,6.47191897597628
Q92636,2.18656038218802
Q5ZLC5,-2.05991326687386
Q5ZLC5,-2.05991326687386
Q96MU6,0.131113669859299
Q53PN2,NA
Q9Y2H8,NA
Q7WUL3,3.08572430580697
Q6NQ83,NA
Q5R2J2,7.19001778725877
Q3B7I8,3.51926295252164
P70404,0.107258067801315
