Accession_ID,log2FoldChange
O14931,-2.17821727377855
O00370,NA
Q9CQF9,-1.13896876668225
P70549,-5.30223504411438
P49916,-2.35265323518333
Q8K4K1,-3.89387494866573
Q9GK13,0.253303741423586
Q8VHE6,NA
C0LGV0,NA
Q9SXD9,0.0791130259545986
Q9SXD9,0.0791130259545986
O35166,-0.214891521579735
Q9BY84,0.420972424716211
Q5TEJ8,0.640481478653914
O75586,NA
Q9WUI9,NA
Q2G997,4.37705165411544
P70920,1.79392752174801
A0Q8C4,NA
Q8R3N1,-5.96197575343163
Q5G5C4,-0.868471798760242
Q96RT8,0.901862595555381
Q558K8,NA
P18847,-1.01498212023474
C0KJQ4,0.850649502995124
P00765,-1.65106494124863
P45780,NA
P87207,-1.04100119497003
P27797,-2.17114838733548
Q2EI20,3.04571964115631
Q2G493,-1.70795852230388
Q8QG61,-0.0568574419158958
Q61FA3,-4.43456865430745
O35130,-5.15029531575448
Q9V579,NA
Q9UQ07,-3.65383976647582
Q9DBE9,-0.540812427078859
P17987,-2.14736264758297
P34257,1.07284512384101
P23074,-4.14614217687157
Q9VT65,0.763620575686647
Q1PEY5,0.901862595555381
D0C9N6,NA
A1SMR4,NA
Q9NVU0,-1.88436825700917
P05303,-1.03346757864191
Q9CQ62,-0.540812427078859
Q5EAC6,0.148322266683744
Q9BXN2,NA
Q3MIX3,-0.540812427078859
Q9BWT3,1.47602331656272
P0AE13,4.51292590248725
Q11207,NA
Q80UY1,-3.20496663045902
Q8VWF5,-1.13896876668225
P55614,NA
P02518,4.85061811702592
P53683,NA
O15439,1.54974202205653
Q2TBW2,0.75236713617785
A7MB47,-1.12748997561751
Q921I9,-1.04099513028556
Q86X10,-1.03346757864191
P43450,5.306352446522
Q87K77,-0.540812427078859
Q9Z0P5,-2.58422219945861
P52175,0.901862595555381
A9BQY2,0.860571027999605
P50215,-3.86481255712983
B1ZJ42,-1.13896876668225
O32210,-4.43672190744451
Q00593,-2.46282043261826
Q8BTM8,1.31303701650231
Q05045,-6.38072745496106
P97874,-5.46154664307589
Q09727,-8.01665919712744
Q09727,-8.01665919712744
O42161,-2.25901982508375
Q92902,0.837922569573602
Q92902,0.837922569573602
Q9NQT8,-1.13896876668225
Q5RAJ5,-6.02589328232892
A4IHD2,-3.70336811984208
A4IHD2,-3.70336811984208
Q9Y3C0,-0.0269209326291408
P67936,-1.73660824566772
Q4R6I1,2.46461658141407
Q9JIF0,-1.03861271862354
Q13162,0.808320128652767
Q9H6R0,2.90163936820629
Q32LP2,1.20994151602563
Q9P2S5,-1.53108401437729
A4UHC0,-6.72068042147792
O62653,4.0536586617679
Q5R587,-1.65607348625275
O95347,-0.688038838874388
Q86A72,-3.65665776639999
Q9HBH1,1.49472530241648
Q9CX99,-1.09774731664745
Q05652,0.0262249322910339
O97531,-3.51526201903771
O14045,NA
Q89KP9,-1.44036227922175
Q9Z0W3,0.901862595555381
Q8WZ42,-0.540812427078859
Q8WZ42,-0.540812427078859
Q7Z769,-0.54081242707886
P35402,-5.08002400525939
Q8TCP9,NA
Q8IYN0,NA
Q7ZVE0,NA
Q2KJI7,0.0649623738976249
Q9YHB5,-0.608996041490326
Q08B12,0.236586647354785
Q4WH97,-2.88562137822882
B3H6K1,-3.73638150742774
Q9LPX2,-2.53321444317778
Q9LPX2,-2.53321444317778
Q8BWQ5,NA
Q8R2T8,NA
Q16594,0.400812863428039
Q3U3R4,NA
Q9LSQ2,-2.36359189448571
Q05397,NA
Q7PY41,1.79392752174801
Q9H269,1.10806335587477
Q02833,-2.1778823484193
P17133,-3.94354666218333
Q6QNL9,-6.40481850058131
P10577,-0.07782183601947
Q6DG22,-0.991595602126409
Q9NVM9,NA
Q99081,0.55282494426315
Q9R1I1,-1.78887091338592
Q9Z183,-1.14042792222885
Q6AF87,NA
O94383,-5.38298965082803
A2XUW1,-4.36496937053353
Q5RA02,0.581040087394463
A7FX96,NA
Q8TD26,0.993872430286838
A6QLT2,NA
O53901,NA
Q9H583,NA
Q9FUQ6,1.79392752174801
Q5XIE6,-1.0764690898282
P10987,-1.16687042576286
P21329,-0.846336739112312
Q9I6M5,NA
Q8RUF8,-2.20667279035773
P70336,-2.46282043261826
P32959,2.37829354590719
O28058,-0.54081242707886
H6VGI3,-0.540812427078859
Q66J69,-0.149688654719796
A9X4T1,1.81391573348818
Q13144,0.843297783143403
Q9CQ92,-1.27579490523375
B1Y7P2,NA
Q5ZIG2,1.92374607226404
G3V909,-3.86481255712983
G3V909,-3.86481255712983
F7E235,-3.19405970224091
P58114,0.84855936379038
Q8R4H2,2.03095944640531
Q80XP9,-0.949608548555476
Q8BSP2,-1.59958657562707
Q9NFZ3,-4.78687660688604
Q9NFZ3,-4.78687660688604
Q6DDF0,NA
P0DPA1,-3.6636905249243
Q9W4E2,1.88517538012976
B8A4F0,1.47805134795092
Q9P6J2,1.50645254513275
Q15022,-0.0545034443553557
P50882,-1.70212515269962
Q8N8A6,-2.44784408878199
G5EBQ8,-7.32684747664809
P33160,-2.08578389945808
Q51732,-7.01818988763796
P55630,NA
B5TTX7,-2.63293752988036
Q8W4I9,NA
Q98930,-3.4198707928789
Q8SRY1,NA
O34472,1.31306142500983
A8WVX8,-3.85935627641377
Q9M7N0,-4.11631397017259
O00370,-0.133465564117206
P10987,-1.06658775082199
O00909,-0.540812427078859
P32157,4.85244794946372
Q2T9M4,-0.54081242707886
O75157,NA
Q8K0H7,2.625604122326
O75943,0.735476829919894
F8J2D3,-1.13896876668225
Q8XGZ0,3.96217792652209
P45447,0.901862595555381
Q7NJY2,1.47445571171999
Q9LZQ9,-5.43406367506251
Q8NDT2,-1.01636518681201
Q9CQ18,1.79392752174801
Q9H3S3,-3.53759914897049
Q8N7I0,-1.01636434038174
Q03141,1.09870041812278
O95214,-1.27793142214572
Q9HCG1,-0.991595602126409
Q552J0,-5.76461971040036
M9MSG8,NA
Q9ULT0,-1.09775368051487
Q921S7,-1.88436825700917
Q9D1G5,4.6413480001517
P52732,NA
Q9Y276,0.0494842891618563
Q6P161,0.3225966516204
B0FWD1,-0.540812427078859
P20618,-1.40922012540805
Q9VYN8,-0.409400557909194
Q8BXR9,0.420972424716211
Q9H3U5,NA
P89116,0.483741428610855
Q1RMT8,-2.41503838983686
Q9BY44,2.37829354590719
Q9LEU4,-1.31755344574924
P11390,NA
Q71RS6,-4.3395567340003
Q9LT96,NA
Q80YR2,0.236586647354785
Q9BXL7,0.858415238418616
Q9BV81,0.0572482779194673
Q4VRV8,-4.72878283493438
Q8WYA0,4.79196072097121
Q1BV70,3.11465764331082
P21775,-0.54081242707886
Q5VZI3,-0.54081242707886
Q9VUX2,-4.38165584488361
Q8N2A0,0.420972299116989
Q8XYN6,4.01202308797698
P91660,3.1910529448366
Q9NVG8,NA
P14866,-0.54081242707886
Q81LW0,-3.25925933777011
Q92896,-1.38869205350588
Q96MD7,-2.72887254645472
Q680P8,-4.85640306045665
B7ZMP1,3.04571964115631
Q80UF4,0.901862595555381
A8I1Q0,NA
Q9NB71,-2.03994473187881
Q9GRW0,-0.991595602126409
A2ASS6,-4.70637244859132
Q9UBS5,NA
A9CHH2,-2.46282043261826
Q64380,NA
P58720,NA
Q8NB50,0.54941751107461
Q53TZ2,NA
Q5RB73,0.215772935386647
Q12980,-1.13896876668225
Q0E959,-0.424161945291928
Q02525,-1.13896876668225
Q86WA6,-1.37035616206777
Q93ZE9,-3.90841102738338
Q8NDW4,-0.54081242707886
D8VNS7,2.31208751365815
Q3EAF9,-5.0467874029453
Q4KL91,0.901862595555381
Q9UII4,-0.54081242707886
Q6AZT7,-6.01811508407616
P13667,-2.70573225245116
Q6EV23,-0.491694098979389
D8VNS8,1.5465443638264
P00919,-2.6974255994699
P20020,-1.13896876668225
B0UQR1,NA
Q23551,0.347277955879035
P55039,0.420972255890949
Q02086,-0.540812427078859
Q94636,-1.99470928447221
O46504,-5.654567756932
Q86T29,0.901862595555381
P55293,2.37829354590719
P02993,-1.76081317994967
Q5R7W2,0.43853766270513
Q9H063,-5.3297444686035
P18600,-4.7609418383
Q0BQE8,NA
Q9VXD9,1.48549135919604
Q9VCX1,-0.54081242707886
Q1GNC2,NA
O99256,-6.23018930547227
Q8NHX9,NA
Q9I310,2.20138038049269
P33121,-0.54081242707886
Q7KVW5,0.420972424716211
P55757,2.88311755963292
Q8CHP6,-0.54081242707886
Q9FQ25,-4.76719542088473
Q94AA9,-1.62052795488681
Q03250,-5.30393143981048
Q9UNK9,-2.68288252452169
Q2N9P7,1.31449239479054
Q07065,0.901862595555381
Q8BX57,NA
Q4KLF3,0.228011451723651
O95218,-3.43074533377707
Q9VVH9,8.26119891015091
A1TFL3,2.37829354590719
Q6NTZ6,-3.96294573310885
Q8IZN3,-0.0308583070413738
Q8TKM8,1.79392752174801
Q1HPU2,2.48265370387768
Q84ND9,0.420972357487623
P0DMK6,3.63323352797227
P13501,-1.53501762100228
Q6UX73,0.477824801926792
Q9W3M3,1.31303701650231
Q9ULJ7,NA
Q48IV1,3.13602342104034
Q675A5,-0.147127791589209
P10787,-5.34859168792141
Q9Y2W6,NA
P53985,-1.13896876668225
P09867,NA
O97508,-4.13801013849433
B4GF83,-1.57136589729914
Q6FSC1,-4.59700973252382
A0A096LPI5,1.23933674520185
A0A096LPI5,1.23933674520185
Q84TG3,NA
O00409,-0.378373585659544
P53368,-3.45576511706835
Q26061,-0.253777113529412
Q5RBD5,-0.286184374273894
Q9Y333,-2.65066955913736
Q9HX48,NA
Q9HX48,NA
Q6AAZ9,NA
A6NN14,1.72796185349048
Q10L32,-3.45343608058535
Q1LUS8,-2.46282043261826
Q2SHM3,-3.65784685755262
Q9JHF7,-1.19950622177592
Q6P1J9,0.215219530556076
Q9X448,-0.133835684299512
Q6AB89,3.96217792652209
Q6NY98,-7.48470196252061
Q9C0C7,2.56462473096063
Q9VJ38,-0.285814608232164
P62784,-2.81117815009694
P80096,-3.08472771892448
Q9Y4C1,-0.54081242707886
Q92887,1.43656540955166
Q9H611,5.4367294267241
Q1GPB6,-0.54081242707886
