Accession_ID,log2FoldChange
Q5TFE4,0.296228382630879
Q8CIQ6,4.59061596203082
Q00986,-0.892487341043601
Q6AB49,-0.97158908717524
P51566,-2.16383415898941
Q5THJ4,NA
Q99832,-1.16632939114267
Q9VCA8,NA
P11584,2.21152470968435
Q6PDQ2,0.308785430908485
Q86U02,NA
Q9NIV1,-5.66569855905714
Q8Y219,-0.986757389721918
Q8BMS4,1.23723678410239
P24394,-0.156045645509082
A2A8Z1,-0.0916834163230115
A4GDU0,-2.54641182350384
Q9S660,-4.38079108332509
P43403,-1.46818433481889
P43403,-1.46818433481889
O75179,-4.59998062436673
Q659A1,0.308785430908485
Q06AU2,-0.670547485235342
O15067,-0.699953111708093
Q98989,2.64412354833169
Q9BRV3,0.0292379522571289
Q9BRV3,0.0292379522571289
P04083,0.308785430908485
Q9QXV3,-1.26836630993648
Q5VWP2,0.789676771473894
P62333,-6.59766880276634
O95319,0.450591769498683
B9M9U5,-22.1017039985319
P0CS69,-5.52964562871164
Q2N8X0,-1.77653573195163
P97608,-0.286108336809
Q09747,NA
Q0ICH2,-4.29755344988607
Q06732,-0.699953111708093
P22881,NA
Q7XC35,-4.34246004368849
Q96G21,NA
Q9FWW9,2.03212866385021
Q9Y5L4,-1.08964207853824
Q5M843,3.74271395514752
Q12996,-0.638043568783149
Q00168,1.92260076786707
Q0VGW4,NA
Q6ACB0,4.50284391746755
Q2T9Z5,-2.26796241560377
Q9BR01,-1.44635035382308
P0ABX7,0.587435168015446
Q8H0T4,-3.36269773040849
P01602,-0.699953111708093
P70168,2.7868968403042
Q8BZH1,NA
P51610,1.29799623360552
P51610,1.29799623360552
O76484,0.486510887112925
O76484,0.486510887112925
Q01061,-5.04186610920878
O35114,-0.909727930994624
O35114,-0.909727930994624
Q5XPI3,1.26865287816927
Q5XPI3,1.26865287816927
Q766Z3,NA
Q6A7K4,-21.8939981615927
Q6IVW0,-4.73417861945587
P04146,NA
Q9UQ07,-2.60376157432078
Q9V410,-7.88297412151102
D3YXG0,-0.172108245119002
Q9Y678,0.246432216260168
Q93ZN9,-2.3286666395567
Q92536,-0.157338384697776
Q8WWB7,-0.217951069787179
P35182,NA
Q82P90,-1.02105260284023
Q18411,NA
Q59754,NA
Q9BTD8,0.236807377396827
Q8IYH5,0.308785430908485
O14777,-0.321105786539035
Q9HU19,-2.58399726369583
Q6AY20,NA
A5GFS8,-2.0223917635964
Q0KHQ5,2.69693747666516
Q9UTL4,-5.02870941097691
Q96RQ3,1.5558109465416
Q99NB8,0.308785430908485
P41226,-0.543523245152811
P61135,-4.22664807960443
Q13564,-1.74057046654282
Q54JH4,-3.47105334733968
P0A9Y8,-9.17745574939616
P41824,0.308785430908485
P36241,1.65311978446874
Q15544,-1.39558354804162
P01850,1.73515837560007
Q11180,-2.23977267398452
Q9UM54,0.789676771473894
Q9BXW9,3.17615161718352
Q5SRX1,0.296836937659366
Q17RR3,NA
P10076,0.786218047829895
O93400,-1.09329217117416
P10987,0.145936847770777
Q8CIZ5,-2.23165806300929
Q03936,-0.172108245119002
Q03936,-0.172108245119002
Q7YU24,0.0215591088325089
Q9FN03,NA
Q6A9H7,1.1359715519316
P64183,-2.49936681456451
Q7XQ88,NA
A7MBP4,-6.11157701688004
Q29M42,-0.5244494469902
Q8BTI7,-6.04390760909919
O76840,0.762057924431566
O88554,NA
Q14C86,0.25590288274708
Q7T163,-3.45305412524546
Q5VV43,0.386561217605303
P01122,NA
Q9D240,-0.638043568783149
P94474,-4.38079108332509
P20671,-0.670547485235342
P15372,-2.56872624740219
Q8BJ25,-0.887043551995918
Q6PAM1,0.789676771473894
O19105,NA
O43001,-1.6966705185057
Q23551,2.78053773300976
Q8IS64,-0.157288367577334
Q9V3P0,3.99095705104639
P21328,NA
O01404,0.0259796281141822
Q9VTH4,3.1592046225326
O75437,0.497255758156168
Q54MZ3,-0.92963231888778
P49530,-4.37270458402847
Q6IV76,1.13321486213004
Q6IV76,1.13321486213004
P41838,NA
P31695,-0.602652624528435
Q6AYB3,-2.0223917635964
Q923Q2,-0.909727930994624
B2U9Y5,-4.75236773369543
K7LC65,-4.94504832721553
Q803W1,NA
Q5ZID6,-1.46818433481889
Q8FJN9,-2.07315437396576
P79384,1.8502870895175
Q64380,-3.80711749643145
Q9VVE5,0.960553439968374
Q0QWS4,-7.58979335010738
Q9JLQ2,0.0457196798352361
Q9VIE6,NA
Q6UX65,-0.999571409799653
P04323,-0.172108245119002
Q9Z1G4,-3.1910512327369
Q9LKU8,-0.172108245119002
P20825,-2.45721191498415
A1A5F2,-2.46392343368822
Q9NR09,-0.559039928178201
P0CP97,-5.11201725070876
Q8W4I9,-4.22898487739813
Q8VZH2,NA
P29944,-2.35352451246087
Q6QEJ7,0.132474543841273
Q71G51,-4.89336775215336
Q8TCF1,3.86227707782441
Q7Z7L1,0.290786960586362
Q9FLL3,NA
Q9I576,0.308785430908485
Q9P429,-4.05545587841432
P04323,-1.31950988778472
P17019,1.5420269971249
P41689,1.11440489490946
Q8WXS8,-4.691456452808
Q9BT17,0.308785430908485
Q9H2U1,-0.898960713633927
O04376,-3.03276764639148
Q8NEW0,-0.172108245119002
Q9NUB1,1.45336831930981
P35605,-0.172108245119002
Q9Y289,-2.83841580531872
Q03164,0.789676771473894
A6QR31,2.92860741110122
Q0KIA2,0.220559855276729
P08537,NA
Q6ZT07,0.0979477900441405
B3EWZ3,NA
Q9QX72,-1.06791584724375
Q28G87,-2.84835446720695
Q54I18,-0.602652624528435
Q1L8G6,-0.274859734064192
Q8RWI9,-1.33895593264821
Q8WUX1,-0.578812863877521
P57075,0.479213132180272
Q99767,-0.602652624528435
P15078,-0.102800567974435
P53355,0.590838599357846
P53355,0.590838599357846
P53355,0.590838599357846
E7F211,3.12062541773993
Q8TCP9,3.39111705054695
P34120,-4.9185752319031
Q5ZLK1,3.77238128404474
Q6GPN6,NA
O64730,-21.4961505282675
Q9NX07,0.493923570855898
Q9BVW5,-1.54871758403693
Q28CE7,0.518179077110767
Q9M367,-21.1108479619908
P19199,-2.06062159516728
Q6A7F0,-6.22040059931006
Q3T160,1.29799623360552
Q9T0M8,0.392614191665127
P0A5Z7,-3.45187864527833
P40979,NA
Q8L5Y6,-2.3529141899859
Q6R2W3,-2.66826144677619
