Accession_ID,pvalue
O14931,0.401226988235299
O00370,NA
Q9CQF9,0.746623354530601
P70549,0.0717600402034126
P49916,NA
Q8K4K1,0.179655899851359
Q9GK13,0.912880982239963
Q8VHE6,NA
C0LGV0,NA
Q9SXD9,NA
Q9SXD9,NA
O35166,0.923868365782883
Q9BY84,0.904579678004925
Q5TEJ8,0.841435454737746
O75586,NA
Q9WUI9,NA
Q2G997,0.192417034402251
P70920,0.606826465211312
A0Q8C4,NA
Q8R3N1,0.0830629040290243
Q5G5C4,0.6848273171392
Q96RT8,0.798561566150744
Q558K8,NA
P18847,0.773638471837544
C0KJQ4,0.772085935855909
P00765,0.638016113511622
P45780,NA
P87207,0.767948546144459
P27797,0.451623390181859
Q2EI20,0.37000232281979
Q2G493,0.610492307779848
Q8QG61,0.984272930794468
Q61FA3,NA
O35130,0.134811287466326
Q9V579,NA
Q9UQ07,0.291159400166624
Q9DBE9,0.878367407357213
P17987,0.256400874348507
P34257,0.747775414257623
P23074,0.229956967925515
Q9VT65,0.707441642635153
Q1PEY5,0.798561566150744
D0C9N6,NA
A1SMR4,NA
Q9NVU0,0.562633432544054
P05303,0.769594936063453
Q9CQ62,0.878367407357213
Q5EAC6,0.943043935970022
Q9BXN2,NA
Q3MIX3,0.878367407357213
Q9BWT3,0.63227061963901
P0AE13,0.129173830935233
Q11207,NA
Q80UY1,0.350297144912171
Q8VWF5,0.746623354530601
P55614,NA
P02518,0.119629460636615
P53683,NA
O15439,0.652892853542402
Q2TBW2,0.683897493697343
A7MB47,0.682624299789483
Q921I9,0.767824943554216
Q86X10,0.769594936063453
P43450,0.112719277116509
Q87K77,0.878367407357213
Q9Z0P5,0.379616929750738
P52175,0.798561566150744
A9BQY2,NA
P50215,0.26369832642117
B1ZJ42,0.746623354530601
O32210,0.198476846171506
Q00593,0.479772304301914
Q8BTM8,0.70642643939591
Q05045,0.0472035475181755
P97874,0.0665767224605519
Q09727,0.00885131880025476
Q09727,0.00885131880025476
O42161,0.477792358887929
Q92902,0.792576840586719
Q92902,0.792576840586719
Q9NQT8,0.746623354530601
Q5RAJ5,0.0611045467556458
A4IHD2,0.28454492665472
A4IHD2,0.28454492665472
Q9Y3C0,0.989725217468359
P67936,0.395392805671964
Q4R6I1,0.472361361510204
Q9JIF0,0.597882219658733
Q13162,0.765494874810459
Q9H6R0,0.348013642503986
Q32LP2,0.712124845668735
Q9P2S5,0.607572819073376
A4UHC0,0.0397335308935049
O62653,0.228280685832487
Q5R587,0.636982555264301
O95347,0.814900485359576
Q86A72,0.287403195761508
Q9HBH1,0.539437870972624
Q9CX99,0.755532672085328
Q05652,0.991131392196212
O97531,0.310215099700865
O14045,NA
Q89KP9,0.682068862719558
Q9Z0W3,0.798561566150744
Q8WZ42,0.878367407357213
Q8WZ42,0.878367407357213
Q7Z769,0.878367407357213
P35402,0.0477971125065599
Q8TCP9,NA
Q8IYN0,NA
Q7ZVE0,NA
Q2KJI7,0.969424453676282
Q9YHB5,0.859345022286315
Q08B12,0.945045047473307
Q4WH97,0.406452705538707
B3H6K1,0.280193259690241
Q9LPX2,0.465502521146726
Q9LPX2,0.465502521146726
Q8BWQ5,NA
Q8R2T8,NA
Q16594,0.899007060683007
Q3U3R4,NA
Q9LSQ2,0.497959071251942
Q05397,NA
Q7PY41,0.606826465211312
Q9H269,0.568952330556754
Q02833,0.432183133085751
P17133,0.253926217185901
Q6QNL9,0.0505700957709212
P10577,0.981249336596279
Q6DG22,0.77874828908972
Q9NVM9,NA
Q99081,0.852976270414484
Q9R1I1,0.540143250344697
Q9Z183,0.540185156020253
Q6AF87,NA
O94383,0.0897262333737552
A2XUW1,0.165216465879965
Q5RA02,0.843328791355558
A7FX96,NA
Q8TD26,0.66117233996144
A6QLT2,NA
O53901,NA
Q9H583,NA
Q9FUQ6,0.606826465211312
Q5XIE6,0.760209590640802
P10987,NA
P21329,NA
Q9I6M5,NA
Q8RUF8,0.492712077878027
P70336,0.479772304301914
P32959,0.488764737916298
O28058,0.878367407357213
H6VGI3,0.878367407357213
Q66J69,0.954729939193811
A9X4T1,0.451243134764582
Q13144,0.776597390144547
Q9CQ92,0.551944568425692
B1Y7P2,NA
Q5ZIG2,0.415707209190158
G3V909,0.26369832642117
G3V909,0.26369832642117
F7E235,0.351414318770278
P58114,NA
Q8R4H2,0.557570540553058
Q80XP9,0.745988339241718
Q8BSP2,0.639653251228233
Q9NFZ3,0.0892288520585448
Q9NFZ3,0.0892288520585448
Q6DDF0,NA
P0DPA1,0.289155340113156
Q9W4E2,0.494234038700063
B8A4F0,0.634975435759585
Q9P6J2,0.645590158972446
Q15022,0.986886022470243
P50882,0.605330161213292
Q8N8A6,0.397532988332675
G5EBQ8,0.025187163509813
P33160,0.442929837651228
Q51732,0.0319383209378523
P55630,NA
B5TTX7,0.370453024908386
Q8W4I9,NA
Q98930,0.321679709333889
Q8SRY1,NA
O34472,0.704557441094831
A8WVX8,NA
Q9M7N0,0.143925048187953
O00370,0.967678289675857
P10987,0.646713116374122
O00909,0.878367407357213
P32157,0.131311422936892
Q2T9M4,0.878367407357213
O75157,NA
Q8K0H7,0.442568492541466
O75943,NA
F8J2D3,0.746623354530601
Q8XGZ0,0.239250572479966
P45447,0.798561566150744
Q7NJY2,0.619143006510512
Q9LZQ9,0.0867995187607687
Q8NDT2,0.773335755864409
Q9CQ18,0.606826465211312
Q9H3S3,0.244782348359626
Q8N7I0,0.773176971948428
Q03141,0.70174175789231
O95214,0.501065407093123
Q9HCG1,0.77874828908972
Q552J0,0.0704609386495493
M9MSG8,NA
Q9ULT0,0.755575266495023
Q921S7,0.562633432544054
Q9D1G5,0.166365829023544
P52732,NA
Q9Y276,0.986483157741022
Q6P161,0.886745495336661
B0FWD1,0.878367407357213
P20618,0.434500725714595
Q9VYN8,0.897021040891996
Q8BXR9,0.904579678004925
Q9H3U5,NA
P89116,0.815889238039042
Q1RMT8,0.488485066974172
Q9BY44,0.488764737916298
Q9LEU4,0.656332821413107
P11390,NA
Q71RS6,0.208629305087689
Q9LT96,NA
Q80YR2,0.945045047473307
Q9BXL7,0.773811610627405
Q9BV81,0.985768911709258
Q4VRV8,0.103451366743526
Q8WYA0,0.15277175031934
Q1BV70,0.358838833857701
P21775,0.878367407357213
Q5VZI3,0.878367407357213
Q9VUX2,0.204184883073779
Q8N2A0,0.90502358225892
Q8XYN6,NA
P91660,0.33640661360564
Q9NVG8,NA
P14866,0.878367407357213
