Accession_ID,pvalue
Q58DA8,0.200374818501294
Q9P2D7,NA
Q9LFP3,0.224238263663192
P11075,NA
Q3URY6,0.683577714148929
Q9LJD8,0.183642515455301
Q7TSP2,NA
Q9H892,0.158885459818493
P0C1I8,0.569755717312225
Q8LPJ4,0.436347907487727
Q8L796,0.22845943973458
Q8L796,0.22845943973458
Q8L796,0.22845943973458
Q8L796,0.22845943973458
Q8L796,0.22845943973458
Q5TYS5,0.134604161923366
Q8RXE7,0.108667393672983
Q9FKS0,0.241327290346434
Q5M9F5,NA
Q9VD92,NA
Q7K2X8,0.353762879724291
P26182,0.256980809860827
Q9HEH1,0.707766206170189
Q9LIS2,0.726415832906105
Q8H0V6,0.891411762579452
Q8H0V6,0.891411762579452
P27398,0.663965958334738
Q54ML1,0.355340175573574
P25323,0.120513584379353
O99256,NA
Q8TF62,NA
Q962P8,0.279725380486478
Q10190,0.0295798871003282
F4I3B3,0.346485886875972
P08991,NA
Q56YP2,0.0896758805981197
Q9R0I6,0.468799031066089
Q8UVY2,0.0532374091884496
Q09305,NA
Q9UHW9,0.510927756566464
Q2KJG8,NA
P62944,0.22353801997064
Q9VTC4,0.325090549118491
Q8TGM7,0.718432846515276
Q5UNW1,0.663965958334738
Q40532,NA
Q8TGM7,NA
Q54TA3,NA
Q24DE2,0.325090549118491
Q8IV36,0.327030171026742
B1YGW1,0.186411491196298
A7YWC4,NA
Q6ZXV5,NA
Q7SXP2,0.181225781756485
O49289,NA
Q2HJ74,0.510927756566464
A2Q848,0.160028261995867
A2Q848,0.160028261995867
O64642,0.663965958334738
Q86KD1,0.171069541481844
Q63486,NA
Q39055,0.165684622826071
A7KAL8,0.388401147187398
Q4Z015,NA
Q9C718,0.154801517888241
Q5RA75,0.24551043571945
P15121,0.468799031066089
Q8RXE7,0.158885459818493
Q05120,0.0463588391767424
Q9SHL7,0.235002877832768
Q5XH14,NA
Q867X0,0.253362165500297
Q552J0,0.535736192031767
Q6EQX3,0.510927756566464
Q45VK7,NA
Q54M20,0.734970857761899
A3LXL0,0.621819410803547
A3LXL0,0.621819410803547
P35687,0.492024321832272
Q8YTC2,0.123507091714497
Q8YTC2,0.123507091714497
Q8YTC2,0.123507091714497
Q8YTC2,0.123507091714497
Q8YTC2,0.123507091714497
Q5ZIM5,0.319070576207138
P48166,NA
Q6NY74,0.569755717312225
Q6H4N0,0.663965958334738
Q3U2U7,0.303413936422788
P0DPD7,0.167488093846944
Q55GE2,0.171069541481844
Q9ZR37,0.440507784420235
O74940,0.448216542050215
Q8CFQ3,0.138059867654272
B7F845,NA
Q9AV81,0.763755266355195
Q39584,NA
Q8N1B4,NA
Q5ZJ17,0.242542808545664
P53470,0.327030171026742
Q8WXX0,NA
Q56P27,NA
D2VRR7,NA
Q9C0G6,NA
P53623,0.55203564108315
Q94BT9,0.983663307664364
Q24799,0.569755717312225
P35130,0.569755717312225
P9WQE9,NA
P9WQE9,NA
P50851,NA
O00400,0.0774746262813548
Q9CZX9,NA
Q75XW3,0.510927756566464
Q82TQ4,0.242542808545664
Q3SEK0,NA
Q9LYU8,NA
P49692,0.136340982175318
Q9NR20,NA
Q9NR20,NA
Q7SXN5,0.160028261995867
Q61XD3,0.153898439889392
Q54E49,0.356228913973312
Q8N9V3,0.440507784420235
Q05920,0.440507784420235
Q2TA16,0.0781747709368553
Q9VTE5,NA
Q9S7Q2,0.569755717312225
Q9S7Q2,0.569755717312225
Q9S7Q2,0.569755717312225
Q9S7Q2,0.569755717312225
Q9S7Q2,0.569755717312225
Q9S7Q2,0.569755717312225
Q93HU4,NA
Q8T3X9,0.212428591938853
Q9SCN0,0.366770933632129
Q08972,0.663965958334738
Q4L9R6,NA
B0WMG3,0.468799031066089
Q6P3R8,NA
P74598,NA
P34125,0.440507784420235
P30041,0.155965051563627
O94400,NA
Q80Z71,0.247789987322474
Q80Z71,0.247789987322474
Q80Z71,0.247789987322474
Q9FIX3,NA
P21762,0.727347269920426
Q8GWE6,0.315727173289677
Q9UL12,0.366770933632129
Q5Z8Q9,0.274213306828789
Q9ZUV3,0.0922320134883313
