"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
122 0.126302705410367 2 6 "GO:0000002" "mitochondrial genome maintenance" 0.391358732309021
136 0.227154115395779 4 3 "GO:0000018;GO:0051052" "regulation of DNA recombination" 0.503689560225423
-201 4.55288862392391e-05 2 16 "GO:0000027" "ribosomal large subunit assembly" 0.0017414798986509
-200 0.000431608563819572 2 12 "GO:0000028" "ribosomal small subunit assembly" 0.00943373003777065
34 0.586396273982084 5 10 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "vacuole organization" 0.801059195707668
71 0.251740388409578 7 10 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0006913;GO:0051169;GO:0015931" "ribosomal subunit export from nucleus" 0.520520957950458
79 0.367475258639028 2 5 "GO:0000055" "ribosomal large subunit export from nucleus" 0.631727130019902
90 0.263238208110088 3 6 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "mitotic sister chromatid segregation" 0.524375586201655
158 0.105743869556428 3 4 "GO:0000077;GO:0031570;GO:0000075;GO:0045786" "DNA damage checkpoint" 0.369055322217901
182 0.107765531458719 2 3 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.369055322217901
-25 0.716632066073337 4 8 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.886481038216684
16 0.870278027682434 4 4 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.969602800665612
57 0.558500433668719 4 4 "GO:0000096;GO:0006790" "sulfur compound metabolic process" 0.783950150012055
37 0.468800595871487 6 15 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0009890;GO:0051253;GO:0045934" "regulation of cellular macromolecule biosynthetic process" 0.733701497391972
-72 0.414476923108399 3 5 "GO:0000154" "rRNA modification" 0.689293143865055
-60 0.251755234564274 5 14 "GO:0000165;GO:0035556;GO:0007165" "signal transduction" 0.520520957950458
16 0.736636202596522 3 18 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.886481038216684
-23 0.555694178724256 3 26 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.783950150012055
61 0.104288578461058 2 28 "GO:0000226;GO:0007010" "microtubule cytoskeleton organization" 0.369055322217901
-13 0.829659920722318 2 11 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.953413937359106
-51 0.557205886347761 2 5 "GO:0000245" "spliceosomal complex assembly" 0.783950150012055
55 0.62755855188689 2 3 "GO:0000266" "mitochondrial fission" 0.834464421037725
109 0.335590839641059 3 3 "GO:0000272;GO:0016052" "polysaccharide catabolic process" 0.611254743631929
131 0.016335182942685 4 13 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.115720588740904
-180 0.111385262800014 3 3 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.370477069747873
-137 0.160651760052146 2 4 "GO:0000302;GO:0006979;GO:1901700" "response to oxidative stress" 0.423788263585833
17 0.880880975768105 4 3 "GO:0000349" "generation of catalytic spliceosome for first transesterification step" 0.969602800665612
127 0.260114984254641 2 3 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.524375586201655
-17 0.75321918279849 6 14 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of alternative mRNA splicing, via spliceosome" 0.886481038216684
-58 0.193905623184652 7 20 "GO:0000387" "spliceosomal snRNP assembly" 0.470913656305583
24 0.829662223071677 4 3 "GO:0000388" "spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)" 0.953413937359106
-102 5.70712214058878e-05 3 66 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing" 0.00174637937502017
-58 0.35044094200312 7 10 "GO:0000413;GO:0018208;GO:0018193" "peptidyl-proline modification" 0.625711080300456
-285 0.00358556329759324 3 4 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.0391850846094118
-134 0.170858556249165 8 4 "GO:0000453;GO:0000451;GO:0031167;GO:0001510;GO:0043414;GO:0032259" "RNA methylation" 0.441811591910177
-61 0.326535815053535 3 10 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.602608415565053
-68 0.357246554547062 10 7 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.626137367613065
-121 0.0415147173251524 5 11 "GO:0000469;GO:0090501;GO:0090305" "nucleic acid phosphodiester bond hydrolysis" 0.22281996983824
-113 0.055666845625763 2 11 "GO:0000470" "maturation of LSU-rRNA" 0.258091738810356
-103 0.137385669662273 3 8 "GO:0000479;GO:0000478;GO:0090502" "endonucleolytic cleavage involved in rRNA processing" 0.391358732309021
121 0.026295924187781 2 13 "GO:0000724;GO:0000725;GO:0006302;GO:0006281;GO:0006310" "DNA recombination" 0.159978486686803
115 0.238341746342666 2 4 "GO:0000727" "double-strand break repair via break-induced replication" 0.506476210978165
140 0.214292987162757 2 3 "GO:0000902" "cell morphogenesis" 0.482159221116203
140 0.00265801289150984 3 18 "GO:0000910" "cytokinesis" 0.0369705429455459
157 0.0725709711746443 4 5 "GO:0000911" "cytokinesis by cell plate formation" 0.293482088174065
4 0.972777608338076 5 3 "GO:0000917;GO:0090529;GO:0032506" "division septum assembly" 0.991713465216657
-27 0.476687372099985 5 27 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "cellular macromolecule catabolic process" 0.734364048087125
55 0.577676925394773 6 4 "GO:0001522" "pseudouridine synthesis" 0.796257383652255
8 0.918525221875839 3 7 "GO:0001525" "angiogenesis" 0.987728407662326
89 0.432529150499371 2 3 "GO:0001558;GO:0040008" "regulation of cell growth" 0.704010213046849
111 0.323812925143001 4 3 "GO:0001578" "microtubule bundle formation" 0.602608415565053
-6 0.956220947317393 4 3 "GO:0001649" "osteoblast differentiation" 0.991713465216657
3 0.97845714535686 3 4 "GO:0001666;GO:0036293;GO:0070482;GO:0009628" "response to hypoxia" 0.991713465216657
-140 0.0799963839477111 4 6 "GO:0001731" "formation of translation preinitiation complex" 0.3128647717269
-1 0.985009385016841 4 10 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.991713465216657
116 0.11768273760808 3 7 "GO:0001822" "kidney development" 0.383094869234814
