Accession_ID,log2FoldChange
Q27802,-0.161327557210028
A4PBL4,-1.49807043779287
Q552W5,-7.12784951065372
Q9DG68,-5.87162838358721
A2A6Q5,-1.01201181458015
Q5ZIM5,NA
P57772,-4.08211865395297
P16895,1.04767482379877
Q9I7S6,NA
Q6P656,-2.99632299821683
Q54G07,-5.38109337829507
Q9UP95,-2.49436782127809
Q9S7Q2,-1.77142267473029
Q9S7Q2,-1.77142267473029
Q9S7Q2,-1.77142267473029
Q9S7Q2,-1.77142267473029
Q9S7Q2,-1.77142267473029
Q9S7Q2,-1.77142267473029
Q9VZJ9,-5.97610127325164
Q7ZV96,-5.13752090342849
Q9SMH3,NA
Q97VX5,-5.30990888593494
O99256,-6.96181831998723
Q9S9Z8,0
Q96I25,-4.56148185308384
Q9W4T4,-2.00393135522152
Q6C9B1,-5.28681756338194
A8I4E9,-1.57924913342107
Q5PQ44,-1.67574392702144
O74343,-2.28445273751814
Q16644,-1.91753807220101
Q39EH1,-3.51394688328197
Q9BXJ9,-2.15606870992116
Q9U4N3,-2.80134098731863
P41234,-2.87215942270053
P41234,-2.87215942270053
Q9DB75,-1.74327393973687
Q5R673,-2.47434339411107
Q86U28,-4.80854885992858
Q9SLA2,-0.093305582546863
Q7SIB7,-7.10141048803015
P93028,-2.43310968480511
D0EYG3,-4.76355904827941
Q925U4,0.152074703048079
P38935,-3.36514171892793
Q8BYR1,-1.24090641507468
Q54J75,-4.68850901810038
Q9P6P3,-2.27638617503552
P32604,-1.6104194410419
Q08972,-1.08536407258329
P70269,0.152074703048079
P37891,-6.57921381620314
Q9R0M8,-2.80828851473803
Q9FX21,-5.59876345864803
Q869Z0,-6.26859004453312
A8WGF4,-3.78104356744166
P34117,-4.53620674473093
Q5R5J8,-3.49355748655792
Q8NEY3,0.278981126681616
M1CZC0,-2.51302220077868
Q24DE2,-1.2177359210958
Q9ALA2,-1.46084600991716
Q95ZQ4,NA
Q8LKS5,-2.57857511515572
Q28DH9,-2.88207979362145
O13997,-3.72808298677207
Q9DAJ5,-6.09206533385292
Q8IIJ9,-2.85694067735854
Q24895,-4.79958505394698
P16638,-1.6640216439461
Q9SGA6,-6.70830093238954
P05124,-2.57715365625626
Q03133,-1.53884910389829
Q03133,-1.53884910389829
P25321,-1.89204520282142
Q94490,-0.753659168781122
Q8ICR0,-0.450357708026336
Q99JH1,NA
Q8L796,-4.10987943201145
