Accession_ID,log2FoldChange
O13755,-0.0988355196133666
P0DPA1,1.26640268085327
O74978,0.440316877140946
Q54QB1,1.59896611234953
Q39584,3.03655237829233
P28583,1.69405444191467
Q54PF3,0.0653933139653953
Q10068,3.30869502098811
P05123,NA
Q9LFP3,3.25652163870153
Q96RW7,3.19912532213813
Q96RW7,3.19912532213813
Q96RW7,3.19912532213813
Q96RW7,3.19912532213813
Q8NEY3,2.73954848728258
P35182,0.226985263003276
Q4G0P3,2.1535700595351
Q02647,2.73954848728258
O82528,0.087022970766036
P17735,1.26935147005075
Q3EAR7,0.789504301371303
Q9MBF8,2.9011919514155
P47838,-0.982684504539095
Q657W3,1.88570393753925
Q9UBT6,2.57395693279961
Q9UNI6,-0.362056195503365
Q15393,NA
O84345,1.60450632873633
P41001,1.78303918924582
Q9Z336,-0.368198983935668
P43524,1.56497582116727
P40228,0.97954387459694
Q8ICR0,1.81337580782846
P27085,-1.07026319027663
Q5XGI5,0.692237901742704
Q02912,2.9011919514155
Q60441,1.8250538766435
P43332,0.130899681848063
Q9UTP9,0.202453487315766
Q8VYF1,-0.0471166597775625
Q8L7K0,-0.79111714652112
P49420,-0.121455653278916
Q2RBJ6,0.56081564447382
Q6BXZ7,-0.36788097772331
Q2RMD6,1.80093739706095
A8JUV0,-0.278994040481956
F1QXD3,3.64625708355081
Q50KB1,1.37674668203114
Q7SBC6,1.26925630459523
P00504,1.17088035980768
Q0J2L7,0.672584615645533
Q9M1H3,0.624145017922067
Q9M1H3,0.624145017922067
Q6MDE0,-0.369049501010707
Q8SSN5,-0.192025294551193
P35684,-0.305812892862572
Q7ZUH1,-1.07107808606826
P0C1H9,1.42901762850332
Q9SIC9,0.634411390515546
Q9SIC9,0.634411390515546
Q9SIC9,0.634411390515546
Q9SIC9,0.634411390515546
Q9SIC9,0.634411390515546
Q9SIC9,0.634411390515546
Q9SIC9,0.634411390515546
Q9SIC9,0.634411390515546
Q9JKA9,1.75866892929647
A4IIN5,2.02062034820183
Q2R1M8,1.64584722810812
Q6NKP9,0.831540988261957
P0CN80,3.34891127916854
Q8QGH2,0.557326335012831
Q7SIB7,-0.0743037028425242
C9JRZ8,3.03655237829233
Q80V42,0.573963295310643
Q9P2D7,NA
Q5DU05,-0.0857950870807042
P53470,2.83469728469138
Q6BH22,-0.779561414585697
Q8LPN7,1.16097736248107
P90519,-2.43124510538011
Q9SLA2,1.62139789537323
Q01063,2.43323769470779
G5EFM9,-0.0595697657970001
Q9FJR0,2.15422512474264
