Accession_ID,log2FoldChange
Q7XUF4,NA
Q8C0D5,NA
P40984,NA
Q9ZR37,NA
A7F045,NA
Q32PF2,NA
A4III8,NA
Q54I57,-0.325317788341059
Q14679,NA
B7F845,-0.945857486132953
O96827,NA
P35447,NA
P35447,NA
P35447,NA
P35447,NA
Q54Q94,2.07550069810524
Q9V410,NA
Q9V410,NA
P0C6F1,NA
P48766,NA
Q2HJ74,NA
O00400,NA
Q8N653,3.0718451214214
Q8N653,3.0718451214214
Q8N653,3.0718451214214
Q54JC8,NA
Q7ZW46,2.73707090682873
Q6ZMV9,NA
P09437,0.292918767664757
Q8L6Y1,NA
Q94C74,NA
Q54I48,NA
A8JF70,NA
P11144,NA
Q63486,NA
Q54258,NA
Q7RAH3,NA
P16895,1.23991618417842
Q9XGL4,NA
A8HUA1,NA
O08914,2.07550069810524
Q9WVF7,NA
Q54NK8,3.34358071572869
Q9Y7U9,0.636467228251839
Q32LQ6,NA
P05987,NA
P05987,NA
P48166,NA
Q5FWQ0,NA
Q9V6U8,0.786638907578478
Q9SXD8,NA
Q7SXW4,2.86268921218765
Q9P2D7,NA
Q8LPL6,NA
Q8W4M7,NA
Q9U5Z8,2.28974252764862
Q54L40,NA
Q8IVS2,2.26683084842722
Q9FIX3,NA
Q9FIX3,NA
Q9FIX3,NA
Q9FIX3,NA
Q9FIX3,NA
P55080,0.692687218300206
Q657W3,NA
P24724,-0.709228150601061
Q15386,NA
A8HYU5,NA
Q9P2D7,NA
Q3ZBR5,NA
Q07DZ7,NA
P10363,NA
Q54X73,NA
Q9NYC9,NA
Q08C72,NA
Q9S7Q2,NA
Q9S7Q2,NA
Q9S7Q2,NA
Q9S7Q2,NA
Q9S7Q2,NA
Q9S7Q2,NA
Q2QAV0,2.73707090682873
Q7XPJ0,NA
Q54T05,-1.05307233657177
Q39604,NA
Q86BS6,NA
Q50KB1,NA
Q5XH16,NA
P90519,4.85686330046038
Q8VWI1,0.636467228251839
Q0KL01,NA
P54567,NA
P54567,NA
Q86H36,NA
Q5PQA4,NA
Q9EZ02,NA
Q54E49,2.25617948808363
Q6ZQ08,NA
Q95K50,0.929177160413376
Q9CB01,NA
P20147,NA
Q9FIZ9,0.636467228251839
O95985,NA
Q5EAR5,NA
Q9SA78,2.07550069810524
P26182,-0.325317788341058
Q9VD92,NA
O44411,NA
Q6IR75,NA
Q05763,2.73707090682873
O55029,NA
O23247,0.15557588768643
P48166,2.07550069810524
P40138,NA
Q2TGJ4,2.59095365142826
Q8W4M5,NA
Q55EJ3,2.3635623767051
Q9D8X5,3.57219647481001
F4IAT2,-1.19362413470438
A4IIN5,NA
P46875,NA
Q60HG6,NA
Q95029,NA
Q8T3U2,3.28870126280925
Q03132,NA
Q03132,NA
Q8CTA4,NA
Q96G03,0.636467228251839
Q9LVK9,0.636467228251839
Q8IWZ6,-2.13091642944765
Q24491,1.59461292560206
Q60443,NA
P31209,NA
P31209,NA
P31209,NA
Q6DRC4,1.15771755274672
Q59LU0,-1.83530784635622
O76083,NA
O02494,NA
Q86TL2,NA
Q4PGT2,-0.325317788341059
O60121,5.11450551876073
P58006,NA
P32232,NA
Q6H4N0,NA
O44006,0.565803208610851
P27996,NA
P45951,0.67682716113645
Q96JB1,NA
Q56Y85,-6.11933083997809
Q962X7,-0.894771239696449
Q62724,NA
Q3KNY5,-0.325317788341059
Q5NVK5,-0.325317788341059
P46595,NA
Q9NR30,NA
P18294,NA
P18294,NA
P18294,NA
Q3E9A4,NA
Q553R3,NA
O14830,NA
P38542,NA
Q9C9K3,NA
Q99297,-0.856167536620191
Q9LTS6,NA
Q39584,NA
Q9ZVH4,4.09817373920953
Q6NY77,NA
Q9VJ79,NA
Q9VJ79,NA
Q6NS23,0.805154450392093
Q5ZC88,2.83228839774279
Q6Q1P4,0.636467228251839
Q5R5J8,NA
Q8H0T9,NA
Q8H0T9,NA
Q95L97,2.73707090682873
Q9DD03,NA
Q942P9,NA
Q9HEH1,NA
O81635,NA
Q7TQE7,NA
Q9D180,NA
O77404,NA
P24724,-0.325317788341059
P34140,3.7695928086561
P52393,2.73707090682873
Q9LHE5,NA
P37891,NA
O14134,NA
Q54JH4,NA
Q9SLA2,0.636467228251839
A4IHR1,NA
P62343,NA
Q8TD57,NA
Q65X92,NA
Q54271,NA
O77302,2.87695956212719
P26182,1.60221927178363
Q8QZY1,NA
P45975,NA
Q32PE2,NA
P9WQE9,NA
P9WQE9,NA
O64518,NA
Q9H7B4,NA
Q9DAN9,-0.325317788341059
Q00737,NA
Q6ZQ08,0.155575887686429
Q54DD3,3.78020315340127
P0AB70,NA
A2BD05,NA
P28178,NA
Q9JLG8,NA
A3SR25,NA
P14604,0.545243263565056
Q22004,1.15771755274672
Q27802,NA
Q6BIV1,NA
Q63170,NA
B6KG46,NA
A4IG32,NA
O76743,NA
Q9SFB8,3.0718451214214
Q9SFB8,3.0718451214214
P35182,3.94319823324963
Q23AS2,NA
P51817,NA
Q9VBP3,NA
P32023,NA
P27996,NA
Q8W4I9,NA
Q54QB1,-1.78355119893958
P36595,-27.0758778295868
Q28XK6,0.695462994682197
Q54DW2,0.636467228251839
Q54CS8,NA
Q7RAV5,NA
P33188,2.72687981366499
Q9CQQ8,-1.23316793065339
O93937,3.0718451214214
O93937,3.0718451214214
Q869S7,-0.325317788341059
Q9UFH2,NA
O00782,2.86268921218765
Q9SEE9,0.636467228251839
Q8R1N4,NA
Q9CQL0,NA
Q5M9F1,0.636467228251839
Q8L4B0,NA
B9RAJ0,3.57219647481001
A4III8,NA
Q9CWH5,4.55602886215394
Q9V3S9,NA
O94686,5.25037203229943
Q4V7T8,NA
P37296,NA
Q2XQY7,NA
Q8H2T0,0.636467228251839
Q6PBF0,NA
Q9D529,NA
Q588V7,NA
B8B2R4,0.636467228251839
Q8AB53,NA
P58312,NA
Q5ZI11,NA
O61613,NA
Q968X7,NA
Q43298,3.24652306249032
P42339,NA
Q9Y7M5,0.360490103028937
Q9Y7M7,NA
Q9C0G6,NA
Q962U1,4.23810308613641
Q39584,NA
P68173,-1.56698433989309
Q54E21,NA
Q05945,NA
Q39025,NA
Q05966,NA
Q6P6R2,-1.1016758811955
P35084,NA
O99252,-2.02741258001234
Q9JME5,0.636467228251839
P0C1I8,3.57219647481001
A9UMS3,0.636467228251839
P46976,NA
Q5RE03,NA
O95180,NA
Q2R2B4,-0.709228150601061
Q5JKF2,NA
Q7DLR9,NA
Q09911,3.22373734669221
Q6AYD3,2.07550069810524
P93028,NA
P0C6F1,NA
E9AE57,NA
Q98TF5,5.74873346787564
Q6P8E9,-0.325317788341059
Q9C0G6,NA
Q0VCA8,NA
Q66H60,NA
P92177,NA
P35728,NA
Q01989,NA
Q9VL72,NA
Q9URX7,NA
Q8K0V4,1.15771755274672
O99252,1.56988244273717
O99252,1.56988244273717
Q4U2R1,2.59095365142826
