Accession_ID,log2FoldChange
Q2HJ10,NA
Q9C9F5,NA
Q10AZ7,NA
Q10AZ7,NA
Q10AZ7,NA
Q10AZ7,NA
Q3V3N7,NA
Q5E9H5,NA
Q6IR75,NA
Q94KD3,0.308488226313331
Q8IIJ9,NA
Q9C270,NA
P48166,NA
F4I893,NA
Q8BJL0,NA
Q8H5F8,NA
Q295U7,NA
Q5R9L5,NA
Q9HD20,NA
Q9FJL0,NA
P62944,NA
Q9S9T7,NA
Q8TGM7,0.209591059678135
Q9HBG4,NA
O22616,NA
Q54JP5,NA
Q94A97,NA
O96269,1.13840454125783
Q6DHL4,NA
P46592,NA
Q22004,NA
Q9N1F5,NA
Q567Z6,NA
Q641X6,NA
Q9SFB8,NA
Q9SFB8,NA
Q9SFB8,NA
Q08972,NA
Q08972,NA
Q22235,NA
A8WGF4,NA
B9F676,NA
Q9HDY4,NA
Q55GD2,NA
P50648,NA
P35684,NA
P20338,1.20219980286566
Q9FL12,NA
P23098,NA
P54750,NA
Q06827,NA
Q06827,NA
P92948,-0.40904961643599
Q24799,NA
O22928,NA
Q5R631,-0.434731705208951
Q0DB53,1.38852270635758
Q6AZG6,1.13840454125783
O14218,NA
Q15386,NA
Q06609,NA
Q43362,NA
Q9DG68,NA
P55925,NA
P78706,NA
Q6BMY0,NA
Q5M9F1,NA
Q84H41,NA
P35684,NA
A4III8,NA
Q9P2H3,NA
A8HYU5,NA
O35900,NA
O80513,NA
A4RHF1,NA
Q9Y666,NA
Q941I6,NA
Q23TC2,NA
O16110,1.13840454125783
Q9HCD6,NA
P32472,NA
Q8GZ26,NA
Q5B020,NA
Q8N357,NA
P90726,1.45251249660495
P07276,NA
O94565,NA
Q9CQF6,NA
Q5JVL4,NA
P19211,NA
Q54G06,NA
P36146,NA
Q8VYF1,1.36469916495745
O04376,NA
Q8KFZ5,-0.902638913039139
P29763,-0.1935936900216
A1KQG0,NA
Q9M4G4,NA
Q56YP2,NA
Q56YP2,NA
Q5XIV2,NA
P0DJ54,NA
Q869P0,-0.40904961643599
A2XGQ1,-1.47685205962551
Q39584,NA
Q99MB4,NA
O02773,NA
P49397,-0.1935936900216
P38088,NA
P22543,NA
Q8CFE4,NA
Q01386,NA
Q8N1B4,-0.902638913039139
Q8ZKH4,NA
Q9TXQ1,NA
A3B529,NA
Q08211,NA
Q32PF2,NA
Q962Q7,-0.0224964992547506
Q2KIA4,NA
Q9XHS0,-0.902638913039139
P0CQ82,NA
Q968X7,NA
Q42883,NA
Q47D81,NA
Q2R1M8,1.13840454125783
Q9CB01,1.45251249660495
Q9UBT6,NA
Q9SZ69,NA
O59790,NA
P04072,NA
Q8NG66,NA
Q28EL0,NA
Q8K0V4,NA
A7SCH8,1.38852270635758
Q8W4I9,NA
Q54BW6,NA
Q09442,1.45251249660495
Q9VBP9,-1.77135410502257
O81902,NA
Q28FY0,NA
Q9SU08,1.13840454125783
P53470,NA
A6U7A9,1.13840454125783
F4JTP5,NA
Q9SKZ5,NA
Q6PBF0,NA
Q9S9Z8,NA
Q86HD3,NA
Q12874,NA
P70269,NA
P70269,NA
Q2QAV0,NA
