Accession_ID,log2FoldChange
Q9Z336,-6.06491293139991
P35684,-4.75321153809143
O94256,-4.39345428699847
P33188,-8.6478882916839
Q95PJ8,-3.68757935126441
Q40784,-3.97716352419847
P92974,-5.72147545233251
P11075,-6.2093364424165
P49020,-1.60275496473542
A8JF70,NA
P0C881,-4.74761431856412
P0C881,-4.74761431856412
P0C881,-4.74761431856412
P0C881,-4.74761431856412
P0C881,-4.74761431856412
Q80UW5,-1.76048486899673
Q08114,-3.80540705109611
Q5XF06,-3.65534455357468
E7F8F4,-2.27693749769384
E7F8F4,-2.27693749769384
A8X6H1,-4.71149099503145
P56286,-5.76762906416519
Q9H9Y6,NA
Q95L97,-4.9695156650523
Q9SLA2,NA
Q9LPM9,-2.8479408996704
A1L1K7,-2.80383468734327
Q56Y85,-7.69201181099614
Q4VRV8,-5.34821100197738
P54417,-3.12792682290607
Q7MGG3,-4.93431919344482
Q5R5J8,-5.78499983872003
Q24F59,-4.58326444430519
Q54NJ4,-5.10786309592268
A7SDW5,-6.73551094138038
Q0UWT7,-6.22159640998866
Q0VCU1,NA
Q8RWH3,-1.90706829864744
Q96NN9,-3.16309635450592
Q9HEH1,-4.22414334789094
Q9R279,-5.30644506443292
B6KG46,-6.10017324281785
Q03387,-1.99331132493953
P50991,-6.02593409657217
P07519,-2.34043742218879
F4KIL8,-6.71208700981046
Q06827,-3.97762243401991
Q5ZLT0,-6.12471143237772
Q9LDK9,-4.72624595877137
Q9SZ69,-4.27511772813736
Q3V0Q1,-3.27840959384722
Q6DDZ9,-3.72539292581041
Q9ZVT7,-4.0679733743358
P49397,-5.85170605798779
Q8W4R8,NA
P73789,-5.31345994447345
Q9P2D7,-1.45326818120926
P34600,-4.34659641913585
Q8H0V6,-4.32735519467286
Q5RB75,-3.70670654878789
Q23F13,-1.88378275659029
Q9FIB6,-4.57224363217043
Q01740,-2.26417766467061
Q5UNW1,-3.84173315447249
O82531,-7.15396580735532
P93254,-3.61728443612019
Q6AX60,-3.42793702055112
F4K2E9,-3.82222518333238
Q9VNA0,-5.04238527525106
Q852Q2,-3.77337683155092
Q9NQ90,-3.05821021885361
Q63170,-4.69202519447756
Q9ZV15,-3.34788440766672
Q6PHI9,-4.72149414548507
Q55AX0,-6.07596322743819
Q9NP78,-2.85097279810633
Q63170,-3.71648336153567
P34140,-5.45923085086441
O94565,-0.991540776453479
Q9CQI7,-6.41232384791399
Q13614,-4.32175807217618
P0C1J7,-3.55691376746348
B0CPJ0,-1.88378275659029
P29356,-1.86813222552332
F4K2E9,-5.01724253162752
O45293,-4.75782834645686
Q75K28,-1.88993929173781
Q04006,-4.10791165515505
Q8VZM1,-2.5990125003056
Q8VZM1,-2.5990125003056
Q869L3,-1.4423927902867
Q869L3,-1.4423927902867
Q869L3,-1.4423927902867
Q869L3,-1.4423927902867
Q869L3,-1.4423927902867
Q869L3,-1.4423927902867
P32454,-2.97076480135135
Q5ATG5,-5.10187346468349
P43333,-4.95297197129755
A0A1D8PI78,-6.06401397471654
P27085,-5.83913127349967
P51954,NA
Q8T880,-2.93834606832632
A8I9E8,-2.47778973725133
Q7S4P3,-2.99185635036657
P0C6F1,-1.23584779792933
Q5R632,-2.68174025987789
Q7JP68,-2.34043742218879
Q84PB3,-1.90706829864744
Q90ZA1,-6.03347841150717
Q58556,-1.9133236694304
P50395,-8.68024267222384
Q9T029,-7.13425594055189
Q54XK2,-4.59948555915736
Q6NWJ4,-4.90834765146223
Q9S9N1,NA
Q9D180,-3.19416865548878
Q54SN4,-5.19042601809734
Q9FHN8,-3.81088619145227
Q09775,-4.99653791908201
Q6MDE0,-6.98262249844579
P16157,-0.991540776453479
O55057,-4.26057859775538
Q64M78,-3.73297449577343
P10363,-3.33907955426683
Q9P2H3,-2.09194476643477
Q9DAJ5,-6.68411760465435
Q6P2Q9,-5.14858985892678
Q54VD8,-4.77212959406563
Q5NVI9,-2.26304117398702
O57683,-6.98493483266634
Q56XY2,-5.55946702628831
Q9UUC6,-2.8126474650777
P32911,NA
P35447,-2.26417766467061
P35447,-2.26417766467061
P35447,-2.26417766467061
P35447,-2.26417766467061
Q32LS6,-5.12157644288212
Q99956,-6.14696973736579
Q866F4,-1.99331132493953
Q8GYX8,-5.35486361755952
Q68F18,-1.76048486899673
Q32M07,-1.25141114632977
Q32M07,-1.25141114632977
Q84H44,-2.71626014037709
A3RCV9,-5.85894960445044
Q2GAU7,-3.53301958865785
Q1QEC2,-2.1817299383474
Q641X6,-2.49315769137525
P26182,-4.97455771080533
P35447,-4.76326503874469
P35447,-4.76326503874469
P35447,-4.76326503874469
P35447,-4.76326503874469
Q5R478,-6.24616100020912
Q7ZXY0,-0.388748376172495
Q54QU8,-3.40280542068642
Q12344,-3.55674288026951
Q9UNI6,-6.29384114885189
P96554,-2.09194476643477
P52285,-2.72925191330227
Q0EEE2,-4.96532109892916
Q9LS40,-2.47778973725133
Q9NJU9,-6.06856076506709
Q9BLG3,-3.84154090815588
Q9SSD2,-2.09194476643477
Q9P0S9,-5.30219980300135
Q24120,-2.68229741070739
P55354,-5.54094173127043
Q95XX1,-3.34743717209972
Q5DU05,-4.54041507816018
Q5JVL4,-3.42741150126402
Q5JVL4,-3.42741150126402
Q9TXQ1,-3.66101275813231
P87239,-3.29871376458578
Q8ICR0,-3.78648841008826
Q5M9F5,-1.88378275659029
Q9LT77,-2.97741104983722
C0LGQ7,-4.44668007808842
P46793,-4.87588213712119
Q13472,-2.53847528730293
A2VDZ4,-3.01824702572026
Q6NVR9,-5.1472053499418
Q96JB1,-3.55201707677118
Q8RXF1,-6.59683333348281
Q8RXF1,-6.59683333348281
P26182,-2.10687890061046
Q9R279,-2.41630267788129
A8I4E9,-2.09194476643477
Q6N075,-4.78223649926072
Q9NZJ4,-2.53506928536349
A8WMY4,-3.05606564298818
Q90XC2,-2.1817299383474
Q8VYK7,-4.14368647375885
P87144,-6.92112429440651
Q9FX86,-2.2510451995177
O00835,-4.88256183237101
P48504,-7.43141847487159
Q28DH9,-4.54087297290052
Q9P7J8,-3.0603461244934
Q8IVS2,-5.04759373300245
Q63170,-3.05391039941733
H2KYQ5,-3.05247094274597
P11144,-2.89322883306955
A8IR43,-2.84895397953849
Q8BHB4,-6.26202958886276
Q8BHB4,-6.26202958886276
Q8BHB4,-6.26202958886276
Q8BHB4,-6.26202958886276
Q5RD06,-2.64910910962815
Q5RD06,-2.64910910962815
E3WDQ9,-2.94005650256345
E3WDQ9,-2.94005650256345
E3WDQ9,-2.94005650256345
O35594,-5.40452436193629
Q86BS6,-5.47384078673951
Q4P6I3,-6.36455391574914
P27766,-5.54985740295269
Q9ULC3,-4.22175233252344
O13755,-9.0879416777425
Q9Z1M4,-4.31451636669169
Q86SG6,-4.46141578718848
P49935,-4.81361562575354
P09648,-4.56221267866573
A0DSB3,-3.82202632534194
Q9LJQ9,-7.28393918077665
Q5HZV9,-4.85929497637059
Q3UY96,-1.61918719368056
P02402,-3.50104527535675
Q9Y0V6,-1.60275496473542
Q553R3,-4.46967367321508
Q9Y295,-6.53895611102338
Q75M35,-2.47778973725133
Q923G5,-4.58988020416028
F4I3B3,-5.71471607688302
Q9SL67,-4.94985354027755
Q08114,-4.65939157662087
Q8IVS2,-4.44961504650477
Q8VZM1,-5.2313411612723
P27398,-3.05462826307424
Q8R977,-1.74764813849647
Q08114,-5.93901553182569
Q1ZXQ1,-2.70759974246862
Q9FT73,-2.00254129149611
Q869Q2,-4.72243024456287
Q8QGH2,-7.83587742492195
Q04656,-3.67072200082253
Q8W4M5,-2.70759974246862
Q4IJ84,-2.72390178630774
P33202,-2.53847528730293
Q9Y6W3,-3.05543589119558
O22145,-2.92866695661644
Q9T079,-3.42790382721904
P19211,-4.43747420227894
Q80X82,-5.5307955227769
Q9S7Q2,-2.27429705919258
Q9S7Q2,-2.27429705919258
Q9S7Q2,-2.27429705919258
Q9S7Q2,-2.27429705919258
Q9S7Q2,-2.27429705919258
Q9S7Q2,-2.27429705919258
O00400,-3.9460128409145
Q54XM0,-2.47590801078958
Q9SZX9,-4.70966683993455
Q6ZXV5,NA
P29356,NA
Q9I4V0,-5.60029392529719
Q7KWX9,-6.64590114624158
O64642,-3.5000196551876
P02402,-5.1612860094188
P31851,-6.24659388293492
P36595,-1.87341429486581
Q10NQ9,-4.75689471636508
P74598,-3.66568788551488
Q27171,-1.61918719368056
Q9C505,-5.56141274859519
P49363,NA
Q9QZ11,-4.3578380016792
Q4N655,-7.76823749832721
Q4R713,-4.51008706519581
E1C3P4,NA
Q12271,-2.41140458447824
Q54R82,-2.84401650310103
P46686,-2.76871854155592
P0C6F1,-2.33806669635208
P36887,-3.13134737188675
O64642,-1.7710643650043
Q9FL12,-3.37378980534307
Q9HDW8,-4.41616613109536
Q2S938,-6.32436997897364
Q9ZRV4,-2.70759974246862
Q9LM92,-5.18470080381618
Q9S752,-3.64839878363354
O96647,-4.1554956032271
Q58536,-5.75192777855622
Q962Q7,-6.5453836129401
Q54EQ8,-4.43701213108954
B6EGY4,-5.15390231378294
P0AB70,NA
Q94A97,-4.97438369893567
Q04770,-1.62653076834917
Q8QGH2,-4.65764678941147
A0A1B4XBG9,-4.47668524857438
Q6WKZ8,-3.76181016543158
