"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
164 0.480906090197511 3 13 "GO:0000002" "mitochondrial genome maintenance" 0.937965076624967
-285 0.368421711567835 6 7 "GO:0000012" "single strand break repair" 0.937965076624967
8 0.979807142296514 4 7 "GO:0000018;GO:0051052" "regulation of DNA recombination" 0.991249333614001
-183 0.625296078093973 2 5 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.968552217803068
77 0.553587059653865 2 42 "GO:0000027" "ribosomal large subunit assembly" 0.961936873546249
-215 0.292194245819324 2 17 "GO:0000028" "ribosomal small subunit assembly" 0.915979714422375
213 0.310017383333165 2 16 "GO:0000038" "very long-chain fatty acid metabolic process" 0.933908432979375
-33 0.896083515389468 3 11 "GO:0000050;GO:0019627;GO:0071941" "urea cycle" 0.972791053671835
-17 0.924601364671816 6 23 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0006913;GO:0051169;GO:0050657;GO:0051236;GO:0015931" "nucleocytoplasmic transport" 0.97310816949871
-46 0.855138628413893 2 11 "GO:0000055" "ribosomal large subunit export from nucleus" 0.968552217803068
380 0.015070128142615 3 29 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "chromosome segregation" 0.467173972421065
227 0.473336419022458 2 7 "GO:0000076" "DNA replication checkpoint" 0.937965076624967
-88 0.578964317390443 3 28 "GO:0000077;GO:0031570;GO:0000075;GO:0045786" "cell cycle checkpoint" 0.968552217803068
112 0.497997306147904 6 26 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.941429008033151
381 0.000668639867642036 2 57 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.093275261536064
-148 0.508762889567782 5 14 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.941429008033151
-86 0.520200362263324 2 40 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.941429008033151
100 0.770745826680253 2 6 "GO:0000096" "sulfur amino acid metabolic process" 0.968552217803068
454 0.226149468558113 3 5 "GO:0000103" "sulfate assimilation" 0.908913573871012
63 0.713908837025164 5 24 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of mitotic spindle orientation" 0.968552217803068
-423 0.0804826126030439 2 12 "GO:0000154" "rRNA modification" 0.604729940489108
-138 0.171628530857168 2 70 "GO:0000165;GO:0035556" "intracellular signal transduction" 0.813652060757787
245 0.0248559910861967 2 60 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.533117611852461
-131 0.727620337365307 2 5 "GO:0000185" "activation of MAPKKK activity" 0.968552217803068
566 0.131048173105829 2 5 "GO:0000186" "activation of MAPKK activity" 0.808796345471299
-155 0.321609424340265 3 29 "GO:0000187" "activation of MAPK activity" 0.934677389488895
-16 0.952181112090136 6 10 "GO:0000188;GO:0043407;GO:0043409;GO:0071901;GO:1902532;GO:0006469;GO:0033673;GO:0051348;GO:0043086;GO:0044092" "negative regulation of protein kinase activity" 0.97310816949871
-9 0.91092512657072 5 117 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.97310816949871
-34 0.660059801502933 4 122 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.968552217803068
150 0.425595283011294 3 20 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.937965076624967
84 0.645051938340906 2 21 "GO:0000245" "spliceosomal complex assembly" 0.968552217803068
206 0.437085089820877 3 10 "GO:0000266;GO:0048285" "organelle fission" 0.937965076624967
-198 0.070065755468525 2 60 "GO:0000278;GO:0007049" "cell cycle" 0.591509552158735
-164 0.197793460317168 2 44 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.848990391207536
-383 0.170785210849563 2 9 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.813652060757787
-12 0.947025952183373 2 21 "GO:0000302;GO:0006979;GO:1901700;GO:0042221" "response to oxidative stress" 0.97310816949871
-97 0.654479650733927 6 15 "GO:0000338;GO:0070646" "protein deneddylation" 0.968552217803068
5 0.989976335661088 2 5 "GO:0000350" "generation of catalytic spliceosome for second transesterification step" 0.993537401616703
-120 0.578372854138439 3 15 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.968552217803068
-226 0.0435933748550896 2 57 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of alternative mRNA splicing, via spliceosome" 0.547446335334655
116 0.421226020516981 2 34 "GO:0000387" "spliceosomal snRNP assembly" 0.937965076624967
61 0.870265937248972 3 5 "GO:0000390;GO:0032988" "ribonucleoprotein complex disassembly" 0.968552217803068
-89 0.163620807318768 2 182 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing" 0.813652060757787
-52 0.70080239158114 4 39 "GO:0000413;GO:0018208;GO:0018193" "peptidyl-amino acid modification" 0.968552217803068
209 0.508891978837916 4 7 "GO:0000423;GO:0061912;GO:0016236" "macroautophagy" 0.941429008033151
-418 0.15822128119691 2 8 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.813652060757787
-550 0.142536247194744 2 5 "GO:0000455" "enzyme-directed rRNA pseudouridine synthesis" 0.811724854769575
-121 0.632862231580816 2 11 "GO:0000460" "maturation of 5.8S rRNA" 0.968552217803068
-138 0.452414389683583 3 21 "GO:0000462;GO:0030490" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.937965076624967
-192 0.283013798011644 2 22 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.909775104875563
-275 0.069393698337622 2 31 "GO:0000470" "maturation of LSU-rRNA" 0.591509552158735
-361 0.0544626985353842 5 20 "GO:0000479;GO:0000478;GO:0000469;GO:0090502;GO:0090501;GO:0090305" "nucleic acid phosphodiester bond hydrolysis" 0.547446335334655
-522 0.163891572927669 2 5 "GO:0000492;GO:0000491" "box C/D snoRNP assembly" 0.813652060757787
411 0.273342276555875 4 5 "GO:0000712" "resolution of meiotic recombination intermediates" 0.909775104875563
-54 0.772145595570104 3 20 "GO:0000723;GO:0032200;GO:0060249" "anatomical structure homeostasis" 0.968552217803068
-33 0.88870741131751 2 13 "GO:0000727" "double-strand break repair via break-induced replication" 0.968552217803068
90 0.526926541222894 2 35 "GO:0000902" "cell morphogenesis" 0.941429008033151
-93 0.803678248330612 2 5 "GO:0000904" "cell morphogenesis involved in differentiation" 0.968552217803068
193 0.0255883831452009 6 97 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "cellular macromolecule catabolic process" 0.533117611852461
