"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-68 0.744548601703191 4 13 "GO:0000002" "mitochondrial genome maintenance" 0.902379180866079
-54 0.838879564761961 2 8 "GO:0000012" "single strand break repair" 0.944441085677699
544 0.103646801658238 2 5 "GO:0000018;GO:0051052" "regulation of DNA recombination" 0.663637904727477
-84 0.4834584963477 2 39 "GO:0000027" "ribosomal large subunit assembly" 0.813700559843771
-200 0.284853628778642 2 16 "GO:0000028" "ribosomal small subunit assembly" 0.763207892717382
-217 0.315358766530016 2 12 "GO:0000038" "very long-chain fatty acid metabolic process" 0.773623950171537
42 0.696087915700401 3 49 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "vacuole organization" 0.880197885091699
42 0.853516558085823 2 11 "GO:0000050;GO:0019627;GO:0071941" "urea cycle" 0.951164638883777
-45 0.767146119394029 6 24 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0006886;GO:0050657;GO:0051236;GO:0006913;GO:0046907;GO:0015931;GO:0051169" "intracellular transport" 0.904053508543242
-263 0.319484072176439 3 8 "GO:0000055" "ribosomal large subunit export from nucleus" 0.773623950171537
136 0.374363355680362 4 24 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "chromosome segregation" 0.781104275785174
465 0.0993930483438246 5 7 "GO:0000076" "DNA replication checkpoint" 0.663637904727477
-181 0.203018131078173 4 28 "GO:0000077;GO:0031570;GO:0000075;GO:0045786" "DNA integrity checkpoint" 0.704391045854193
178 0.235548898828318 3 25 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.704391045854193
110 0.327333526843866 2 45 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.773623950171537
58 0.76538028814574 2 15 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.904053508543242
119 0.34953747771245 3 35 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.773623950171537
110 0.718556750676494 2 6 "GO:0000096" "sulfur amino acid metabolic process" 0.895641826672597
-161 0.349739840293038 5 19 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "microtubule cytoskeleton organization involved in mitosis" 0.773623950171537
-370 0.100618827514907 7 11 "GO:0000154" "rRNA modification" 0.663637904727477
191 0.0385344154023059 4 67 "GO:0000165;GO:0035556" "intracellular signal transduction" 0.563030625044803
98 0.384591334732561 6 45 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.781104275785174
-3 0.994017299329208 5 5 "GO:0000185" "activation of MAPKKK activity" 0.994017299329208
-85 0.764956713309045 2 7 "GO:0000186" "activation of MAPKK activity" 0.904053508543242
-82 0.58421212138566 5 25 "GO:0000187" "activation of MAPK activity" 0.846118563399991
244 0.355925847797551 4 8 "GO:0000188;GO:0043407;GO:0043409;GO:0071901;GO:1902532;GO:0006469;GO:0033673;GO:0051348;GO:0043086;GO:0044092" "negative regulation of MAPK cascade" 0.773623950171537
-65 0.376348990964208 2 106 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.781104275785174
-66 0.743281415437223 2 14 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.902379180866079
159 0.355011932230386 2 19 "GO:0000245" "spliceosomal complex assembly" 0.773623950171537
-408 0.181599378274293 4 6 "GO:0000266" "mitochondrial fission" 0.704391045854193
-877 0.000432761442305996 2 9 "GO:0000272;GO:0016052" "carbohydrate catabolic process" 0.0569081296632385
