"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-90 0.698257507910421 2 15 "GO:0000002" "mitochondrial genome maintenance" 0.899353593577306
644 0.0426909009599566 2 8 "GO:0000012" "single strand break repair" 0.336799439536089
-451 0.155445107185695 5 8 "GO:0000018;GO:0051052" "regulation of DNA metabolic process" 0.568046317616861
137 0.734002455124788 3 5 "GO:0000022;GO:0051231" "spindle elongation" 0.901745701898409
-424 0.00237712161422204 2 42 "GO:0000027" "ribosomal large subunit assembly" 0.0703627997809724
-338 0.121460667797422 2 17 "GO:0000028" "ribosomal small subunit assembly" 0.485842671189688
80 0.697632674764187 4 19 "GO:0000038" "very long-chain fatty acid metabolic process" 0.899353593577306
189 0.60615858618636 2 6 "GO:0000041" "transition metal ion transport" 0.865350325173814
290 0.0186690374625814 2 54 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.230251462038504
-183 0.480701585074096 4 12 "GO:0000050;GO:0019627;GO:0071941" "urea metabolic process" 0.813356605080691
82 0.761753472027391 3 11 "GO:0000055" "ribosomal large subunit export from nucleus" 0.901916110880431
-114 0.480103058796733 5 31 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "chromosome segregation" 0.813356605080691
9 0.979317265778085 5 7 "GO:0000076" "DNA replication checkpoint" 0.995079658548044
231 0.175381979840201 2 28 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.595456842059308
42 0.726475806805782 5 58 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.901745701898409
45 0.846585860876963 2 15 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.945698929858947
165 0.248982360732466 3 40 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.669750281865832
298 0.416179706035985 2 6 "GO:0000096" "sulfur amino acid metabolic process" 0.788914156082353
-285 0.478924437900381 2 5 "GO:0000103" "sulfate assimilation" 0.813356605080691
-226 0.185495444437018 7 28 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of mitotic spindle orientation" 0.610073906148415
82 0.753275058688654 2 12 "GO:0000154" "rRNA modification" 0.901745701898409
32 0.758563107340216 5 74 "GO:0000165;GO:0035556" "intracellular signal transduction" 0.901745701898409
-315 0.00620745126933854 2 62 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.11078077866726
617 0.124909605602353 2 5 "GO:0000185" "activation of MAPKKK activity" 0.492976576777287
270 0.462066889006209 3 6 "GO:0000186" "activation of MAPKK activity" 0.811113574554708
98 0.55310020296029 2 30 "GO:0000187" "activation of MAPK activity" 0.844916340447284
-115 0.685936386923343 6 10 "GO:0000188;GO:0043407;GO:0043409;GO:0071901;GO:1902532;GO:0006469;GO:0033673;GO:0051348;GO:0043086;GO:0044092" "negative regulation of protein kinase activity" 0.899353593577306
-143 0.084100144327954 4 122 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.403837290384095
488 0.224318365221274 5 5 "GO:0000212;GO:0007051" "spindle organization" 0.644835138759596
-32 0.684491367319131 3 133 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.899353593577306
-313 0.111466676190848 4 21 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.478175886267986
-134 0.486871445861512 3 22 "GO:0000245" "spliceosomal complex assembly" 0.813356605080691
133 0.608084012284302 3 12 "GO:0000266;GO:0048285" "organelle fission" 0.865350325173814
528 0.0515822076244648 2 11 "GO:0000272;GO:0016052" "carbohydrate catabolic process" 0.35600103219363
163 0.140863708746856 2 67 "GO:0000278;GO:0007049" "cell cycle" 0.539632216196945
98 0.45903253777504 4 47 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.811113574554708
156 0.582367436152181 2 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.861886102025082
-297 0.161333119696402 4 18 "GO:0000302;GO:1901700;GO:0042221" "response to chemical" 0.582373212562622
-15 0.944703320024332 2 17 "GO:0000338;GO:0070646" "protein deneddylation" 0.988099585608489
-1007 0.0121662113690852 2 5 "GO:0000349" "generation of catalytic spliceosome for first transesterification step" 0.165960978969351
-827 0.0394912401144318 3 5 "GO:0000350" "generation of catalytic spliceosome for second transesterification step" 0.336799439536089
434 0.0620420456648295 9 15 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.378213407879616
