Accession_ID,pvalue
P00765,0.785007526310967
P42003,0.788557058250997
Q6ZH85,0.679468347644105
Q6ZH85,0.679468347644105
Q3V080,NA
Q3V080,NA
Q3V080,NA
Q3V080,NA
Q3V080,NA
Q3V080,NA
Q3V080,NA
Q3V080,NA
Q3V080,NA
Q3V080,NA
Q3V080,NA
Q3V080,NA
Q3V080,NA
Q3V080,NA
Q3V080,NA
P49021,0.0219418195607796
P27449,0.970408444467926
Q9CQL4,0.396476885579861
Q9H8H2,0.483883649103442
Q6AZ50,0.545999915995225
Q6AXX3,0.729017604033638
Q8ISQ3,0.482385697777906
Q9ZRZ8,NA
P55039,0.972745730739837
P15170,NA
Q58DK7,0.0300271815149679
Q58DK7,0.0300271815149679
Q58DK7,0.0300271815149679
Q58DK7,0.0300271815149679
Q58DK7,0.0300271815149679
Q8ND76,0.00656211177620823
Q96MW7,0.357510036125549
Q63120,0.82068202288473
Q63120,0.82068202288473
A3KP85,0.190816489692285
Q5E9V4,0.559985409588624
Q9DBY8,0.374999508880235
P35072,0.495851827746524
Q6R2W3,0.0201628781853576
P22392,0.312307908840769
Q6DKJ4,0.213767695384666
Q6DKJ4,0.213767695384666
Q8I7P9,0.842571540236905
Q1EHB4,0.156124503414851
Q4I830,0.842571540236905
B8GPT9,NA
P49736,NA
P21328,NA
P21328,NA
P58780,0.405614567866785
Q9HB90,0.785007526310967
G3X9G7,0.247999653572853
G3X9G7,0.247999653572853
G3X9G7,0.247999653572853
G3X9G7,0.247999653572853
G3X9G7,0.247999653572853
O35206,0.90346701810265
Q9QZE7,NA
P40797,0.00298394785075574
Q9Y4E8,0.723853661147405
P33450,NA
P33450,NA
Q3U4H6,0.301136069989711
Q8N187,0.728499547413894
Q5FYA8,0.809336836995139
Q9NBX4,0.231632110423317
Q96HW7,0.717005837891626
Q9HBY0,0.213079308675945
P22059,0.464789169773416
P16546,0.784960178626446
P16546,0.784960178626446
P16546,0.784960178626446
P16546,0.784960178626446
P16546,0.784960178626446
P16546,0.784960178626446
P16546,0.784960178626446
P16546,0.784960178626446
P16546,0.784960178626446
P16546,0.784960178626446
Q8IZ13,0.418370044241208
A4Z945,0.311741343053202
P09417,0.842571540236905
O70511,0.711546940335958
Q9Z0V7,0.525149455927377
Q9I7U4,0.869065131310079
Q9I7U4,0.869065131310079
Q9I7U4,0.869065131310079
Q9I7U4,0.869065131310079
Q8VEH8,0.780520223200993
Q8VEH8,0.780520223200993
Q7KRI2,0.160978778368763
Q9UKY3,0.970408444467926
P17141,0.666170383713721
P17141,0.666170383713721
P17141,0.666170383713721
P17141,0.666170383713721
P17141,0.666170383713721
P17141,0.666170383713721
P17141,0.666170383713721
P17141,0.666170383713721
P17141,0.666170383713721
P17141,0.666170383713721
P17141,0.666170383713721
Q5CZA5,0.461932102656786
Q5CZA5,0.461932102656786
Q5CZA5,0.461932102656786
Q5CZA5,0.461932102656786
Q5CZA5,0.461932102656786
Q5CZA5,0.461932102656786
Q5CZA5,0.461932102656786
Q5CZA5,0.461932102656786
Q5CZA5,0.461932102656786
Q5CZA5,0.461932102656786
Q5CZA5,0.461932102656786
Q5CZA5,0.461932102656786
Q5RC67,0.940591899128914
Q28811,0.22985538067825
Q96MB7,NA
Q9JJ22,0.924789932690593
Q91642,0.859757323486355
Q5RC79,0.781079152650638
Q5RC79,0.781079152650638
Q5RC79,0.781079152650638
Q5RC79,0.781079152650638
Q5RC79,0.781079152650638
Q5RC79,0.781079152650638
Q5RC79,0.781079152650638
Q7L3S4,NA
Q7L3S4,NA
Q7L3S4,NA
Q7L3S4,NA
Q7L3S4,NA
Q923S8,0.0593920824754598
Q923S8,0.0593920824754598
Q17320,0.0193651294136835
Q96N38,0.202077591928312
Q96N38,0.202077591928312
Q96N38,0.202077591928312
Q96N38,0.202077591928312
Q96N38,0.202077591928312
Q96N38,0.202077591928312
Q96N38,0.202077591928312
Q96N38,0.202077591928312
Q96N38,0.202077591928312
Q96N38,0.202077591928312
Q96N38,0.202077591928312
Q96N38,0.202077591928312
Q96N38,0.202077591928312
Q5JWR5,0.774614135391114
Q7T384,0.487889397217943
Q9W0P5,0.467715763309781
Q62371,0.666170383713721
P51786,0.672193024626633
P51786,0.672193024626633
